prefecture,city,facility_name,facility_type,occupancy_rate,total_rooms,occupied_rooms,average_price,foreign_guest_ratio,rating,timestamp
"広島県","広島市中区","ホテルグランヴィア広島","ホテル",82.5,407,336,15800,0.35,4.3,"2025-01-10 20:00:00"
"広島県","広島市中区","シェラトングランドホテル広島","ホテル",88.2,238,210,22500,0.42,4.4,"2025-01-10 20:00:00"
"広島県","広島市中区","ANAクラウンプラザホテル広島","ホテル",78.9,409,323,14200,0.28,4.2,"2025-01-10 20:00:00"
"広島県","広島市中区","リーガロイヤルホテル広島","ホテル",75.6,488,369,16500,0.31,4.3,"2025-01-10 20:00:00"
"広島県","広島市中区","三井ガーデンホテル広島","ビジネスホテル",91.2,281,256,8900,0.22,4.1,"2025-01-10 20:00:00"
"広島県","廿日市市","宮島グランドホテル有もと","旅館",94.5,55,52,28000,0.48,4.5,"2025-01-10 20:00:00"
"広島県","廿日市市","岩惣","旅館",96.8,38,37,35000,0.52,4.7,"2025-01-10 20:00:00"
"広島県","福山市","福山ニューキャッスルホテル","ホテル",72.3,218,158,11500,0.18,4.0,"2025-01-10 20:00:00"
"広島県","尾道市","ベラビスタ スパ&マリーナ 尾道","ホテル",85.7,45,39,42000,0.38,4.6,"2025-01-10 20:00:00"
"東京都","千代田区","帝国ホテル東京","ホテル",92.8,931,864,48000,0.58,4.7,"2025-01-10 20:00:00"
"東京都","千代田区","パレスホテル東京","ホテル",89.5,290,260,52000,0.62,4.8,"2025-01-10 20:00:00"
"東京都","港区","グランドハイアット東京","ホテル",87.2,387,337,38000,0.55,4.6,"2025-01-10 20:00:00"
"東京都","港区","ザ・リッツ・カールトン東京","ホテル",91.6,245,225,65000,0.68,4.8,"2025-01-10 20:00:00"
"東京都","新宿区","パークハイアット東京","ホテル",88.9,177,157,45000,0.61,4.7,"2025-01-10 20:00:00"
"東京都","渋谷区","セルリアンタワー東急ホテル","ホテル",85.3,408,348,28000,0.48,4.4,"2025-01-10 20:00:00"
"東京都","台東区","浅草ビューホテル","ホテル",93.2,326,304,18500,0.72,4.3,"2025-01-10 20:00:00"
"大阪府","大阪市北区","ザ・リッツ・カールトン大阪","ホテル",90.8,291,264,42000,0.52,4.7,"2025-01-10 20:00:00"
"大阪府","大阪市北区","インターコンチネンタルホテル大阪","ホテル",88.6,272,241,35000,0.48,4.6,"2025-01-10 20:00:00"
"大阪府","大阪市中央区","スイスホテル南海大阪","ホテル",86.9,546,475,22000,0.65,4.4,"2025-01-10 20:00:00"
"大阪府","大阪市中央区","ホテル日航大阪","ホテル",84.2,615,518,19500,0.58,4.3,"2025-01-10 20:00:00"
"大阪府","大阪市此花区","ザ パーク フロント ホテル","ホテル",95.8,598,573,16800,0.72,4.5,"2025-01-10 20:00:00"
"福岡県","福岡市中央区","グランドハイアット福岡","ホテル",87.5,370,324,26000,0.45,4.5,"2025-01-10 20:00:00"
"福岡県","福岡市博多区","ホテルオークラ福岡","ホテル",83.7,264,221,21000,0.38,4.4,"2025-01-10 20:00:00"
"福岡県","福岡市博多区","ホテル日航福岡","ホテル",89.3,360,321,18500,0.42,4.3,"2025-01-10 20:00:00"
