prefecture,city,store_name,category,transaction_count,transaction_amount,tourist_ratio,payment_cash,payment_credit,payment_emoney,peak_hour,timestamp
"広島県","広島市中区","お好み焼き みっちゃん総本店","飲食",458,385200,0.68,0.35,0.42,0.23,12,"2025-01-10 12:00:00"
"広島県","広島市中区","そごう広島店","物販",1250,8950000,0.42,0.28,0.51,0.21,14,"2025-01-10 14:00:00"
"広島県","広島市中区","広島三越","物販",980,7250000,0.38,0.25,0.55,0.20,15,"2025-01-10 15:00:00"
"広島県","広島市中区","おりづるタワー","観光施設",620,1240000,0.85,0.22,0.48,0.30,11,"2025-01-10 11:00:00"
"広島県","廿日市市","もみじ饅頭 藤い屋","飲食",780,468000,0.92,0.45,0.35,0.20,14,"2025-01-10 14:00:00"
"広島県","廿日市市","牡蠣屋","飲食",320,1088000,0.88,0.38,0.45,0.17,13,"2025-01-10 13:00:00"
"広島県","福山市","天満屋福山店","物販",850,5950000,0.25,0.32,0.48,0.20,16,"2025-01-10 16:00:00"
"広島県","尾道市","尾道ラーメン朱華園","飲食",280,252000,0.75,0.52,0.28,0.20,12,"2025-01-10 12:00:00"
"東京都","千代田区","東京駅一番街","物販",8500,42500000,0.72,0.18,0.52,0.30,18,"2025-01-10 18:00:00"
"東京都","千代田区","丸の内ビルディング","飲食",3200,9600000,0.58,0.22,0.55,0.23,12,"2025-01-10 12:00:00"
"東京都","渋谷区","渋谷パルコ","物販",5800,34800000,0.65,0.15,0.48,0.37,15,"2025-01-10 15:00:00"
"東京都","渋谷区","SHIBUYA109","物販",4200,16800000,0.78,0.12,0.45,0.43,16,"2025-01-10 16:00:00"
"東京都","新宿区","伊勢丹新宿店","物販",6500,58500000,0.55,0.20,0.58,0.22,14,"2025-01-10 14:00:00"
"東京都","台東区","仲見世商店街","物販",3800,7600000,0.88,0.42,0.38,0.20,11,"2025-01-10 11:00:00"
"東京都","港区","六本木ヒルズ","飲食",2800,11200000,0.62,0.18,0.62,0.20,19,"2025-01-10 19:00:00"
"大阪府","大阪市中央区","道頓堀商店街","飲食",6200,4960000,0.82,0.35,0.40,0.25,18,"2025-01-10 18:00:00"
"大阪府","大阪市中央区","黒門市場","飲食",2800,2240000,0.75,0.48,0.32,0.20,10,"2025-01-10 10:00:00"
"大阪府","大阪市北区","阪急百貨店梅田本店","物販",7800,62400000,0.48,0.22,0.56,0.22,15,"2025-01-10 15:00:00"
"大阪府","大阪市北区","グランフロント大阪","物販",5200,36400000,0.52,0.18,0.52,0.30,16,"2025-01-10 16:00:00"
"大阪府","大阪市此花区","ユニバーサル・スタジオ・ジャパン","観光施設",25000,175000000,0.85,0.15,0.55,0.30,14,"2025-01-10 14:00:00"
"福岡県","福岡市中央区","天神地下街","物販",4500,27000000,0.45,0.25,0.50,0.25,15,"2025-01-10 15:00:00"
"福岡県","福岡市博多区","博多阪急","物販",3800,26600000,0.42,0.23,0.52,0.25,14,"2025-01-10 14:00:00"
"福岡県","福岡市博多区","キャナルシティ博多","物販",4200,25200000,0.68,0.20,0.48,0.32,16,"2025-01-10 16:00:00"
"福岡県","福岡市中央区","屋台街","飲食",1800,2700000,0.78,0.65,0.25,0.10,20,"2025-01-10 20:00:00"
