prefecture,city,location_lat,location_lng,intensity,category,sentiment_score,text_content,user_type,timestamp
"広島県","広島市中区",34.3955,132.4536,85.5,"観光",0.85,"原爆ドームを訪れました。平和について深く考えさせられました。","tourist","2025-01-10 10:00:00"
"広島県","広島市中区",34.3947,132.4535,78.2,"観光",0.75,"おりづるタワーからの眺めが素晴らしい！","tourist","2025-01-10 10:30:00"
"広島県","広島市中区",34.3926,132.4564,92.1,"グルメ",0.92,"お好み焼きが最高に美味しかった！また来たい","tourist","2025-01-10 12:00:00"
"広島県","広島市西区",34.3944,132.4488,65.3,"ショッピング",0.68,"アルパークでショッピング。品揃えが豊富","local","2025-01-10 14:00:00"
"広島県","廿日市市",34.2958,132.3198,95.8,"観光",0.96,"厳島神社の鳥居が本当に美しい。感動しました","tourist","2025-01-10 11:00:00"
"広島県","廿日市市",34.2960,132.3200,88.7,"グルメ",0.89,"宮島の牡蠣が絶品！焼き牡蠣最高","tourist","2025-01-10 13:00:00"
"広島県","福山市",34.4858,133.3626,72.4,"ビジネス",0.55,"福山駅周辺で商談。アクセスが便利","business","2025-01-10 09:00:00"
"広島県","呉市",34.2486,132.5661,81.3,"観光",0.82,"大和ミュージアムで海軍の歴史を学んだ","tourist","2025-01-10 14:30:00"
"広島県","尾道市",34.4090,133.2050,87.6,"観光",0.88,"尾道の坂道と猫の道が風情がある","tourist","2025-01-10 15:00:00"
"東京都","千代田区",35.6938,139.7534,96.2,"観光",0.94,"皇居の周りをランニング。都心のオアシス","local","2025-01-10 07:00:00"
"東京都","渋谷区",35.6580,139.7016,98.5,"ショッピング",0.78,"渋谷スクランブル交差点の人の多さに圧倒","tourist","2025-01-10 18:00:00"
"東京都","新宿区",35.6896,139.6895,91.7,"エンタメ",0.85,"新宿の夜景が素晴らしい。展望台からの眺め最高","tourist","2025-01-10 20:00:00"
"東京都","台東区",35.7147,139.7937,94.3,"観光",0.93,"浅草寺でお参り。仲見世通りも楽しい","tourist","2025-01-10 11:30:00"
"東京都","港区",35.6581,139.7514,89.8,"グルメ",0.91,"六本木ヒルズのレストランでディナー","business","2025-01-10 19:00:00"
"大阪府","大阪市中央区",34.6866,135.5020,97.1,"観光",0.95,"大阪城が壮大！歴史を感じる","tourist","2025-01-10 10:00:00"
"大阪府","大阪市中央区",34.6690,135.5027,99.2,"グルメ",0.98,"道頓堀でたこ焼き食べ歩き。本場の味は違う！","tourist","2025-01-10 17:00:00"
"大阪府","大阪市北区",34.7055,135.4983,86.5,"ショッピング",0.82,"梅田の地下街が広すぎて迷った","local","2025-01-10 16:00:00"
"大阪府","大阪市此花区",34.6576,135.4327,93.8,"エンタメ",0.92,"USJのハリーポッターエリアが最高！","tourist","2025-01-10 13:00:00"
"福岡県","福岡市中央区",33.5904,130.4017,88.9,"観光",0.87,"福岡タワーからの夜景がきれい","tourist","2025-01-10 19:30:00"
"福岡県","福岡市博多区",33.5904,130.4207,95.6,"グルメ",0.96,"博多ラーメン最高！替え玉3回した","tourist","2025-01-10 20:00:00"
"福岡県","太宰府市",33.5127,130.5243,91.2,"観光",0.90,"太宰府天満宮で合格祈願。梅が枝餅も美味しかった","tourist","2025-01-10 14:00:00"
