prefecture,origin_name,destination_name,flow_type,flow_count,transport_mode,age_group,time_period,congestion_level,timestamp
"広島県","広島駅","紙屋町","通勤",1250,"電車","30-39",7.5,85,"2025-01-10 07:30:00"
"広島県","広島駅","紙屋町","通勤",1450,"電車","20-29",8.0,92,"2025-01-10 08:00:00"
"広島県","広島駅","宮島口","観光",850,"電車","tourist",10.0,75,"2025-01-10 10:00:00"
"広島県","広島市","福山市","ビジネス",320,"新幹線","40-49",9.0,60,"2025-01-10 09:00:00"
"広島県","広島市","尾道市","観光",480,"車","30-39",11.0,65,"2025-01-10 11:00:00"
"広島県","紙屋町","本通り","買い物",2100,"徒歩","20-29",14.0,88,"2025-01-10 14:00:00"
"広島県","マツダスタジアム","広島駅","レジャー",8500,"徒歩","mixed",21.0,95,"2025-01-10 21:00:00"
"東京都","東京駅","新宿駅","通勤",35000,"電車","30-39",8.0,98,"2025-01-10 08:00:00"
"東京都","渋谷駅","原宿駅","買い物",12000,"電車","20-29",11.0,85,"2025-01-10 11:00:00"
"東京都","羽田空港","東京駅","ビジネス",8500,"電車","40-49",9.0,75,"2025-01-10 09:00:00"
"東京都","浅草駅","スカイツリー","観光",5500,"徒歩","tourist",14.0,80,"2025-01-10 14:00:00"
"東京都","六本木","渋谷","レジャー",4200,"タクシー","30-39",22.0,70,"2025-01-10 22:00:00"
"大阪府","新大阪駅","梅田駅","ビジネス",18000,"電車","40-49",8.5,95,"2025-01-10 08:30:00"
"大阪府","難波駅","心斎橋駅","買い物",15000,"徒歩","20-29",15.0,90,"2025-01-10 15:00:00"
"大阪府","大阪城","道頓堀","観光",6800,"電車","tourist",16.0,82,"2025-01-10 16:00:00"
"大阪府","関西空港","難波駅","観光",4500,"電車","tourist",10.0,68,"2025-01-10 10:00:00"
"大阪府","天王寺","USJ","レジャー",7200,"電車","10-19",9.0,78,"2025-01-10 09:00:00"
"福岡県","博多駅","天神駅","通勤",22000,"地下鉄","30-39",8.0,92,"2025-01-10 08:00:00"
"福岡県","福岡空港","博多駅","ビジネス",9500,"地下鉄","40-49",9.0,80,"2025-01-10 09:00:00"
"福岡県","天神","中洲","レジャー",5800,"徒歩","20-29",20.0,75,"2025-01-10 20:00:00"
"福岡県","博多駅","太宰府","観光",3200,"電車","tourist",10.0,65,"2025-01-10 10:00:00"
"都市間","広島","東京","ビジネス",850,"新幹線","40-49",7.0,72,"2025-01-10 07:00:00"
"都市間","東京","大阪","ビジネス",12000,"新幹線","30-39",8.0,88,"2025-01-10 08:00:00"
"都市間","大阪","福岡","観光",3500,"新幹線","tourist",9.0,75,"2025-01-10 09:00:00"
"都市間","福岡","広島","ビジネス",2200,"新幹線","40-49",10.0,68,"2025-01-10 10:00:00"
