location,intensity,timestamp,category,sentiment_score
"広島市中区",85.5,"2025-01-10 12:00:00","観光",0.75
"広島市西区",62.3,"2025-01-10 12:00:00","ショッピング",0.65
"広島市南区",73.8,"2025-01-10 12:00:00","グルメ",0.82
"廿日市市",92.1,"2025-01-10 12:00:00","観光",0.91
"呉市",58.7,"2025-01-10 12:00:00","ビジネス",0.55
"福山市",67.4,"2025-01-10 12:00:00","ショッピング",0.68
"尾道市",81.2,"2025-01-10 12:00:00","観光",0.88
"三原市",45.9,"2025-01-10 12:00:00","交通",0.42
"東広島市",55.6,"2025-01-10 12:00:00","教育",0.61
"安芸高田市",38.2,"2025-01-10 12:00:00","生活",0.45
