service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20250611,20251211
11_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
11_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
15_平日(共通),1,1,1,1,1,0,0,20250611,20251211
15_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
15_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
16_平日(共通),1,1,1,1,1,0,0,20250611,20251211
16_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
16_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
17_平日(共通),1,1,1,1,1,0,0,20250611,20251211
17_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
17_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
21_平日(共通),1,1,1,1,1,0,0,20250611,20251211
21_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
21_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
24_平日(共通),1,1,1,1,1,0,0,20250611,20251211
24_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
24_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
31_平日(共通),1,1,1,1,1,0,0,20250611,20251211
31_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
31_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
33_平日(共通),1,1,1,1,1,0,0,20250611,20251211
33_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
33_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
35_平日(共通),1,1,1,1,1,0,0,20250611,20251211
35_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
35_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
37_平日(共通),1,1,1,1,1,0,0,20250611,20251211
37_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
37_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
41_平日(共通),1,1,1,1,1,0,0,20250611,20251211
41_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
41_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
51_平日(共通),1,1,1,1,1,0,0,20250611,20251211
51_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
51_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
61_平日(共通),1,1,1,1,1,0,0,20250611,20251211
61_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
61_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
90_平日(共通),1,1,1,1,1,0,0,20250611,20251211
90_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
90_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
98_平日(共通),1,1,1,1,1,0,0,20250611,20251211
98_土曜(共通),0,0,0,0,0,1,0,20250611,20251211
98_日祝(共通),0,0,0,0,0,0,1,20250611,20251211
