trans_id,lang,translation
広島電鉄,ja,広島電鉄
広島電鉄,ja-Hrkt,ヒロシマデンテツ
広島電鉄,en,"Hiroshima Electric Railway Co., Ltd."
広島バスセンター,ja,広島バスセンター
広島バスセンター,ja-Hrkt,ひろしまばすせんたー
広島バスセンター,en,Hiroshima Bus Center
広島バスセンター,ko,히로시마 버스센터
広島バスセンター,zh-cn,广岛巴士中心
広島バスセンター,zh-tw,廣島公車中心
玖波分れ,ja,玖波分れ
玖波分れ,ja-Hrkt,くばわかれ
玖波分れ,en,Kuba-wakare
玖波分れ,ko,구바 와카레
玖波分れ,zh-cn,玖波分
玖波分れ,zh-tw,玖波分
河津,ja,河津
河津,ja-Hrkt,かわづ
河津,en,Kawazu
河津,ko,가와즈
河津,zh-cn,河津
河津,zh-tw,河津
中山,ja,中山
中山,ja-Hrkt,なかやま
中山,en,Nakayama
中山,ko,나카야마（나카야마 산)
中山,zh-cn,中山
中山,zh-tw,中山
浜本工芸前,ja,浜本工芸前
浜本工芸前,ja-Hrkt,はまもとこうげいまえ
浜本工芸前,en,Hamamoto Kogei-mae
浜本工芸前,ko,하마모토 코게이 마에
浜本工芸前,zh-cn,滨本工艺前
浜本工芸前,zh-tw,濱本工藝前
佐伯中学校前,ja,佐伯中学校前
佐伯中学校前,ja-Hrkt,さえきちゅうがっこうまえ
佐伯中学校前,en,Saeki Chugakko-mae (Saeki Junior High School)
佐伯中学校前,ko,사에키 중학교
佐伯中学校前,zh-cn,佐伯中学前
佐伯中学校前,zh-tw,佐伯中學前
アルパーク,ja,アルパーク
アルパーク,ja-Hrkt,あるぱーく
アルパーク,en,Alpark
アルパーク,ko,알파크
アルパーク,zh-cn,ALPARK
アルパーク,zh-tw,ALPARK
佐伯高校前,ja,佐伯高校前
佐伯高校前,ja-Hrkt,さえきこうこうまえ
佐伯高校前,en,Saeki Koko-mae (Saeki High School)
佐伯高校前,ko,사에키 고등학교
佐伯高校前,zh-cn,佐伯高中前
佐伯高校前,zh-tw,佐伯高中前
津田神社,ja,津田神社
津田神社,ja-Hrkt,つたじんじゃまえ
津田神社,en,Tsuta Jinja-mae (Tsuta Jinja Shrine)
津田神社,ko,쓰타진자 신사
津田神社,zh-cn,津田神社
津田神社,zh-tw,津田神社
十王堂,ja,十王堂
十王堂,ja-Hrkt,じゅうおうどう
十王堂,en,Juodo
十王堂,ko,주오도
十王堂,zh-cn,十王堂
十王堂,zh-tw,十王堂
さいき文化センター,ja,さいき文化センター
さいき文化センター,ja-Hrkt,さいきぶんかせんたー
さいき文化センター,en,Saiki Bunka Senta (Saiki Culture Center)
さいき文化センター,ko,사이키 문화센터
さいき文化センター,zh-cn,佐伯文化中心
さいき文化センター,zh-tw,佐伯文化中心
佐伯支所,ja,佐伯支所
佐伯支所,ja-Hrkt,さえきししょ
佐伯支所,en,Saeki Shisho (Saeki Branch)
佐伯支所,ko,사에키 지소
佐伯支所,zh-cn,佐伯支所
佐伯支所,zh-tw,佐伯支所
津田,ja,津田
津田,ja-Hrkt,つた
津田,en,Tsuta
津田,ko,쓰타
津田,zh-cn,津田
津田,zh-tw,津田
旭園,ja,旭園
旭園,ja-Hrkt,あさひえん
旭園,en,Asahien
旭園,ko,아사히엔
旭園,zh-cn,旭园
旭園,zh-tw,旭園
上飯室,ja,上飯室
上飯室,ja-Hrkt,かみいむろ
上飯室,en,Kami-imuro
上飯室,ko,가미이무로
上飯室,zh-cn,上饭室
上飯室,zh-tw,上飯室
関の内,ja,関の内
関の内,ja-Hrkt,せきのうち
関の内,en,Sekinouchi
関の内,ko,세키노우치
関の内,zh-cn,关之内
関の内,zh-tw,關之內
下烏帽子,ja,下烏帽子
下烏帽子,ja-Hrkt,しもえぼし
下烏帽子,en,Shimo-eboshi
下烏帽子,ko,시모에보시
下烏帽子,zh-cn,下乌帽子
下烏帽子,zh-tw,下烏帽子
上烏帽子,ja,上烏帽子
上烏帽子,ja-Hrkt,かみえぼし
上烏帽子,en,Kami-eboshi
上烏帽子,ko,가미에보시
上烏帽子,zh-cn,上乌帽子
上烏帽子,zh-tw,上烏帽子
杉の迫,ja,杉の迫
杉の迫,ja-Hrkt,すぎのさこ
杉の迫,en,Suginosako
杉の迫,ko,스기노사코
杉の迫,zh-cn,杉之迫
杉の迫,zh-tw,杉之迫
鈴張市,ja,鈴張市
鈴張市,ja-Hrkt,すずはりいち
鈴張市,en,Suzuhariichi
鈴張市,ko,스즈하리이치
鈴張市,zh-cn,铃张市
鈴張市,zh-tw,鈴張市
鈴張,ja,鈴張
鈴張,ja-Hrkt,すずはり
鈴張,en,Suzuhari
鈴張,ko,스즈하리
鈴張,zh-cn,铃张
鈴張,zh-tw,鈴張
鈴張神社,ja,鈴張神社
鈴張神社,ja-Hrkt,すずはりじんじゃ
鈴張神社,en,Suzuhari Jinja (Suzuhari Jinja Shrine)
鈴張神社,ko,스즈하리 신사
鈴張神社,zh-cn,铃张神社
鈴張神社,zh-tw,鈴張神社
下西谷,ja,下西谷
下西谷,ja-Hrkt,しもにしたに
下西谷,en,Shimo-nishitani
下西谷,ko,시모니시타니
下西谷,zh-cn,下西谷
下西谷,zh-tw,下西谷
中西谷,ja,中西谷
中西谷,ja-Hrkt,なかにしたに
中西谷,en,Naka-nishitani
中西谷,ko,나카니시타니
中西谷,zh-cn,中西谷
中西谷,zh-tw,中西谷
大正橋,ja,大正橋
大正橋,ja-Hrkt,たいしょうばし
大正橋,en,Taishobashi
大正橋,ko,다이쇼바시
大正橋,zh-cn,大正桥
大正橋,zh-tw,大正橋
藤河内,ja,藤河内
藤河内,ja-Hrkt,ふじこうち
藤河内,en,Fujikochi
藤河内,ko,후지코치
藤河内,zh-cn,藤河内
藤河内,zh-tw,藤河內
鈴張落合,ja,鈴張落合
鈴張落合,ja-Hrkt,すずはりおちあい
鈴張落合,en,Suzuhari Ochiai
鈴張落合,ko,스즈하리 오치아이
