daiya_sid,bin_no,course_sid
5bea6788-a64f-4556-98cc-d9766281fdca,6,190883ba-aed3-420d-8f74-01599493982f
12297b88-5899-4c40-80d2-d479f0f8d512,7,190883ba-aed3-420d-8f74-01599493982f
e6c4565a-73c1-431c-844c-b80a07de6468,8,190883ba-aed3-420d-8f74-01599493982f
9c572c45-4d8e-421b-9878-f56095d54025,9,190883ba-aed3-420d-8f74-01599493982f
ec2545fe-62d9-4eae-90a3-ff87d749d137,4,190883ba-aed3-420d-8f74-01599493982f
5fdf00be-a474-4d12-a7ff-21bff9fb5f08,5,190883ba-aed3-420d-8f74-01599493982f
46712d18-e09d-46d1-834f-4a50f7570255,3,190883ba-aed3-420d-8f74-01599493982f
1fa6b717-65e9-4991-915a-54311ee886d2,2,190883ba-aed3-420d-8f74-01599493982f
d8cdda4c-39ae-46b8-a31a-a302070ea88d,1,190883ba-aed3-420d-8f74-01599493982f
3b99ead2-a1f6-4205-864f-fcbc054accdb,11,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
91ddeacc-b136-4c28-9891-f206c4f37d50,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
86da5ff7-580b-4949-8eae-ea8958ea2df8,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
d6ff1931-c216-4a59-841a-e3dde9477c32,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
59c74064-e511-434f-9445-e48da8acf0a2,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
41cea20a-6835-4017-bd21-e0de7d4328ba,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
75ce5dcb-8b95-42d6-b37b-de6876bfc890,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6522b675-37ac-452e-8d90-b10ec5bdf526,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
84080bb6-8105-4d6a-82b9-bcc30d0f731d,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6897ca55-127a-415f-b0d2-bebcb91de8bb,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
93f8ec88-d21d-445f-93cd-c4ae7bc2cbec,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
f40f1b6b-6f89-4f48-9ee3-d29a63f0cfb7,15,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
b2151165-e458-4bdc-a50b-dc8721cdc435,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
fd67f724-7e05-4541-912c-ab494c0a8af9,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8b8bb631-d631-4aa4-b194-940451a0a9b6,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
caa2dddb-ef2c-4dd8-9abc-983e0488b4cc,12,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
be9540fb-25c2-40ae-8399-6c45765621ba,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
965c8a74-083c-4d48-a9ec-87b2be71ca38,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8929874f-13ab-4ef9-bbf7-888dbe3bb341,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
df5ad1d4-0c46-44db-b661-8a1ab3182620,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
7c94f193-4a22-4309-8e01-7f11f3705cc3,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
3846f6c6-4c7c-466b-9240-7f4cdb14359c,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
09d90cfd-e31f-476f-90b0-53ef493cd204,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
e94322d7-4586-4a5b-8afc-4c73a9b03739,8,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6339e7a5-6c3f-45dd-a5f0-4cc51d94d71c,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
223735de-d649-4d7b-a4d7-4f237e43e9e1,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
0151ed31-4c82-46b7-ad12-3d280bb542d4,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
ed8c6e56-0c69-459b-a5bb-3dfa857604bb,8,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
2806ce97-4465-492d-ab2a-4259cd1e11fb,14,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
f8fc0d03-c214-42ec-b1a2-40ca8ed82b53,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
11b5f766-b7f4-4546-9977-2091d076cc01,13,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
61e9693a-8433-4560-8ab0-1de94a1f012e,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
d75cff6f-5c37-468b-aa8b-2b8407930175,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
c4b4bee1-ad65-424b-b1b5-2ec4c8c33545,8,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
295a4e2d-ae4c-4260-b6a9-12d66e9e8f82,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
86a17497-d158-43b4-86be-cb001ded802f,2,42059c1b-68a9-464e-b405-02f0e2d869d3
87d5fe2a-8f0b-49dc-8c73-bdcfc7a0a3ea,2,42059c1b-68a9-464e-b405-02f0e2d869d3
32b7b32e-bd6b-42db-afee-ade9d2a39fe5,5,42059c1b-68a9-464e-b405-02f0e2d869d3
d9bdff2b-7874-4040-9d1f-ae18047bce52,8,42059c1b-68a9-464e-b405-02f0e2d869d3
53ae9e8e-ec21-4d75-8ddd-deca9433e66d,7,42059c1b-68a9-464e-b405-02f0e2d869d3
280707c5-21a3-4fa6-b2dc-e2e964d9a650,6,42059c1b-68a9-464e-b405-02f0e2d869d3
a7665036-3cae-46aa-b8dd-e2efb41fc51f,9,42059c1b-68a9-464e-b405-02f0e2d869d3
3979cefe-996b-49b1-8f34-e5678c9a31fb,13,42059c1b-68a9-464e-b405-02f0e2d869d3
c326b06e-54f3-420f-bce7-e7e6a9d30666,14,42059c1b-68a9-464e-b405-02f0e2d869d3
52754cec-66f7-4cc2-9043-f1c3f827ef8b,9,42059c1b-68a9-464e-b405-02f0e2d869d3
28a839ee-2914-4c25-bedd-ffc4e44b3d63,15,42059c1b-68a9-464e-b405-02f0e2d869d3
88eee2d8-a9f7-4a29-a7cd-152cbef4b742,2,42059c1b-68a9-464e-b405-02f0e2d869d3
8c75c5bc-106e-4421-9cb0-15526fe804dc,12,42059c1b-68a9-464e-b405-02f0e2d869d3
34cee203-fe62-4917-be8d-05449af74977,12,42059c1b-68a9-464e-b405-02f0e2d869d3
9f4fda3a-7100-4942-946f-05c9caea7de8,15,42059c1b-68a9-464e-b405-02f0e2d869d3
6a454c93-987d-46d6-a39d-02c9cf3dbe17,3,42059c1b-68a9-464e-b405-02f0e2d869d3
9999f185-d693-4811-be21-08277c2cfbb5,4,42059c1b-68a9-464e-b405-02f0e2d869d3
5a04b2cd-375a-4727-a719-308abd6e08ab,1,42059c1b-68a9-464e-b405-02f0e2d869d3
fc32af11-bc39-4c9f-b292-29dd8043ac91,8,42059c1b-68a9-464e-b405-02f0e2d869d3
93ac5f83-82b4-4e46-98e6-2740de85c371,3,42059c1b-68a9-464e-b405-02f0e2d869d3
f6c1ddd4-c10c-4c1e-a139-21a8277ebd7f,17,42059c1b-68a9-464e-b405-02f0e2d869d3
6677b962-71d3-4eb9-b330-40c855fefc41,9,42059c1b-68a9-464e-b405-02f0e2d869d3
7a7d0bb1-5d5c-43b0-86fa-4242ad078152,13,42059c1b-68a9-464e-b405-02f0e2d869d3
858cfa79-beb5-47ae-b129-3df7512c1352,5,42059c1b-68a9-464e-b405-02f0e2d869d3
e6475460-93e5-433f-b9fc-3525a76d5a3e,6,42059c1b-68a9-464e-b405-02f0e2d869d3
