NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
102020091,上関小学校グラウンド,カミノセキショウガッコウグラウンド,山口県熊毛郡上関町大字長島２５０,,33.832012,132.106296,30,,,,山口県,上関町,1,1,1,1,1,,,,,200,上関地区,,
102020092,旧上関小学校グラウンド,キュウカミノセキショウガッコウグラウンド,山口県熊毛郡上関町大字長島４４８,,33.831559,132.10985,32,0820-62-0311,103,,山口県,上関町,1,1,1,1,1,,,,,200,上関地区,,
102020093,上関小規模老人憩の家(東集会所),カミノセキショウキボロウジンイコイノイエ(ヒガシシュウカイジョ),山口県熊毛郡上関町大字長島５８３－１９,,33.83059,132.11258,3,0820-62-0184,501,,山口県,上関町,1,1,,1,,,,,,50,上関地区,,
102020095,旧熊毛南高校上関分校グラウンド,キュウクマゲミナミコウコウカミノセキブンコウグラウンド,山口県熊毛郡上関町大字長島６２９,,33.829918,132.114595,29,0820-62-0311,103,,山口県,上関町,1,1,1,1,1,,,,,200,上関地区,,
102020096,白井田文化福祉センター(白井田分館),シライダブンカフクシセンター(シライダブンカン),山口県熊毛郡上関町大字長島３９２６,,33.82077858,132.0686554,3,0820-65-0132,,,山口県,上関町,1,1,,1,,,,,1,50,白井田地区,,
102020097,旧白井田小学校グラウンド,キュウシライダショウガッコウグラウンド,山口県熊毛郡上関町大字長島３７８０,,33.818365,132.069622,28.5,0820-62-0311,103,,山口県,上関町,1,,,,,,,,,100,白井田地区,,
102020098,高齢者保健福祉施設,コウレイシャホケンフクシシセツ,山口県熊毛郡上関町大字長島１５６１－１,,33.815168,132.073491,14,0820-65-5113,,,山口県,上関町,1,1,1,1,1,,,,1,92,蒲井地区,,
102020099,蒲井小規模老人憩の家（蒲井分館）,カマイショウキボロウジンイコイノイエ(カマイブンカン),山口県熊毛郡上関町大字長島１４９０,,33.8311483,132.1109287,6.5,0820-65-0112,,,山口県,上関町,1,1,1,1,1,,,,,50,蒲井地区,,
102020100,上関中学校グラウンド,カミノセキチュウガッコウグラウンド,山口県熊毛郡上関町大字長島２８０,,33.8340535,132.1078484,29.5,0820-62-0321,,,山口県,上関町,1,1,1,1,1,,,,,500,上関地区,,
102020101,上関小学校屋内運動場,カミノセキショウガッコウオクナイウンドウジョウ,山口県熊毛郡上関町大字長島２５０,,33.833334,132.107724,29.5,0820-62-0054,,,山口県,上関町,1,1,1,1,1,,,,1,350,上関地区,,
102020102,旧四代診療所,キュウシダイシンリョウジョ,山口県熊毛郡上関町大字長島２１７９－２,,33.793094,132.055533,2.5,0820-65-0142,,,山口県,上関町,1,1,1,,1,,,,,35,四代地区,,
102020103,ひなの里よりあい館,ヒナノサトヨリアイカン,山口県熊毛郡上関町大字長島２１５９－４,,33.793091,132.0555329,2.5,0820-65-0615,,,山口県,上関町,1,1,,,,,,,,50,四代地区,,
102020104,四代文化福祉館（四代分館）,シダイブンカフクシカイカン(シダイブンカン),山口県熊毛郡上関町大字長島２０９２,,33.793375,132.055157,2.5,0820-65-0142,,,山口県,上関町,1,1,1,,1,,,,1,50,四代地区,,
