NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,徳山小学校,,山口県周南市毛利町1-1,,34.05425752,131.8090489,,(0834)22-8800,,352152,山口県,周南市,,,,,,,,,,,,,
2,岐陽中学校,,山口県周南市大字徳山4915,,34.05463827,131.8144094,,(0834)22-8840,,352152,山口県,周南市,,,,,,,,,,,,,
3,徳山保健センター,,山口県周南市児玉町1-1,,34.05457132,131.807563,,(0834)22-8550,,352152,山口県,周南市,,,,,,,,,,,,,
4,中央地区市民センター,,山口県周南市飯島町1-13,,34.0519056,131.809485,,(0834)22-8875,,352152,山口県,周南市,,,,,,,,,,,,,
5,遠石小学校,,山口県周南市遠石1-3-48,,34.0424894,131.8181787,,(0834)21-0246,,352152,山口県,周南市,,,,,,,,,,,,,
6,遠石市民センター,,山口県周南市大字徳山591-3,,34.04495315,131.8190175,,(0834)22-0442,,352152,山口県,周南市,,,,,,,,,,,,,
7,徳山社会福祉センター,,山口県周南市速玉町3-17,,34.04611102,131.8097433,,(0834)22-8710,,352152,山口県,周南市,,,,,,,,,,,,,
8,秋月小学校,,山口県周南市秋月1-1-50,,34.05412765,131.8263944,,(0834)28-2151,,352152,山口県,周南市,,,,,,,,,,,,,
9,秋月中学校,,山口県周南市秋月1-1-53,,34.05311662,131.8256473,,(0834)28-5830,,352152,山口県,周南市,,,,,,,,,,,,,
10,秋月市民センター,,山口県周南市楠木2-1-25,,34.05503032,131.8256556,,(0834)28-5317,,352152,山口県,周南市,,,,,,,,,,,,,
11,周陽小学校,,山口県周南市周陽1-15-1,,34.04791154,131.8282696,,(0834)28-0555,,352152,山口県,周南市,,,,,,,,,,,,,
12,周陽中学校,,山口県周南市周陽3-3-1,,34.0438786,131.8304418,,(0834)28-1348,,352152,山口県,周南市,,,,,,,,,,,,,
13,周陽市民センター,,山口県周南市周陽2-8-2,,34.04611175,131.8306084,,(0834)28-6515,,352152,山口県,周南市,,,,,,,,,,,,,
14,徳山商工高等学校,,山口県周南市周陽3-1-1,,34.04600612,131.8275391,,(0834)28-0026,,352152,山口県,周南市,,,,,,,,,,,,,
15,東部高等産業技術学校,,山口県周南市瀬戸見町15-1,,34.05054205,131.8355802,,(0834)28-2233,,352152,山口県,周南市,,,,,,,,,,,,,
16,キリンビバレッジ周南総合スポーツセンター,,山口県周南市大字徳山427,,34.03973731,131.8323002,,(0834)28-8311,,352152,山口県,周南市,,,,,,,,,,,,,
17,桜木小学校,,山口県周南市桜木1-11-1,,34.04122902,131.8382081,,(0834)28-6310,,352152,山口県,周南市,,,,,,,,,,,,,
18,桜木市民センター,,山口県周南市城ヶ丘2-4-21,,34.04569255,131.8386413,,(0834)28-5973,,352152,山口県,周南市,,,,,,,,,,,,,
19,徳山大学,,山口県周南市学園台,,34.0476675,131.8443464,,(0834)28-0411,,352152,山口県,周南市,,,,,,,,,,,,,
20,今宿小学校,,山口県周南市今住町1-40,,34.06238429,131.802844,,(0834)22-8830,,352152,山口県,周南市,,,,,,,,,,,,,
21,住吉中学校,,山口県周南市住吉町1-80,,34.06413145,131.8058187,,(0834)22-8850,,352152,山口県,周南市,,,,,,,,,,,,,
22,今宿市民センター,,山口県周南市原宿町6-12,,34.06295372,131.8040106,,(0834)22-8877,,352152,山口県,周南市,,,,,,,,,,,,,
23,今宿市民センター西松原分館,,山口県周南市西松原4-4-40,,34.06508096,131.7949643,,(0834)32-2842,,352152,山口県,周南市,,,,,,,,,,,,,
24,尚白園,,山口県周南市新宿通6-1-25,,34.0651505,131.7984001,,(0834)22-8863,,352152,山口県,周南市,,,,,,,,,,,,,
25,御山集会所,,山口県周南市大字徳山7873-4,,34.0668659,131.800402,,(0834)21-9100,,352152,山口県,周南市,,,,,,,,,,,,,
26,岐山市民センター,,山口県周南市大字徳山5649,,34.06039068,131.8187479,,(0834)22-8876,,352152,山口県,周南市,,,,,,,,,,,,,
27,岐山小学校,,山口県周南市大字徳山5673,,34.05963795,131.8180424,,(0834)22-8820,,352152,山口県,周南市,,,,,,,,,,,,,
28,徳山高等学校,,山口県周南市鐘楼町2-50,,34.0598209,131.8092628,,(0834)21-0099,,352152,山口県,周南市,,,,,,,,,,,,,
29,文化会館,,山口県周南市大字徳山5854-41,,34.06143758,131.8132762,,(0834)22-8787,,352152,山口県,周南市,,,,,,,,,,,,,
30,桜ヶ丘高等学校,,山口県周南市大字徳山5626-1,,34.06183214,131.8172647,,(0834)21-0331,,352152,山口県,周南市,,,,,,,,,,,,,
31,櫛浜小学校,,山口県周南市大字栗屋860,,34.02160244,131.8320228,,(0834)25-0042,,352152,山口県,周南市,,,,,,,,,,,,,
32,櫛浜市民センター,,山口県周南市大字櫛ヶ浜458,,34.02399392,131.8309395,,(0834)25-0525,,352152,山口県,周南市,,,,,,,,,,,,,
33,徳山総合支援学校,,山口県周南市大字栗屋267-1,,34.02047148,131.8231397,,(0834)25-5378,,352152,山口県,周南市,,,,,,,,,,,,,
