市区町村コード,ID,名称,名称（カナ）,名称（英字）,説明,緯度,経度,座標参照系,座標参照系コード,地区名,備考
352063,1,富海公民館,トノミコウミンカン,,,"34°03'07.7""N ","131°38'37.1""E",世界測地系,,富海地区,再送信
352063,2,戸田山増圧ポンプ場,ヘタヤマゾウアツポンプジョウ,,,"34°03'40.9""N","131°39'25.0""E",世界測地系,,富海地区,通常
352063,3,富海漁港,トノミギョコウ,,,"34°02'49.7""N","131°38'34.3""E",世界測地系,,富海地区,簡易
352063,4,牟礼福祉センター,ムレフクシセンター,,,"34°02'34.0""N","131°36'45.3""E",世界測地系,,牟礼地区,通常
352063,5,牟礼公民館,ムレコウミンカン,,,"34°03'15.4""N","131°36'17.8""E",世界測地系,,牟礼地区,通常
352063,6,牟礼中学校,ムレチュウガッコウ,,,"34°03'58.4""N","131°36'01.0""E",世界測地系,,牟礼地区,簡易
352063,7,江泊会館,エドマリカイカン,,,"34°02'05.0""N","131°36'21.8""E",世界測地系,,牟礼地区,簡易
352063,8,農業大学校,ノウギョウダイガッコウ,,,"34°04'09.5""N","131°36'53.2""E",世界測地系,,牟礼地区,簡易
352063,9,国府中学校,コクフチュウガッコウ,,,"34°03'17.3""N","131°35'33.1""E",世界測地系,,牟礼地区,簡易
352063,10,末田自治会公園,スエダジチカイコウエン,,,"34°02'29.1""N","131°37'24.6""E",世界測地系,,牟礼地区,簡易
352063,11,文化福祉会館,ブンカフクシカイカン,,,"34°03'15.9""N","131°34'36.4""E",世界測地系,,松崎地区,通常
352063,12,松崎公民館,マツザキコウミンカン,,,"34°03'32.3""N","131°34'18.4""E",世界測地系,,松崎地区,通常
352063,13,サイクリングターミナル,サイクリングターミナル,,,"34°04'36.3""N","131°34'42.5""E",世界測地系,,松崎地区,簡易
352063,14,古祖原公園,コソバラコウエン,,,"34°03'29.9""N","131°32'59.2""E",世界測地系,,佐波地区,簡易
352063,15,消防本部,ショウボウホンブ,,,"34°03'26.0""N","131°33'47.5""E",世界測地系,,佐波地区,通常
352063,16,宮市福祉センター前公園,ミヤイチフクシセンタ－マエコウエン,,,"34°03'57.3""N","131°33'59.1""E",世界測地系,,佐波地区,通常
352063,17,勝間公民館,カツマコウミンカン,,,"34°02'57.3""N","131°34'45.9""E",世界測地系,,勝間地区,通常
352063,18,華浦小学校,カホショウガッコウ,,,"34°02'21.9""N","131°34'09.7""E",世界測地系,,華浦地区,通常
352063,19,華浦公民館,カホコウミンカン,,,"34°02'47.4""N","131°34'19.4""E",世界測地系,,華浦地区,通常
352063,20,桑山中学校,クワノヤマチュウガッコウ,,,"34°02'42.9""N","131°33'39.5""E",世界測地系,,華浦地区,簡易
352063,21,新田小学校,シンデンショウガッコウ,,,"34°01'52.8""N","131°34'18.4""E",世界測地系,,新田地区,簡易
352063,22,新田公民館,シンデンコウミンカン,,,"34°01'30.0""N","131°34'07.9""E",世界測地系,,新田地区,通常
352063,23,野島漁村センター,ノシマギョソンセンター,,,"33°56'34.3""N","131°41'35.2""E",世界測地系,,野島地区,通常
352063,24,向島公民館,ムコウシマコウミンカン,,,"34°01'09.0""N","131°34'49.0""E",世界測地系,,向島地区,通常
