防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,住所（緯度経度が不明な場合）,
352080,,,0002600001,ぼうさいうさ,,,,34°25’28”,132°03’27”,,,錦町,,,
352080,,,0002600002,ぼうさいむかたお,,,,34°23’28”,132°01’01”,,,錦町,,,
352080,,,0002600003,ぼうさいうさごう,,,,34°22’33”,132°01’22”,,,錦町,,,
352080,,,0002600004,ぼうさいおおはら,,,,34°22’04”,132°02’30”,,,錦町,,,
352080,,,0002600005,ぼうさいすがわ,,,,34°19’43”,131°59’32”,,,錦町,,,
352080,,,0002600006,ぼうさいにしきおおの,,,,34°18’50”,131°56’28”,,,錦町,,,
352080,,,0002600007,ぼうさいふかがわ,,,,34°18’50”,131°59’23”,,,錦町,,,
352080,,,0002600008,ぼうさいいずし,,,,34°16’46”,131°58’02”,,,錦町,,,
352080,,,0002600009,ぼうさいかわもと,,,,34°16’42”,131°58’25”,,,錦町,,,
352080,,,0002600010,ぼうさいにしむら,,,,34°17’05”,131°59”50”,,,錦町,,,
352080,,,0002600011,ぼうさいひかりがはら,,,,34°15’35”,131°56’32”,,,錦町,,,
352080,,,0002600012,ぼうさいすまぢ,,,,34°15’37”,131°57’11”,,,錦町,,,
352080,,,0002600013,ぼうさいにしき,,,,34°15’47”,131°57’36”,,,錦町,,,
352080,,,0002600014,ぼうさいのたに,,,,34°12’43”,131°56’50”,,,錦町,,,
352080,,,0002600015,ぼうさいかみすがわ,,,,34°20’39”,132°00’10”,,,錦町,,,
352080,,,0002600016,ぼうさいのぶがはら,,,,34°19’52”,132°03’41”,,,本郷町,,,
352080,,,0002600017,ぼうさいかやはら,,,,34°19’48”,132°02’25”,,,本郷町,,,
352080,,,0002600018,ぼうさいおかのさこ,,,,34°19’25”,132°02’49”,,,本郷町,,,
352080,,,0002600019,ぼうさいたにぐち,,,,34°19’19”,132°02’37”,,,本郷町,,,
352080,,,0002600020,ぼうさいほどわら,,,,34°18’51”,132°02’43”,,,本郷町,,,
352080,,,0002600021,ぼうさいにしくろさわ,,,,34°19’08”,132°00’44”,,,本郷町,,,
352080,,,0002600022,ぼうさいほんごうはら,,,,34°19’02”,132°01’04”,,,本郷町,,,
352080,,,0002600023,ぼうさいかみうづか,,,,34°18’21”,132°02’01”,,,本郷町,,,
352080,,,0002600024,ぼうさいしもうづか,,,,34°18’03”,132°01’44”,,,本郷町,,,
352080,,,0002600025,ぼうさいしぶうと,,,,34°18’01”,132°02’37”,,,本郷町,,,
