全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考,Column1
352080,900001,岩国国際観光ホテル,イワクニコクサイカンコウホテル,,352080,,山口県岩国市岩国1-1-7,山口県,岩国市岩国1-1-7,,,,34.16800307,132.1804911,9.9,0827-43-1111,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,325,,,,,,
352080,900002,岩国小学校,イワクニショウガッコウ,,352080,,山口県岩国市岩国3-1-18,山口県,岩国市岩国3-1-18,,,,34.16444755,132.1856964,5.5,0827-41-0447,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,634,,,,,,
352080,900004,岩国工業高校体育館,イワクニコウギョウコウコウタイイクカン,,352080,,山口県岩国市錦見2-4-85,山口県,岩国市錦見2-4-85,,,,34.16837237,132.1931045,7.4,0827-41-1105,,,,,,352080,山口県岩国市,1,,1,1,1,,,,,468,,,,,,
352080,900005,岩国中学校,イワクニチュウガッコウ,,352080,,山口県岩国市錦見2-5-80,山口県,岩国市錦見2-5-80,,,,34.16750751,132.1923333,5.3,0827-43-4400,,,,,,352080,山口県岩国市,,,1,1,1,,,,,617,,,,,,
352080,900006,顕真幼稚園,ケンチンヨウチエン,,352080,,山口県岩国市錦見5-7-28,山口県,岩国市錦見5-7-28,,,,34.16179386,132.189752,5,0827-41-0738,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,62,,,,,,
352080,900007,岩国自動車学校,イワクニジドウシャガッコウ,,352080,,山口県岩国市錦見7-1-40,山口県,岩国市錦見7-1-40,,,,34.160235,132.18444,8.8,0827-41-0987,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,55,,,,,,
352080,900008,サンライフ岩国,サンライフイワクニ,,352080,,山口県岩国市横山2-7-28,山口県,岩国市横山2-7-28,,,,34.171689,132.177925,7,0827-43-3505,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,137,,,,,,
352080,900009,教育センター,キョウイクセンター,,352080,,山口県岩国市横山3-1-11,山口県,岩国市横山3-1-11,,,,34.17229581,132.1779414,6.9,0827-43-0901,,,,,,352080,山口県岩国市,,1,1,1,1,,,,,34,,,,,,
352080,900010,岩国高校体育館,イワクニコウコウタイイクカン,,352080,,山口県岩国市川西4-6-1,山口県,岩国市川西4-6-1,,,,34.15576028,132.1783957,40.6,0827-43-1141,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,,382,,,,,,
352080,900011,総合体育館,ソウゴウタイイクカン,,352080,,山口県岩国市平田1-40-1,山口県,岩国市平田1-40-1,,,,34.15549381,132.1865389,50,0827-32-7411,,,,,,352080,山口県岩国市,1,1,1,1,1,,,,1,1078,,,,,,
