防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,緯度,経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考
352128,,,musen0000001,柳井市役所,,,,,,,,,
352128,,,musen0000002,白潟,,,,,,,,,
352128,,,musen0000003,ふたば集会所,,,,,,,,,
352128,,,musen0000004,姫田,,,,,,,,,
352128,,,musen0000005,市民球場,,,,,,,,,
352128,,,musen0000006,柳北小学校,,,,,,,,,
352128,,,musen0000007,上馬皿,,,,,,,,,
352128,,,musen0000008,黒杭,,,,,,,,,
352128,,,musen0000009,西後地,,,,,,,,,
352128,,,musen0000010,石井ダム,,,,,,,,,
352128,,,musen0000011,白潟東一,,,,,,,,,
352128,,,musen0000012,日積出張所,,,,,,,,,
352128,,,musen0000013,日積正福,,,,,,,,,
352128,,,musen0000014,日積大里,,,,,,,,,
352128,,,musen0000015,日積大原,,,,,,,,,
352128,,,musen0000016,日積割石,,,,,,,,,
352128,,,musen0000017,日積鍛冶屋原,,,,,,,,,
352128,,,musen0000018,日積川谷,,,,,,,,,
352128,,,musen0000019,日積坂川,,,,,,,,,
352128,,,musen0000020,伊陸出張所,,,,,,,,,
352128,,,musen0000021,伊陸旭,,,,,,,,,
352128,,,musen0000022,伊陸大の口,,,,,,,,,
352128,,,musen0000023,伊陸木部,,,,,,,,,
352128,,,musen0000024,伊陸長野,,,,,,,,,
352128,,,musen0000025,新庄出張所,,,,,,,,,
352128,,,musen0000026,新庄下大祖,,,,,,,,,
352128,,,musen0000027,余田出張所,,,,,,,,,
352128,,,musen0000028,余田尾林,,,,,,,,,
352128,,,musen0000029,余田中郷,,,,,,,,,
352128,,,musen0000030,余田中村,,,,,,,,,
352128,,,musen0000031,伊保庄出張所,,,,,,,,,
352128,,,musen0000032,伊保庄小田,,,,,,,,,
352128,,,musen0000033,柳井南中学校,,,,,,,,,
352128,,,musen0000034,伊保庄向田,,,,,,,,,
352128,,,musen0000035,阿月出張所,,,,,,,,,
352128,,,musen0000036,阿月宇積,,,,,,,,,
352128,,,musen0000037,阿月相の浦,,,,,,,,,
352128,,,musen0000038,阿月池の浦,,,,,,,,,
352128,,,musen0000039,平郡東,,,,,,,,,
352128,,,musen0000040,平郡西,,,,,,,,,
352128,,,musen0000041,大畠出張所,,,,,,,,,
352128,,,musen0000042,大畠民俗資料館,,,,,,,,,
352128,,,musen0000043,大畠小学校,,,,,,,,,
352128,,,musen0000044,大畠住吉,,,,,,,,,
352128,,,musen0000045,大畠大久保,,,,,,,,,
352128,,,musen0000046,大畠総合センター,,,,,,,,,
352128,,,musen0000047,広域消防東出張所,,,,,,,,,
352128,,,musen0000048,大畠殿畑,,,,,,,,,
352128,,,musen0000049,大畠宮岬団地,,,,,,,,,
