NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,(旧）麻里府小学校,（キュウ）マリフショウガッコウ,田布施町別府1408,,33.91382292,132.0390849,,,,35343,山口県,熊毛郡田布施町,1,　,　,　,　,1,1,1,,100,,http://www.town.tabuse.lg.jp/www/contents/1593754289797/index.html,
2,馬島集会所,ウマシマシュウカイショ,田布施町馬島174,,33.89662121,132.0504696,,0820-55-5131,,35343,山口県,熊毛郡田布施町,1,　,　,　,　,1,1,1,,50,,,
3,大波野中央会館,オオハノチュウオウカイカン,田布施町大波野,,33.97563244,132.0544199,,,,35343,山口県,熊毛郡田布施町,1,1,1,　,1,1,1,1,1,30,,,
4,麻郷公民館,オゴウコウミンカン,田布施町麻郷1512?1,,33.93291741,132.0464024,,0820-55-5202,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1282873476776/index.html,
5,麻郷小学校,オゴウショウガッコウ,田布施町麻郷2258 ,,33.9350587,132.0457179,,0820-52-2210,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,200,,http://www.town.tabuse.lg.jp/www/contents/1391996101839/index.html,
6,麻郷福祉会館,オゴウフクシカイカン,田布施町麻郷奥504-4,,33.94486919,132.0425381,,0820-52-3579,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1282885505229/index.html,
7,麻郷幼稚園,オゴウヨウチエン,田布施町麻郷1760,,33.9405311,132.0464299,,0820-52-2656,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,,50,,http://www.kindergarten.or.jp/ensyo27ogou.htm,
8,公民館国木分館,コウミンカンクニギブンカン,田布施町上田布施1784,,33.94854568,132.0110355,,0820-52-4177,,35343,山口県,熊毛郡田布施町,1,,1,　,1,1,1,1,1,50,,,
9,公民館小行司分館,コウミンカンコギョウジブンカン,田布施町大波野2021,,34.01296553,132.0610009,,0820-52-4647,,35343,山口県,熊毛郡田布施町,1,,1,　,1,1,1,1,1,50,,,
10,公民館竹尾分館,コウミンカンタケノオブンカン,田布施町上田布施599,,33.92881934,132.0162638,,0820-52-4556,,35343,山口県,熊毛郡田布施町,1,　,1,　,1,1,1,1,1,50,,,
11,金光教田布施教会,コンコウキョウタブセキョウカイ,田布施町下田布施3246,,33.95289836,132.0347909,,0820-52-2397,,35343,山口県,熊毛郡田布施町,1,1,1,,1,1,1,1,,100,,,
12,城南学園（地域交流ホーム棟）,ジョウナンガクエン（チイキコウリュウホームトウ）,田布施町宿井1144,,33.96537273,132.0165507,,0820-52-2554,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,100,,http://www.jounan.or.jp/,
13,城南公民館,ジョウナンコウミンカン,田布施町宿井1066-1,,33.96832084,132.0207156,,0820-52-2054,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1282958400891/index.html,
14,城南小学校,ジョウナンショウガッコウ,田布施町宿井1039-1,,33.96927885,132.0210699,,0820-52-2559,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,300,,http://www.town.tabuse.lg.jp/www/contents/1392896004311/index.html,
15,城南保育園,ジョウナンホイクエン,田布施町宿井267-1,,33.97008924,132.0212526,,0820-52-3419,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1282784804356/index.html,
16,田布施近隣公園,タブセキンリンコウエン,田布施町下田布施3400-2,,33.9559585,132.0385759,,0820-52-2111,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,,1100,,http://www.town.tabuse.lg.jp/www/contents/1490334652549/index.html,
17,田布施スポーツセンター,タブセスポーツセンター,田布施町麻郷1293-11,,33.94221339,132.0486849,,0820-52-3832,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,200,,http://www.town.tabuse.lg.jp/www/contents/1358661920663/index.html,
18,田布施総合支援学校高等部,タブセソウゴウシエンガッコウコウトウブ,田布施町麻郷奥127,,33.95288848,132.0435326,,0820-51-2112,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,,100,,http://www.tabuse-s.ysn21.jp/kyouiku/kou/koutou-bu.html,
19,田布施中央公民館,タブセチュウオウコウミンカン,田布施町下田布施3430-1,,33.92448055,132.048247,,0820-52-5813,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,70,,http://www.town.tabuse.lg.jp/www/contents/1282802340013/index.html,
20,田布施中学校,タブセチュウガッコウ,田布施町下田布施1050-4,,33.95759297,132.0413405,,0820-52-2138,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,,1,1,1500,,http://www.town.tabuse.lg.jp/www/contents/1391474878778/index.html,
21,田布施町図書館,タブセチョウトショカン,田布施町中央南11-1,,33.95268527,132.0452629,,0820-52-2288,,35343,山口県,熊毛郡田布施町,1,1,1,1,1,1,1,1,1,50,,http://www.town.tabuse.lg.jp/www/contents/1282801687772/index.html,
