全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
352039,E3520300091201,仁保地域交流センター,ニホチイキコウリュウセンター,,352039,136000,山口県山口市仁保中郷1041,山口県,山口市,仁保中郷,1041,,34.211788,131.55899,,(083)929-0105,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,473,,,,,1
352039,E3520300092202,仁保小学校体育館,ニホショウガッコウタイイクカン,,352039,136000,山口県山口市仁保中郷81,山口県,山口市,仁保中郷,81,,34.214321,131.555952,,(083)929-0311,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,380,,,,,0
352039,E3520300028204,仁保小学校校舎,ニホショウガッコウコウシャ,,352039,136000,山口県山口市仁保中郷81,山口県,山口市,仁保中郷,81,,34.214476,131.55544,,(083)929-0311,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,707,,,,,0
352039,E3520300028203,仁保中学校体育館,ニホチュウガッコウタイイクカン,,352039,136000,山口県山口市仁保中郷84,山口県,山口市,仁保中郷,84,,34.215697,131.558724,,(083)929-0028,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,525,,,,,0
352039,E3520300100201,仁保中学校校舎,ニホチュウガッコウコウシャ,,352039,136000,山口県山口市仁保中郷84,山口県,山口市,仁保中郷,84,,34.215343,131.558329,,(083)929-0028,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,659,,,,,0
352039,E3520300097201,仁保幼稚園,ニホヨウチエン,,352039,136000,山口県山口市仁保中郷82,山口県,山口市,仁保中郷,82,,34.21333411,131.5557167,,(083)929-0043,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,104,,,,,0
352039,E3520300041201,小鯖地域交流センター,オサバチイキコウリュウセンター,,352039,90000,山口県山口市下小鯖2519,山口県,山口市,下小鯖,2519,,34.12728945,131.5243864,,(083)927-0021,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,238,,,,,1
352039,E3520300040202,小鯖小学校体育館,オサバショウガッコウタイイクカン,,352039,90000,山口県山口市下小鯖2519,山口県,山口市,下小鯖,2519,,34.127806,131.525138,,(083)927-0051,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,401,,,,,0
352039,E3520300095201,小鯖小学校校舎,オサバショウガッコウコウシャ,,352039,90000,山口県山口市下小鯖2519,山口県,山口市,下小鯖,2519,,34.128311,131.52508,,(083)927-0051,,,,,,352039,山口市,〇,×,〇,〇,〇,×,×,×,〇,1063,,,,,0
352039,E3520300096202,小鯖幼稚園,オサバヨウチエン,,352039,90000,山口県山口市下小鯖2519,山口県,山口市,下小鯖,2519,,34.12739927,131.5245528,,(083)927-0054,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,104,,,,,0
352039,E3520300149201,大内地域交流センター,オオウチチイキコウリュウセンター,,352039,36001,山口県山口市大内矢田北一丁目10ｰ11,山口県,山口市,大内矢田北一丁目,10ｰ11,,34.1597,131.502727,,(083)927-0473,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,378,,,,,1
352039,E3520300145202,大内小学校体育館,オオウチショウガッコウタイイクカン,,352039,36001,山口県山口市大内矢田北一丁目16ｰ1,山口県,山口市,大内矢田北一丁目,16ｰ1,,34.157062,131.499271,,(083)927-0011,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,524,,,,,0
352039,E3520300110201,大内小学校校舎,オオウチショウガッコウコウシャ,,352039,36001,山口県山口市大内矢田北一丁目16ｰ1,山口県,山口市,大内矢田北一丁目,16ｰ1,,34.157085,131.500312,,(083)927-0011,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1666,,,,,0
352039,E3520300109201,大内南小学校体育館,オオウチミナミショウガッコウタイイクカン,,352039,37002,山口県山口市大内矢田南二丁目4ｰ1,山口県,山口市,大内矢田南二丁目,4ｰ1,,34.150512,131.496662,,(083)927-7373,,,,,,352039,山口市,×,〇,〇,〇,〇,×,×,×,〇,469,,,,,0
352039,E3520300035201,大内南小学校校舎,オオウチミナミショウガッコウコウシャ,,352039,37002,山口県山口市大内矢田南二丁目4ｰ1,山口県,山口市,大内矢田南二丁目,4ｰ1,,34.1503,131.497533,,(083)927-7373,,,,,,352039,山口市,〇,〇,〇,〇,〇,×,×,×,〇,1924,,,,,0
