ヘリコプター離着陸場_全国地方公共団体コード,地物、地点_ID,ヘリコプター離着陸場_ID,ヘリコプター離着陸場_名称,ヘリコプター離着陸場_名称（カナ）,ヘリコプター離着陸場_名称（英字）,ヘリコプター離着陸場_所在地,緯度,経度,ヘリコプター離着陸場_座標参照系,ヘリコプター離着陸場_座標参照系コード,ヘリコプター離着陸場_備考
352071,,kdmthts00001,下松スポーツ公園総合グラウンド,クダマツスポーツコウエンソウゴウグラウンド,,下松市大字河内10140,34.025527777777775,131.88555555555556,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00002,下松中学校,クダマツチュウガッコウ,,下松市古川町2-1,34.00861111111111,131.87130555555555,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00003,下松小学校,クダマツショウガッコウ,,下松市大字西豊井698,34.01152777777778,131.87125,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00004,米泉湖公園運動広場,ベイセンココウエンウンドウヒロバ,,下松市大字瀬戸851,34.061,131.87825,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00005,元江の浦駐車場・児童遊園,モトエノウラチュウシャジョウ・ジドウユウエン,,下松市大字笠戸島10172番地2,33.95358333,131.8512778,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00006,地域交流センターふれあい広場,チイキコウリュウセンターフレアイヒロバ,,下松市生野屋南1丁目338-3,34.03133333333333,131.87550000000002,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00007,下松スポーツ公園球技場,クダマツスポーツコウエンキュウギジョウ,,下松市大字河内10140,34.02444444444444,131.88680555555555,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00008,下松市消防本部,クダマツシショウボウホンブ,,下松市大字河内1950番地,34.0205,131.8842222222222,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00009,（株）日立製作所　消防グラウンド,カブヒタチセイサクショ　ショウボウグラウンド,,下松市大字東豊井794,33.98916666666667,131.8769166666667,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
352071,,kdmthts00010,中国電力（株）下松発電所　構内サッカー場,チュウゴクデンリョクカブクダマツハツデンショ　コウナイサッカージョウ,,下松市大字平田484,34.01244444444445,131.8527222222222,世界測地系,,https://www.city.kudamatsu.lg.jp/keibou/bousaiheri.html
