防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,緯度,経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_URL,防災行政無線_備考
352071,,,musen0000001,市役所,シヤクショ,,親局,34.015,131.8702778,世界測地系,,中央地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大手町三丁目３番３号
352071,,,musen0000002,米川北老人集会所西,ヨネガワキタロウジンシュウカイショニシ,,,34.10361111,131.8770278,世界測地系,,米川地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市下谷字亀山
352071,,,musen0000003,米川公民館東,ヨネガワコウミンカンヒガシ,,再送信子局、モーターサイレン,34.08580555,131.8813611,世界測地系,,米川地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字瀬戸1006-3
352071,,,musen0000004,温見集会所北,ヌクミシュウカイショキタ,,,34.08163888,131.9018611,世界測地系,,米川地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字温見317-6
352071,,,musen0000005,大藤谷老人集会所東,オオフジダニロウジンシュウカイショヒガシ,,,34.07502777,131.9165278,世界測地系,,米川地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字大藤谷416-1
352071,,,musen0000006,瀬戸公園,セトコウエン,,,34.06245991,131.8802784,世界測地系,,米川地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字瀬戸字田代
352071,,,musen0000007,花岡西老人集会所北,ハナオカニシロウジンシュウカイショキタ,,,34.04258333,131.8699444,世界測地系,,花岡地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字末武上657-1
352071,,,musen0000008,東時宗児童広場,ヒガシトキムネジドウヒロバ,,,34.04144444,131.8819167,世界測地系,,花岡地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市生野屋西3-1230-6
352071,,,musen0000009,緑ヶ丘市営住宅,ミドリガオカシエイジュウタク,,,34.0375,131.8613333,世界測地系,,花岡地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字末武上940
352071,,,musen0000010,花岡公民館,ハナオカコウミンカン,,モーターサイレン,34.03588888,131.8736389,世界測地系,,花岡地区,https://www.city.kudamatsu.lg.jp/soumu/bousaimusen.html,下松市大字末武上1280-1
