NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ_土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考,マッチングレベル,世界_10進_X,世界_10進_Y
1,養治小学校,ヨウジショウガッコウ,山口県下関市本町2丁目6-1,,33.96519592,130.9484393,,083-223-2358,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,273,,,,,130.9484393,33.96519592
2,下関市武道館,シモノセキシブドウカン,山口県下関市中之町1-23,,33.957615,130.944666,,083-231-9333,,352012,山口県,下関市,○,○,×,×,○,,,,避難所,263,,,,,130.944666,33.957615
3,勤労福祉会館,キンロウフクシカイカン,山口県下関市幸町8-16,,33.960751,130.942372,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,629,,,,,130.942372,33.960751
4,本行寺,ホンギョウジ,山口県下関市赤間町3-12,,33.959719,130.94247,,083-231-9333,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,50,,,,,130.94247,33.959719
6,火の山公園,ヒノヤマコウエン,山口県下関市みもすそ川町,,33.973583,130.95992,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.95992,33.973583
7,幸町公園,サイワイマチコウエン,山口県下関市幸町21,,33.962951,130.944815,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.944815,33.962951
8,貴船公園,キフネコウエン,山口県下関市貴船町3丁目,,33.968315,130.941539,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.941539,33.968315
9,文関小学校,ブンカンショウガッコウ,山口県下関市上田中町1丁目14-1,,33.966608,130.938429,,083-222-1433,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,322,,,,,130.938429,33.966608
10,名陵小学校,メイリョウショウガッコウ,山口県下関市名池町10-1,,33.958695,130.937257,,083-223-1335,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,295,,,,,130.937257,33.958695
11,旧王江小学校,キュウオウエショウガッコウ,山口県下関市入江町9-1,,33.954757,130.935575,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,243,,,,,130.935575,33.954757
12,日新中学校,ニッシンチュウガッコウ,山口県下関市上田中町1丁目15-1,,33.967681,130.937146,,083-223-7259,,352012,山口県,下関市,○,×,○,○,○,,,,避難所,270,,,,,130.937146,33.967681
13,名陵中学校,メイリョウチュウガッコウ,山口県下関市丸山町1丁目13-3,,33.958284,130.936784,,083-222-1435,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,252,,,,,130.936784,33.958284
14,生涯学習プラザ,ショウガイガクシュウプラザ,山口県下関市細江町3丁目1‐1,,33.951386,130.930245,,083-231-1234,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,271,,,,,130.930245,33.951386
15,下関市市民広場,シモノセキシシミンヒロバ,山口県下関市南部町1-1,,33.957968,130.941871,,083-231-9333,,352012,山口県,下関市,○,○,×,○,○,,,,避難場所,,,,,,130.941871,33.957968
16,日和山公園,ヒヨリヤマコウエン,山口県下関市丸山町5丁目,,33.954625,130.931078,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難場所,,,,,,130.931078,33.954625
17,西部公民館,セイブコウミンカン,山口県下関市伊崎町1丁目4-30,,33.953532,130.919784,,083-231-6587,,352012,山口県,下関市,○,○,×,×,○,,,,避難所,241,,,,,130.919784,33.953532
18,関西小学校,カンセイショウガッコウ,山口県下関市関西町12-1,,33.958047,130.9269,,083-222-3166,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,321,,,,,130.9269,33.958047
19,桜山小学校,サクラヤマショウガッコウ,山口県下関市上新地町2丁目5-10,,33.960572,130.920062,,083-222-2649,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,261,,,,,130.920062,33.960572
20,文洋中学校,ブンヨウチュウガッコウ,山口県下関市上新地町5丁目6-1,,33.957446,130.913567,,083-223-8176,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,249,,,,,130.913567,33.957446
21,学校法人河野学園,ガッコウホウジンコウノガクエン,山口県下関市桜山町1-1,,33.962254,130.922198,,083-223-0338,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,189,,,,,130.922198,33.962254
22,下関市民会館,シモノセキシミンカイカン,山口県下関市竹崎町4丁目5-1,,33.948756,130.925355,,083-231-6401,,352012,山口県,下関市,○,○,×,○,○,,,,避難所,3771,,,,,130.925355,33.948756
23,茶山集会所（憩の家隣）,チャヤマシュウカイジョ（イコイノイエトナリ）,山口県下関市長門町1-1,,33.953454,130.926572,,083-231-9333,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,27,,,,,130.926572,33.953454
24,大和町漁港町内会事務所,ヤマトマチギョコウチョウナイカイジムショ,山口県下関市大和町1丁目5-10,,33.948009,130.919774,,083-231-9333,,352012,山口県,下関市,○,○,×,×,○,,,,避難所,30,,,,,130.919774,33.948009
25,旧神田小学校（グラウンド）,キュウカンダショウガッコウ（グラウンド）,山口県下関市西神田町5-1,,33.960247,130.923316,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.923316,33.960247
26,桜山近隣公園,サクラヤマキンリンコウエン,山口県下関市上新地町2丁目,,33.962191,130.920341,,083-231-9333,,352012,山口県,下関市,○,×,○,○,○,,,,避難場所,,,,,,130.920341,33.962191
27,北部公民館,ホクブコウミンカン,山口県下関市山の田東町4-13,,33.986017,130.928292,,083-253-3371,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,338,,,,,130.928292,33.986017
28,向山小学校,ムカイヤマショウガッコウ,山口県下関市向山町14-1,,33.96767,130.926583,,083-223-8366,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,312,,,,,130.926583,33.96767
29,生野小学校,イクノショウガッコウ,山口県下関市幡生本町7-14,,33.97757,130.927988,,083-252-2044,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,309,,,,,130.927988,33.97757
30,山の田小学校,ヤマノタショウガッコウ,山口県下関市山の田中央町13-1,,33.987445,130.926383,,083-252-3735,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,270,,,,,130.926383,33.987445
31,向洋中学校,コウヨウチュウガッコウ,山口県下関市向洋町1丁目14-1,,33.965025,130.930101,,083-223-8208,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,397,,,,,130.930101,33.965025
32,山の田中学校,ヤマノタチュウガッコウ,山口県下関市山の田本町8-1,,33.989505,130.927274,,083-252-0488,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,328,,,,,130.927274,33.989505
33,幡生保育園,ハタブホイクエン,山口県下関市幡生宮の下町25-13,,33.984751,130.931799,,083-253-5656,,352012,山口県,下関市,○,○,○,×,○,,,,避難所,114,,,,,130.931799,33.984751
34,下関南高等学校,シモノセキミナミコウトウガッコウ,山口県下関市後田町1丁目8-1,,33.96885,130.931293,,083-222-4039,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,551,,,,,130.931293,33.96885
35,下関西高等学校,シモノセキニシコウトウガッコウ,山口県下関市後田町4丁目10-1,,33.972648,130.929562,,083-222-0892,,352012,山口県,下関市,○,○,○,○,○,,,,避難所,653,,,,,130.929562,33.972648
