防災行政無線（デジタル）_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,,
352152,,,ERP0000001,ぼうさいしゅうなん,ボウサイシュウナン,,基地局,34.055277,131.918055,世界測地系,,,,,
352152,,,ERP0000002,ぼうさいにしりょくち,ボウサイニシリョクチ,,固定局,34.048888,131.822222,世界測地系,,,,,
352152,,,ERP0000003,ぼうさいたかお,ボウサイタカオ,,固定局,34.062222,131.829722,世界測地系,,,,,
352152,,,ERP0000004,ぼうさいかよう,ボウサイカヨウ,,固定局,34.052499,131.835555,世界測地系,,,,,
352152,,,ERP0000005,ぼうさいひがしりょくち,ボウサイヒガシリョクチ,,固定局,34.041666,131.833611,世界測地系,,,,,
352152,,,ERP0000006,ぼうさいしんち,ボウサイシンチ,,固定局,34.066666,131.79,世界測地系,,,,,
352152,,,ERP0000007,ぼうさいきたやま,ボウサイキタヤマ,,固定局,34.068888,131.805,世界測地系,,,,,
352152,,,ERP0000008,ぼうさいいちのいで,ボウサイイチノイデ,,固定局,34.061944,131.821944,世界測地系,,,,,
352152,,,ERP0000009,ぼうさいくりや,ボウサイクリヤ,,固定局,34.012222,131.836111,世界測地系,,,,,
352152,,,ERP0000010,ぼうさいつづみのもり,ボウサイツヅミノモリ,,固定局,34.019166,131.829722,世界測地系,,,,,
352152,,,ERP0000011,ぼうさいくしがはま,ボウサイクシガハマ,,固定局,34.031111,131.827777,世界測地系,,,,,
352152,,,ERP0000012,ぼうさいさくら,ボウサイサクラ,,固定局,34.002222,131.825277,世界測地系,,,,,
352152,,,ERP0000013,ぼうさいくめ,ボウサイクメ,,固定局,34.040555,131.846388,世界測地系,,,,,
352152,,,ERP0000014,ぼうさいさいこうじ,ボウサイサイコウジ,,固定局,34.031944,131.841944,世界測地系,,,,,
352152,,,ERP0000015,ぼうさいすくもじま,ボウサイスクモジマ,,固定局,33.981944,131.7625,世界測地系,,,,,
352152,,,ERP0000016,ぼうさいこなんうちあげ,ボウサイコナンウチアゲ,,固定局,33.983888,131.7775,世界測地系,,,,,
352152,,,ERP0000017,ぼうさいこなん,ボウサイコナン,,固定局,33.987777,131.790277,世界測地系,,,,,
