NO,名称,名称_カナ,住所,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL
1,本山小学校,モトヤマショウガッコウ,山陽小野田市大字小野田482,33.94821886,131.1725561,22.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,253,本山,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
2,本山公民館,モトヤマコウミンカン,山陽小野田市大字小野田275-2,33.94190827,131.1739417,12.4,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,140,本山,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
3,本山コミュニティ体育館,モトヤマコミュニティタイイクカン,山陽小野田市大字小野田275-3,33.94215304,131.1731961,9.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,,1,1,1,261,本山,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
4,竜王山,リュウオウザン,山陽小野田市大字小野田1261,33.95597563,131.1683952,132.2,0836-82-1111,116,352161,山口県,山陽小野田市,,,,1,1,1,,1,,,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
5,赤崎小学校,アカサキショウガッコウ,山陽小野田市大字小野田4402,33.95922972,131.1755639,3.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,274,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
6,赤崎公民館,アカサキコウミンカン,山陽小野田市赤崎1-1-1,33.96433322,131.1735118,2.8,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,288,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
7,竜王中学校,リュウオウチュウガッコウ,山陽小野田市大字小野田3923,33.95926348,131.1830447,13.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,810,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
8,山口東京理科大学（体育館）,ヤマグチトウキョウリカダイガク（タイイクカン）,山陽小野田市大学通1-1-1,33.95750606,131.1886976,3.5,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,,1,1,,508,赤崎,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
9,商工センター,ショウコウセンター,山陽小野田市大字中央2-3-1,33.97908529,131.1770036,1.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,,344,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
10,須恵小学校,スエショウガッコウ,山陽小野田市大字小野田5258,33.97198535,131.1817279,3.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,367,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
11,小野田中学校,オノダチュウガッコウ,山陽小野田市大字丸河内1018,33.98108694,131.1852276,16.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,1,1,1,1,1,794,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
12,須恵公民館,スエコウミンカン,山陽小野田市中央4-4-1,33.97583842,131.1794791,1.9,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,130,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
13,須恵コミュニティ体育館,スエコミュニティタイイクカン,山陽小野田市須恵1-1-1,33.97508412,131.1793097,2.6,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,1,,,1,1,1,283,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
14,小野田工業高等学校（体育館）,オノダコウギョウコウトウガッコウ（タイイクカン）,山陽小野田市中央2-6-1,33.97914019,131.1779959,1.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,,1,,,1,1,,441,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
15,須恵健康公園,スエケンコウコウエン,山陽小野田市須恵1-1-1,33.97504189,131.180362,2.8,0836-82-1111,116,352161,山口県,山陽小野田市,,,,1,,1,,1,,,須恵,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
16,中央福祉センター,チュウオウフクシセンター,山陽小野田市千代町1-2-28,33.98271669,131.1809995,2.7,0836-82-1111,116,352161,山口県,山陽小野田市,1,1,1,,,,1,1,,237,小野田,https://www.city.sanyo-onoda.lg.jp/soshiki/2/hinan.html
