NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,柳東小学校（体育館）,リュウトウショウガッコウ（タイイクカン）,山口県柳井市柳井964-1,,33.96019203,132.1311133,5,0820-22-0625,,352128,山口県,柳井市,1,1,1,1,,,,,1,360(2㎡あたり1人）,,,
2,柳東小学校（グラウンド）,リュウトウショウガッコウ（グラウンド）,山口県柳井市柳井964-1,,33.95967145,132.1308987,5,0820-22-0625,,352128,山口県,柳井市,1,1,1,1,,,,,,1700(2㎡あたり1人）,,,
3,柳東文化会館,リュウトウブンカカイカン,山口県柳井市柳井1029,,33.96164045,132.1303791,6,0820-23-4685,,352128,山口県,柳井市,1,1,1,1,,,,,1,250(2㎡あたり1人）,,,
4,柳東文化会館（駐車場）,リュウトウブンカカイカン（チュウシャジョウ）,山口県柳井市柳井1029,,33.96142466,132.130354,6,0820-23-4685,,352128,山口県,柳井市,1,1,1,1,,,,,,400(2㎡あたり1人）,,,
5,岡ノ上公園,オカノウエコウエン,山口県柳井市姫田2,,33.97134711,132.1137423,26,なし,,352128,山口県,柳井市,1,1,1,1,1,,,,,2000(2㎡あたり1人）,,,
6,サンビームやない駐車場,サンビームヤナイチュウシャジョウ,山口県柳井市柳井3670-1,,33.97065049,132.1098706,10,0820-22-0111,,352128,山口県,柳井市,1,1,1,1,1,,,,,1300(2㎡あたり1人）,,,
7,柳井小学校（体育館）,ヤナイショウガッコウ（タイイクカン）,山口県柳井市柳井3680-4,,33.97088181,132.1083618,6.4,0820-22-0620,,352128,山口県,柳井市,1,1,1,1,,,,,1,620(2㎡あたり1人）,,,
8,柳井小学校（グラウンド）,ヤナイショウガッコウ（グラウンド）,山口県柳井市柳井3680-4,,33.97124439,132.1077521,6.4,0820-22-0620,,352128,山口県,柳井市,1,1,1,1,,,,,,3700(2㎡あたり1人）,,,
9,バタフライアリーナ（柳井市体育館）（体育館）,バタフライアリーナ（ヤナイシタイイクカン）（タイイクカン）,山口県柳井市柳井3714-3,,33.970658,132.106066,3.5,0820-23-0830,,352128,山口県,柳井市,1,1,,1,,,,,1,1000(2㎡あたり1人）,,,
10,バタフライアリーナ（柳井市体育館）（駐車場）,バタフライアリーナ（ヤナイシタイイクカン）（チュウシャジョウ）,山口県柳井市柳井3714-3,,33.970302,132.106163,3.5,0820-23-0830,,352128,山口県,柳井市,1,1,,1,,,,,,1400(2㎡あたり1人）,,,
11,みどりが丘図書館（柳井図書館）,ミドリガオカトショカン（ヤナイトショカン）,山口県柳井市柳井3776-2,,33.972157,132.105636,14.3,0820-22-0628,,352128,山口県,柳井市,1,1,1,1,1,,,,1,180(2㎡あたり1人）,,,
12,ストーンマーケット翠が丘公園（翠が丘防災運動公園）（公園）,ストーンマーケットミドリガオカコウエン（ミドリガオカボウサイウンドウコウエン）（コウエン）,山口県柳井市柳井3776-2,,33.97224,132.105623,14.3,なし,,352128,山口県,柳井市,1,1,1,1,1,,,,,3100(2㎡あたり1人）,,,
13,ストーンマーケット翠が丘公園（翠が丘防災運動公園）（グラウンド）,ストーンマーケットミドリガオカコウエン（ミドリガオカボウサイウンドウコウエン）（グラウンド）,山口県柳井市柳井3895-2,,33.97310001,132.1054771,10,なし,,352128,山口県,柳井市,1,1,1,1,1,,,,,5000(2㎡あたり1人）,,,
14,アクティブやない,アクティブヤナイ,山口県柳井市柳井3718-16,,33.97084874,132.106523,4.3,0820-24-0081,,352128,山口県,柳井市,1,1,,1,,,,,1,320(2㎡あたり1人）,,,
15,柳井市文化福祉会館,ヤナイシブンカフクシカイカン,山口県柳井市柳井3718,,33.97088834,132.1053444,5.7,0820-22-0680,,352128,山口県,柳井市,1,1,1,1,,,,,1,540(2㎡あたり1人）,,,
