防災行政無線_全国地方公共団体コード,施設_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,施設_ID,施設_名称,施設_名称（カナ）,施設_名称（英字）,施設_POIコード,施設_概要,施設_説明,住所_全国地方公共団体コード,住所_町字ID,住所_都道府県,住所_市区町村（郡）,住所_町字,住所_番地以下,住所_建物名等(方書),住所_連結表記,住所_緯度,住所_経度,住所_座標参照系,住所_座標参照系コード,施設_サービス曜日,施設_開始時刻,施設_終了時刻,施設_日時備考,施設_料金種別,施設_料金備考,連絡先_電話番号
352110,,musen0000001,,,,,,,,,雨乞地区,,,雨乞山中継局,アマゴイザンチュウケイキョク,,,,,352110,,山口県,長門市,日置蔵小田,538-1,,山口県長門市日置蔵小田538-1,34.39833333,131.0583333,世界測地系,,,,,,,,
352110,,musen0000002,,,,,,,,,俵山地区,,,俵山中継局,タワラヤマチュウケイキョク,,,,,352110,,山口県,長門市,俵山,2391,,山口県長門市俵山2391,34.28527778,131.0872222,世界測地系,,,,,,,,
352110,,musen0000003,,,,,,,,,通地区,,,通公民館,カヨイコウミンカン,,,,,352110,,山口県,長門市,通,671-2,,山口県長門市通671-2,34.42361111,131.2547222,世界測地系,,月火水木金土日,,,,,,
352110,,musen0000004,,,,,,,,,通地区,,,通地区シニアプラザ,カヨイチクシニアプラザ,,,,,352110,,山口県,長門市,通,329-7,,山口県長門市通329-7,34.42527778,131.2491667,世界測地系,,,,,,,,
352110,,musen0000005,,,,,,,,,大日比地区,,,大日比,オオヒビ,,,,,352110,,山口県,長門市,仙崎,2107-1,,山口県長門市仙崎2107-1,34.41361111,131.2097222,世界測地系,,,,,,,,
352110,,musen0000006,,,,,,,,,青海地区,,,旧青海島小学校,キュウオオミジマショウガッコウ,,,,,352110,,山口県,長門市,仙崎,2874-4,,山口県長門市仙崎2874-4,34.4,131.1933333,世界測地系,,,,,,,,
352110,,musen0000007,,,,,,,,,青海地区,,,青海集落ｾﾝﾀｰ,オウミシュウラクセンター,,,,,352110,,山口県,長門市,仙崎,3479,,山口県長門市仙崎3479,34.41083333,131.1855556,世界測地系,,,,,,,,
352110,,musen0000008,,,,,,,,,鳥越地区,,,仙崎漁港,センザキギョコウ,,,,,352110,,山口県,長門市,仙崎,4286-81,,山口県長門市仙崎4286-81,34.39361111,131.2002778,世界測地系,,,,,,,,
352110,,musen0000009,,,,,,,,,鳥越地区,,,仙崎中学校,センザキチュウガッコウ,,,,,352110,,山口県,長門市,仙崎,1181-1,,山口県長門市仙崎1181-1,34.38194444,131.1986111,世界測地系,,月火水木金,,,,,,
352110,,musen0000010,,,,,,,,,白潟地区,,,白潟公民館,シラカタコウミンカン,,,,,352110,,山口県,長門市,仙崎,540-2,,山口県長門市仙崎540-2,34.38194444,131.2058333,世界測地系,,,,,,,,
352110,,musen0000011,,,,,,,,,湊地区,,,湊はまゆう公園,ミナトハマユウコウエン,,,,,352110,,山口県,長門市,東深川,630-20,,山口県長門市東深川630-20,34.37916667,131.1855556,世界測地系,,,,,,,,
352110,,musen0000012,,,,,,,,,中山区,,,深川養鶏農業協同組合山口センター,フカワヨウケイノウギョウキョウドウクミアイヤマグチセンター,,,,,352110,,山口県,長門市,仙崎,303,,山口県長門市仙崎303,34.37638889,131.1933333,世界測地系,,,,,,,,
352110,,musen0000013,,,,,,,,,藤中地区,,,赤崎山スポーツ遊園地,アカサキヤマスポーツユウエンチ,,,,,352110,,山口県,長門市,東深川,2663-1,,山口県長門市東深川2663-1,34.36527778,131.1825,世界測地系,,,,,,,,
