NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,通小学校（屋内運動場）,,山口県長門市通1211-1,,34.419406,131.256336,,(0837)28-0234,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,282人,,,
2,通公民館,,山口県長門市通671-2,,34.42359,131.255001,,(0837)28-0008,,352110,山口県,長門市,1,1,,,,1,1,,,126人,,,
3,通体育館,,山口県長門市通313-1,,,,,(0837)28-0008,,352110,山口県,長門市,1,,1,,1,1,1,,,457人,,,
4,大日比公会堂,,山口県長門市仙崎2165-2,,34.41208,131.207156,,(0837)26-3224,,352110,山口県,長門市,1,,,1,,,,,,64人,,,
5,青海島体育館,,山口県長門市仙崎2873,,34.41286,131.19853,,(0837)26-0904,,352110,山口県,長門市,1,,1,1,,1,1,,,260人,,,
6,仙崎公民館,,山口県長門市仙崎1374,,34.39215,131.19933,,(0837)26-0904,,352110,山口県,長門市,1,1,,,,,,,,116人,,,
7,仙崎小学校（屋内運動場）,,山口県長門市仙崎1230,,34.389973,131.196097,,(0837)26-0414,,352110,山口県,長門市,1,1,,1,,1,,,1,554人,,,
8,仙崎中学校（屋内運動場）,,山口県長門市仙崎11181-1,,,,,(0837)26-0814,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,440人,,,
9,山口県立大津緑洋高等学校　水産校舎（屋内運動場）,,山口県長門市仙崎1002,,34.38567,131.20245,,(0837)26-0911,,352110,山口県,長門市,1,1,,1,,1,,,,345人,,,
10,ながと総合体育館,,山口県長門市仙崎10818-1,,,,,(0837)26-6001,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,735人,,,
11,山口県立大津緑洋高等学校　大津校舎（屋内運動場）,,山口県長門市東深川427-2,,34.381197,131.192631,,(0837)26-0500,,352110,山口県,長門市,1,1,1,1,,1,1,,,360人,,,
12,中央公民館,,山口県長門市東深川1326-6,,34.371708,131.181205,,(0837)23-1181,,352110,山口県,長門市,,1,1,1,1,1,,,,100人,,,
13,長門市保健センター,,山口県長門市東深川1326-6,,34.371708,131.181205,,(0837)23-1244,,352110,山口県,長門市,,1,1,1,1,1,,,,63人,,,
14,深川小学校（屋内運動場）,,山口県長門市東深川2688-1,,34.365821,131.184817,,(0837)22-2426,,352110,山口県,長門市,,1,1,1,1,1,,,,479人,,,
15,深川中学校（屋内運動場）,,山口県長門市東深川2714-1,,34.363588,131.185763,,(0837)22-2428,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,812人,,,
16,ながとスポーツ公園（グラウンドゴルフ場・芝生広場）,,山口県長門市東深川2936,,34.35665,131.179673,,,,352110,山口県,長門市,1,1,1,1,1,1,1,,,"4,100人",,,
17,みのり保育園,,山口県長門市西深川3766,,34.353973,131.168902,,,,352110,山口県,長門市,1,1,1,1,1,1,1,,,96人,,,
18,ながとラボ,,山口県長門市西深川10270-10,,,,,,,352110,山口県,長門市,1,1,1,1,1,1,1,,,162人,,,
19,長門農業者トレーニングセンター,,山口県長門市深川湯本10584-3,,,,,(0837)22-4435,,352110,山口県,長門市,1,1,1,,1,1,1,,,500人,,,
20,向陽小学校（屋内運動場）,,山口県長門市深川湯本738-1,,,,,(0837)22-2425,,352110,山口県,長門市,1,,1,1,1,1,1,,,250人,,,
21,大畑体育館,,山口県長門市渋木501-1,,34.307415,131.207484,,(0837)23-1295,,352110,山口県,長門市,1,,1,1,1,1,1,,,390人,,,
22,俵山多目的交流広場（管理棟）,,山口県長門市俵山11356,,,,,,,352110,山口県,長門市,1,1,1,1,1,1,1,,,27人,,,
23,俵山多目的交流広場（クラブハウス）,,山口県長門市俵山11356,,,,,,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,103人,,,
24,俵山公民館,,山口県長門市俵山2302-1,,34.28336,131.113301,,(0837)29-0063,,352110,山口県,長門市,1,,1,,1,1,1,,,84人,,,
25,俵山小学校（屋内運動場）,,山口県長門市俵山2310-1,,34.283635,131.111843,,(0837)29-0833,,352110,山口県,長門市,1,,1,1,1,1,1,,,270人,,,
26,俵山湯の家（地域交流ホール）,,山口県長門市俵山4827-1,,34.287881,131.102076,,(0837)29-0831,,352110,山口県,長門市,1,,1,1,1,1,1,,,97人,,,
27,宗頭文化センター,,山口県長門市三隅上3228-1,,34.35067,131.298488,,(0837)43-0617,,352110,山口県,長門市,,,1,1,1,1,,,,100人,,,
28,湯免ふれあいセンター,,山口県長門市三隅中251-6,,34.359874,131.262053,,(0837)43-1000,,352110,山口県,長門市,1,1,1,1,1,1,1,,1,215人,,,
29,三隅中学校(屋内運動場）,,山口県長門市三隅中1504,,34.36496,131.24826,,(0837)43-0911,,352110,山口県,長門市,,1,1,1,1,1,,,1,814人,,,
30,明倫小学校（屋内運動場）,,山口県長門市三隅中1512-3,,34.363691,131.249365,,(0837)43-0011,,352110,山口県,長門市,,1,1,1,1,1,,,,368人,,,
31,三隅保健センター,,山口県長門市三隅中1473,,34.363691,131.247545,,(0837)43-0221,,352110,山口県,長門市,,1,1,1,1,1,,,,144人,,,
32,三隅公民館・三隅農業者トレーニングセンター,,山口県長門市三隅下518,,34.36566,131.24667,,(0837)43-0811,,352110,山口県,長門市,,1,1,,1,1,,,,385人,,,
33,野波瀬三世代交流館,,山口県長門市三隅下3875-4,,,,,(0837)43-0221,,352110,山口県,長門市,1,,1,1,1,1,1,,,124人,,,
34,小島漁村センター,,山口県長門市三隅中3914-16,,34.37862,131.224348,,(0837)43-0757,,352110,山口県,長門市,1,,,1,,1,,,,57人,,,
