NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,あけぼの公園,,山口県和木町和木4-12,,34.204554,132.228064,1.6,,,353213,山口県,和木町,,1,,1,,,,,,864人（2平方メートルあたり1人）,,,公園敷地面積
2,さくら遊園地,,山口県和木町和木3-1,,34.203838,132.224841,1.8,,,353213,山口県,和木町,,,,1,,,,,,552人（2平方メートルあたり1人）,,,公園敷地面積
3,下水道遊園地,,山口県和木町和木5-10,,34.2079,132.22984,0.9,,,353213,山口県,和木町,,1,,1,,,,,,360人（2平方メートルあたり1人）,,,公園敷地面積
4,和木町立和木小学校,,山口県和木町和木1-13-1,,34.204944,132.218173,1.9,(0827)53-2655,,353213,山口県,和木町,1,1,1,1,1,,,,1,2514人（2平方メートルあたり1人）,,,"校舎講堂兼屋内運動場713㎡＋グラウンド4,315㎡"
5,和木町立和木中学校,,山口県和木町和木2-5-2,,34.203661,132.220551,1.9,(0827)52-4328,,353213,山口県,和木町,1,1,1,1,1,,,,1,5677人（2平方メートルあたり1人）,,,"校舎多目的スペース373㎡＋グラウンド9,932㎡＋体育館1050㎡"
6,和木町立和木こども園,,山口県和木町和木2-4-1,,34.204165,132.223378,1.9,(0827)52-2707,,353213,山口県,和木町,1,1,1,1,1,,,,1,1998人（2平方メートルあたり1人）,,,"園庭2,808㎡＋遊戯室等1,189㎡"
7,和木町体育センター,,山口県和木町和木1-3-13,,34.204005,132.21998,2.2,(0827)52-2811,,353213,山口県,和木町,,1,,1,,,,,1,525人（2平方メートルあたり1人）,,,"運動フロア1,050㎡"
8,和木美術館,,山口県和木町和木1-3-1,,34.202934,132.220087,2.4,(0827)54-1009,,353213,山口県,和木町,,1,,1,,,,,1,146人（2平方メートルあたり1人）,,,ギャラリー293㎡
9,和木町総合コミュニティセンター,,山口県和木町和木2-15-1,,34.207484,132.221326,2.4,(0827)52-2191,,353213,山口県,和木町,1,1,1,1,1,,,,1,280人（2平方メートルあたり1人）,,,集会室等560㎡
10,和木町保健相談センター,,山口県和木町和木2-15-1,,34.207484,132.221326,2.4,(0827)52-7290,,353213,山口県,和木町,,1,,1,,,,,,80人（2平方メートルあたり1人）,,,運動指導室123㎡＋会議室37㎡
11,和木町総合福祉会館,,山口県和木町和木2-15-22,,34.207568,132.221637,1.8,(0827)52-8644,,353213,山口県,和木町,1,1,1,1,1,,,,1,141人（2平方メートルあたり1人）,,,セミナールーム、研修室等282㎡
12,和木１丁目集会所,,山口県和木町和木1-7-27,,34.204395,132.218685,1.9,(0827)53-1907,,353213,山口県,和木町,,1,,1,,,,,1,74人（2平方メートルあたり1人）,,,広場78㎡＋集会室70㎡
13,和木２丁目第１集会所,,山口県和木町和木2-13-5,,34.2065,132.220041,2.3,(0827)53-7705,,353213,山口県,和木町,,1,,1,,,,,1,28人（2平方メートルあたり1人）,,,集会室56㎡
14,和木２丁目第２集会所,,山口県和木町和木2-7-4,,34.205244,132.22141,1.8,(0827)53-2514,,353213,山口県,和木町,,1,,1,,,,,1,162人（2平方メートルあたり1人）,,,広場254㎡＋集会室70㎡
15,和木２丁目第３集会所,,山口県和木町和木2-3-5-6,,34.20245,132.223045,4.2,(0827)53-5667,,353213,山口県,和木町,1,,,1,1,,,,1,28人（2平方メートルあたり1人）,,,集会室56㎡
16,和木３丁目第１集会所,,山口県和木町和木3-2-30,,34.20479,132.224346,1.6,(0827)53-2458,,353213,山口県,和木町,,,,1,,,,,1,154人（2平方メートルあたり1人）,,,広場238㎡＋集会室70㎡
17,和木３丁目第２集会所,,山口県和木町和木3-12-34,,34.207511,132.222957,1.6,(0827)53-0848,,353213,山口県,和木町,,1,,1,,,,,1,356人（2平方メートルあたり1人）,,,広場636㎡＋集会室等76㎡
18,和木４丁目第２集会所,,山口県和木町和木4-9-14,,34.206008,132.22781,1.2,(0827)52-1150,,353213,山口県,和木町,,1,,1,,,,,1,109人（2平方メートルあたり1人）,,,広場115㎡＋集会室等104㎡
19,和木５丁目集会所,,山口県和木町和木5-4-19,,34.205392,132.230135,1,(0827)53-3184,,353213,山口県,和木町,,1,,1,,,,,1,236人（2平方メートルあたり1人）,,,広場403㎡＋集会室70㎡
20,三井化学記念体育館,,山口県和木町和木5-5-13,,34.205961,132.230608,1.3,,,353213,山口県,和木町,1,1,1,1,1,,,,1,799人（2平方メートルあたり1人）,,,"3Fアリーナ1,598㎡"
21,三井化学㈱和木社宅屋上,,山口県和木町和木2-4,,34.20414,132.22197,1.8,,,353213,山口県,和木町,1,,,,,,,,,1360人（2平方メートルあたり1人）,,,社宅屋上340㎡×8棟
22,ＥＮＥＯＳ㈱和木寮,,山口県和木町和木3-2-39,,34.204298,132.224644,1.8,,,353213,山口県,和木町,1,,,,,,,,,149人（2平方メートルあたり1人）,,,屋上スペース298㎡
23,坂根児童公園,,山口県和木町瀬田2-6,,34.19775,132.21349,10.7,,,353213,山口県,和木町,1,,1,1,1,,,,,800人（2平方メートルあたり1人）,,,公園敷地面積
24,旭ヶ丘遊園地,,山口県和木町瀬田1-5,,34.19471,132.20663,17.1,,,353213,山口県,和木町,1,,1,1,1,,,,,310人（2平方メートルあたり1人）,,,公園敷地面積
25,つつじヶ丘団地第１公園,,山口県和木町瀬田3-3,,34.19789,132.21878,105.5,,,353213,山口県,和木町,1,1,1,1,1,,,,,253人（2平方メートルあたり1人）,,,公園敷地面積
26,つつじヶ丘団地第２公園,,山口県和木町瀬田3-9,,34.19651,132.21766,110.3,,,353213,山口県,和木町,1,1,1,1,1,,,,,672人（2平方メートルあたり1人）,,,公園敷地面積
27,和木町中央公民館瀬田分館,,山口県和木町瀬田2-9-30,,34.197048,132.211153,7,(0827)52-2783,,353213,山口県,和木町,,,1,1,1,,,,1,416人（2平方メートルあたり1人）,,,広場600㎡＋会議室等233㎡
28,大谷集会所,,山口県和木町字峠の下130-1,,,,115.3,(0827)52-2135,,353213,山口県,和木町,1,,1,1,1,,,,1,377人（2平方メートルあたり1人）,,,広場689㎡＋集会室66㎡
29,蜂ヶ峯総合公園,,山口県和木町瀬田紺屋作260-1,,34.193189,132.221302,136.2,(0827)52-3751,,353213,山口県,和木町,1,1,1,1,1,,,,1,7796人（2平方メートルあたり1人）,,,"総合グラウンド面積15,000㎡　公園管理棟592㎡"
30,瀬田２丁目集会所,,山口県和木町瀬田2-6-3,,34.197662,132.213927,6.2,(0827)52-1227,,353213,山口県,和木町,1,,1,1,1,,,,1,135人（2平方メートルあたり1人）,,,広場200㎡＋集会室70㎡
31,瀬田３丁目集会所,,山口県和木町瀬田3-15-8,,34.198997,132.218253,94.9,(0827)52-8803,,353213,山口県,和木町,1,,1,1,1,,,,1,418人（2平方メートルあたり1人）,,,広場767㎡＋集会室70㎡
32,瀬田４丁目集会所,,山口県和木町瀬田4-3-6,,34.19301,132.224103,137,(0827)52-2135,,353213,山口県,和木町,1,1,1,1,1,,,,1,40人（2平方メートルあたり1人）,,,集会室81㎡
