ＮＯ,名称,名称カナ,住所,緯度,経度,管理先電話番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収用人数,ＵＲＬ,備　考
1,養治小学校,ヨウジショウガッコウ,山口県下関市本町2丁目6－1,33.96527581,130.9484501,083-223-2358,35201,山口県,下関市,1,,1,1,1,,,,1,273(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
2,本行寺,ホンギョウジ,山口県下関市赤間町3－12,33.9600127,130.9425451,083-222-2406,35201,山口県,下関市,1,1,1,,1,,,,1,50(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
3,社会福祉センター,シャカイフクシセンター,山口県下関市貴船町3丁目4－1,33.96873541,130.9416504,083-232-2001,35201,山口県,下関市,1,,1,,1,,,,1,257(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
4,貴船公園,キブネコウエン,山口県下関市貴船町3丁目,33.96831477,130.9415394,083-231-1933,35201,山口県,下関市,1,,1,1,1,,,,,200(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
5,勤労福祉会館,キンロウフクシカイカン,山口県下関市幸町8-16,33.96075137,130.942372,083-231-1220,35201,山口県,下関市,1,1,,,1,,,,1,629(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
6,幸町公園,サイワイマチコウエン,山口県下関市幸町２１番,33.96295121,130.9448147,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,1300(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
7,火の山公園,ヒノヤマコウエン,山口県下関市みもすそ川町,33.97358305,130.95992,083-231-1933,35201,山口県,下関市,1,1,1,1,1,,,,,408333(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
8,名池小学校,メイチショウガッコウ,山口県下関市名池町１０－１,33.95855258,130.937343,083-223-1335,35201,山口県,下関市,1,,1,1,1,,,,1,295(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
9,王江小学校,オウエショウガッコウ,山口県下関市入江町9－1,33.95449854,130.9356614,083-222-0008,35201,山口県,下関市,1,,1,1,1,,,,1,243(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
10,文関小学校,ブンカンショウガッコウ,山口県下関市上田中町1丁目14－1,33.96654604,130.9378711,083-222-1433,35201,山口県,下関市,1,,1,1,1,,,,1,322(3㎡あたり1人）,http://www.city.shimonoseki.lg.jp/www/genre/0000000000000/1348559775376/index.html,
