都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
352152,1,山口県,周南市,太華中学校,,,,山口県周南市大字久米4117-4,,34.03331278,131.8314311,(0834)25-0228,,,,,,,,,,,
352152,2,山口県,周南市,鼓南中学校,,,,山口県周南市大字大島10880,,33.98388278,131.7768702,(0834)84-0231,,,,,,,,,,,
352152,3,山口県,周南市,岐陽中学校,,,,山口県周南市大字徳山4915,,34.05463827,131.8144094,(0834)22-8840,,,,,,,,,,,
352152,4,山口県,周南市,菊川中学校,,,,山口県周南市大字上村685-2,,34.09603112,131.7901972,(0834)62-2805,,,,,,,,,,,
352152,5,山口県,周南市,桜田中学校,,,,山口県周南市大字戸田2960,,34.07946357,131.6868103,(0834)83-2007,,,,,,,,,,,
352152,6,山口県,周南市,住吉中学校,,,,山口県周南市住吉町1-80,,34.06413145,131.8058187,(0834)22-8850,,,,,,,,,,,
352152,7,山口県,周南市,須々万中学校,,,,山口県周南市大字須々万本郷10362-5,,34.113831,131.865864,(0834)88-0021,,,,,,,,,,,
352152,8,山口県,周南市,周陽中学校,,,,山口県周南市周陽3-3-1,,34.0438786,131.8304418,(0834)28-1348,,,,,,,,,,,
352152,9,山口県,周南市,秋月中学校,,,,山口県周南市秋月1-1-53,,34.05311662,131.8256473,(0834)28-5830,,,,,,,,,,,
352152,10,山口県,周南市,富田中学校,,,,山口県周南市大字富田2703-1,,34.07308779,131.7620253,(0834)62-2501,,,,,,,,,,,
352152,11,山口県,周南市,福川中学校,,,,山口県周南市若山1-7-1,,34.07623973,131.7291436,(0834)62-2703,,,,,,,,,,,
352152,12,山口県,周南市,和田中学校,,,,山口県周南市大字垰218,,34.14868234,131.7357517,(0834)67-2102,,,,,,,,,,,
352152,13,山口県,周南市,熊毛中学校,,,,山口県周南市大字安田1827-1,,34.04844561,131.9668385,(0833)91-0651,,,,,,,,,,,
352152,14,山口県,周南市,鹿野中学校,,,,山口県周南市大字鹿野上3061,,34.2242,131.8177,(0834)68-2289,,,,,,,,,,,
