都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
352152,1,山口県,周南市,第二保育園,,認可公立保育所,山口県周南市岡田町2-23,,34.0575022,131.8086372,,,(0834)22-8870,,,,,,,,,,,,,,
352152,2,山口県,周南市,櫛浜保育園,,認可公立保育所,山口県周南市大字栗屋859-4,,34.019096,131.8343163,,,(0834)25-0202,,,,,,,,,,,,,,
352152,3,山口県,周南市,須々万保育園,,認可公立保育所,山口県周南市大字須々万奥737,,34.121702,131.87546,,,(0834)88-0042,,,,,,,,,,,,,,
352152,4,山口県,周南市,中須保育園,,認可公立保育所,山口県周南市大字中須南2557-10,,34.110339,131.919667,,,(0834)89-0072,,,,,,,,,,,,,,
352152,5,山口県,周南市,周央保育園,,認可公立保育所,山口県周南市瀬戸見町4-1,,34.0466034,131.8343938,,,(0834)28-1002,,,,,,,,,,,,,,
352152,6,山口県,周南市,尚白保育園,,認可公立保育所,山口県周南市新宿通6-1-22,,34.0621056,131.8006204,,,(0834)22-8871,,,,,,,,,,,,,,
352152,7,山口県,周南市,大内保育園,,認可公立保育所,山口県周南市大内町6-15,,34.04737,131.8269947,,,(0834)28-7307,,,,,,,,,,,,,,
352152,8,山口県,周南市,菊川保育園,,認可公立保育所,山口県周南市大字下上1975-4,,34.0846159,131.7826899,,,(0834)63-8408,,,,,,,,,,,,,,
352152,9,山口県,周南市,城ヶ丘保育園,,認可公立保育所,山口県周南市城ヶ丘3-13-6,,34.0389507,131.8450651,,,(0834)28-7132,,,,,,,,,,,,,,
352152,10,山口県,周南市,川崎保育園,,認可公立保育所,山口県周南市川崎2-14-4,,34.0677671,131.7825367,,,(0834)63-2507,,,,,,,,,,,,,,
352152,11,山口県,周南市,富田南保育園,,認可公立保育所,山口県周南市椎木町5-19,,34.0628231,131.7847296,,,(0834)63-1849,,,,,,,,,,,,,,
352152,12,山口県,周南市,三丘保育園,,認可公立保育所,山口県周南市大字安田638-1,,34.031683,131.981001,,,(0833)92-0055,,,,,,,,,,,,,,
352152,13,山口県,周南市,勝間保育園,,認可公立保育所,山口県周南市大字呼坂10418-176,,34.038185,131.953802,,,(0833)92-0045,,,,,,,,,,,,,,
352152,14,山口県,周南市,鹿野保育園,,認可公立保育所,山口県周南市大字鹿野上2800,,34.2273172,131.8156016,,,(0834)68-3344,,,,,,,,,,,,,,
