都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
352152,1,山口県,周南市,久米小学校,,,,山口県周南市大字久米3417,,34.04096532,131.8448577,(0834)29-0204,,,,,,,,,,,
352152,2,山口県,周南市,櫛浜小学校,,,,山口県周南市大字栗屋860,,34.02160244,131.8320228,(0834)25-0042,,,,,,,,,,,
352152,3,山口県,周南市,遠石小学校,,,,山口県周南市遠石1-3-48,,34.0424894,131.8181787,(0834)21-0246,,,,,,,,,,,
352152,4,山口県,周南市,周陽小学校,,,,山口県周南市周陽1-15-1,,34.04791154,131.8282696,(0834)28-0555,,,,,,,,,,,
352152,5,山口県,周南市,秋月小学校,,,,山口県周南市秋月1-1-50,,34.05412765,131.8263944,(0834)28-2151,,,,,,,,,,,
352152,6,山口県,周南市,桜木小学校,,,,山口県周南市桜木1-11-1,,34.04122902,131.8382081,(0834)28-6310,,,,,,,,,,,
352152,7,山口県,周南市,徳山小学校,,,,山口県周南市毛利町1-1,,34.05425752,131.8090489,(0834)22-8800,,,,,,,,,,,
352152,8,山口県,周南市,今宿小学校,,,,山口県周南市今住町1-40,,34.06238429,131.802844,(0834)22-8830,,,,,,,,,,,
352152,9,山口県,周南市,菊川小学校,,,,山口県周南市大字下上80-1,,34.08987034,131.784334,(0834)62-2813,,,,,,,,,,,
352152,10,山口県,周南市,夜市小学校,,,,山口県周南市大字夜市730,,34.08281121,131.7162136,(0834)62-2711,,,,,,,,,,,
352152,11,山口県,周南市,戸田小学校,,,,山口県周南市大字戸田2527-2,,34.0784137,131.688213,(0834)83-2016,,,,,,,,,,,
352152,12,山口県,周南市,湯野小学校,,,,山口県周南市大字湯野3843,,34.0996475,131.6779049,(0834)83-2025,,,,,,,,,,,
352152,13,山口県,周南市,岐山小学校,,,,山口県周南市大字徳山5673,,34.05963795,131.8180424,(0834)22-8820,,,,,,,,,,,
352152,14,山口県,周南市,沼城小学校,,,,山口県周南市大字須々万本郷514,,34.12154418,131.867712,(0834)88-0008,,,,,,,,,,,
352152,15,山口県,周南市,須磨小学校,,,,山口県周南市大字須万2581,,34.20081212,131.9222266,(0834)86-2210,,,,,,,,,,,
352152,16,山口県,周南市,鼓南小学校,,,,山口県周南市大字大島1436,,33.98062,131.7806,(0834)84-0012,,,,,,,,,,,
352152,17,山口県,周南市,富田東小学校,,,,山口県周南市桶川町2-1,,34.07178537,131.7756133,(0834)62-2335,,,,,,,,,,,
352152,18,山口県,周南市,富田西小学校,,,,山口県周南市富田2-14-1,,34.07461805,131.7533506,(0834)62-2075,,,,,,,,,,,
352152,19,山口県,周南市,福川小学校,,,,山口県周南市福川3-2-1,,34.07560101,131.7368042,(0834)62-2676,,,,,,,,,,,
352152,20,山口県,周南市,福川南小学校,,,,山口県周南市中畷町6-1,,34.0717428,131.7275439,(0834)63-8230,,,,,,,,,,,
352152,21,山口県,周南市,和田小学校,,,,山口県周南市大字垰212-1,,34.14668,131.7391,(0834)67-2101,,,,,,,,,,,
352152,22,山口県,周南市,三丘小学校,,,,山口県周南市大字小松原1242,,34.03559747,131.9914816,(0833)91-0327,,,,,,,,,,,
352152,23,山口県,周南市,高水小学校,,,,山口県周南市大字樋口288,,34.0612142,131.97784,(0833)92-0091,,,,,,,,,,,
352152,24,山口県,周南市,勝間小学校,,,,山口県周南市勝間ヶ丘1-1-1,,34.04739825,131.9537506,(0833)92-0094,,,,,,,,,,,
352152,25,山口県,周南市,大河内小学校,,,,山口県周南市大字大河内1115-1,,34.02694702,131.9408937,(0833)92-0097,,,,,,,,,,,
352152,26,山口県,周南市,八代小学校,,,,山口県周南市大字八代10877-3,,34.0848,131.9397,(0833)91-0017,,,,,,,,,,,
352152,27,山口県,周南市,鹿野小学校,,,,山口県周南市大字鹿野上3054-1,,34.22830907,131.8160395,(0834)68-2288,,,,,,,,,,,
