教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地_連結表記,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード,住所_全国地方公共団体コード,住所_町字ID,住所_都道府県,住所_市区町村（郡）,住所_建物名等(方書)
A135210000216,A1,35,2,岩国市,1,,,玖珂幼稚園,クガヨウチエン,,山口県岩国市玖珂町539,,,,7420325,34.09631095,132.0817764,,,2020/12/22,,356831,,352080,,山口県,岩国市,
A235210000117,A2,35,2,岩国市,1,,,にこにこちどりこども園,ニコニコチドリコドモエン,,山口県岩国市由宇町港1丁目17-1,,,,7401424,34.04383693,132.215177,,,2020/12/22,,35A047,,352080,,山口県,岩国市,
A235210000126,A2,35,2,岩国市,1,,,さかうえこども園,サカウエコドモエン,,山口県岩国市美和町渋前431-1,,,,7401225,34.2280304,132.1039241,,,2020/12/22,,35A048,,352080,,山口県,岩国市,
B135210001302,B1,35,2,岩国市,1,,,小瀬小学校,オゼショウガッコウ,,山口県岩国市小瀬288-1,,,,7410091,34.20927878,132.1934079,,,2020/12/22,,350204,,352080,,山口県,岩国市,
B135210001311,B1,35,2,岩国市,1,,,御庄小学校,ミショウショウガッコウ,,山口県岩国市御庄1362,,,,7410083,34.16264378,132.1474187,,,2020/12/22,,350205,,352080,,山口県,岩国市,
B135210001320,B1,35,2,岩国市,1,,,藤河小学校,フジカワショウガッコウ,,山口県岩国市多田1365-2,,,,7410092,34.1858942,132.1602826,,,2020/12/22,,350206,,352080,,山口県,岩国市,
B135210001339,B1,35,2,岩国市,1,,,杭名小学校,クイナショウガッコウ,,山口県岩国市杭名18-2,,,,7400303,34.17292776,132.109152,,,2020/12/22,,350207,,352080,,山口県,岩国市,
B135210001348,B1,35,2,岩国市,1,,,天尾小学校,テンノウショウガッコウ,,山口県岩国市天尾262,,,,7400306,34.17227673,132.0649318,,,2020/12/22,,350208,,352080,,山口県,岩国市,
B135210001357,B1,35,2,岩国市,1,,,河内小学校,コウチショウガッコウ,,山口県岩国市土生82,,,,7400326,34.15252357,132.1022849,,,2020/12/22,,350210,,352080,,山口県,岩国市,
B135210001366,B1,35,2,岩国市,1,,,柱野小学校,ハシラノショウガッコウ,,山口県岩国市柱野1092-3,,,,7410073,34.13199982,132.148735,,,2020/12/22,,350211,,352080,,山口県,岩国市,
