学校ID,学校コード,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名
2100001,,山口県,,岩国市,,352080,小瀬小学校,オゼショウガッコウ,1503,,,小瀬,,
2100002,,山口県,,岩国市,,352080,御庄小学校,ミショウショウガッコウ,1503,,,御庄;大谷;持国;御庄一丁目から五丁目まで,,
2100003,,山口県,,岩国市,,352080,藤河小学校,フジカワショウガッコウ,1503,,,関戸;多田（横山側を除く。）;田原;阿品、沼田ケ原地区;関戸一丁目;多田一丁目から三丁目まで,,
2100004,,山口県,,岩国市,,352080,杭名小学校,クイナショウガッコウ,1503,,,守内;瓦谷;杭名;下;行波;天尾のうち荒瀬地区（天尾小が休校している間は、天尾小の通学区域を含む。）,,
2100005,,山口県,,岩国市,,352080,天尾小学校（休校）,テンノウショウガッコウ,1503,,,天尾（荒瀬地区を除く。）;二鹿;相ノ谷,,
2100006,,山口県,,岩国市,,352080,河内小学校,コウチショウガッコウ,1503,,,廿木;竹安;伊房;大山;保木;角;寺山;土生;上田;行正;近延;入野,,
2100007,,山口県,,岩国市,,352080,柱野小学校,ハシラノショウガッコウ,1503,,,柱野;六呂師;叶木,,
2100008,,山口県,,岩国市,,352080,通津小学校,ツヅショウガッコウ,1503,,,通津;長野;保津町二丁目8番、9番、11番、12番、13番38号、19番46号、47号、48号、50号、52号及び53号、21番並びに23番,,
2100009,,山口県,,岩国市,,352080,岩国小学校,イワクニショウガッコウ,1503,,,錦見;岩国;横山;川西;牛野谷町（三丁目を除く。）;多田のうち横山側,,
2100010,,山口県,,岩国市,,352080,麻里布小学校,マリフショウガッコウ,1503,,,麻里布町（一丁目8番95号及び97号並びに二丁目10番を除く。）;室の木町;今津町;立石町（一丁目を除く。）;砂山町;山手町,,
2100011,,山口県,,岩国市,,352080,装港小学校（休校）,ショウコウショウガッコウ,1503,,,装束町;新港町,,
2100012,,山口県,,岩国市,,352080,柱島小学校（休校）,ハシラジマショウガッコウ,1503,,,柱島のうち柱島地区,,
2100013,,山口県,,岩国市,,352080,黒島小学校（休校）,クロシマショウガッコウ,1503,,,柱島のうち黒島地区,,
2100014,,山口県,,岩国市,,352080,端島小学校（休校）,ハシマショウガッコウ,1503,,,柱島のうち端島地区,,
2100015,,山口県,,岩国市,,352080,川下小学校,カワシモショウガッコウ,1503,,,楠町;中津町;車町;川下町;旭町;三角町,,
2100016,,山口県,,岩国市,,352080,愛宕小学校,アタゴショウガッコウ,1503,,,牛野谷町三丁目;門前町;尾津町;愛宕町;南岩国町一丁目（20番、21番、23番から30番までを除く。）;南岩国町二丁目（1番から8番まで、9番の一部、47番から112番までを除く。）,,
2100017,,山口県,,岩国市,,352080,灘小学校,ナダショウガッコウ,1503,,,灘町;南岩国町（一丁目、二丁目、三丁目28番の一部、29番から38番まで、四丁目1番から54番まで、80番から90番までを除く。）;海土路町（一丁目1番から5番までを除く。）;藤生町;黒磯町一丁目1番、2番;黒磯町二丁目1番から4番まで,,
2100018,,山口県,,岩国市,,352080,中洋小学校,チュウヨウショウガッコウ,1503,,,黒磯町（一丁目1番及び2番並びに二丁目1番から4番までを除く。）;青木町;保津町（二丁目8番、9番、11番、12番、13番38号、19番46号、47号、48号、50号、52号及び53号、21番並びに23番を除く。）,,
2100019,,山口県,,岩国市,,352080,平田小学校,ヒラタショウガッコウ,1503,,,平田;南岩国町一丁目20番、21番、23番から30番まで;南岩国町二丁目1番から8番まで、9番の一部、47番から112番まで;南岩国町三丁目28番の一部、29番から38番まで;南岩国町四丁目1番から54番まで、80番から90番まで;海土路町一丁目1番から5番まで,,
2100020,,山口県,,岩国市,,352080,東小学校,ヒガシショウガッコウ,1503,,,日の出町;川口町;三笠町;桂町;元町;昭和町;飯田町;麻里布町一丁目8番95号及び97号;麻里布町二丁目10番;立石町一丁目（装港小が休校している間は、装港小の通学区域を含む。）,,
