情報の管理主体_全国地方公共団体コード,学校ID,学校コード,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名
352128,YN0000000001,B135210001810,山口県,,柳井市,,352128,日積小学校,ヒヅミショウガッコウ,1503,,,小国;平和台;上若杉;若杉;大谷;割石;東割石;宮ケ峠;東宮ケ峠;忍道;早馬原;川谷;丸子;諏訪;鍛冶屋原;宮ケ原;南;坂川;岡村;水梨;鷹の巣;堺原;大福原;正福;的場;あそか苑;尾崎原;宮の下;大里;北智雲院;中院;大原;北小国,,
352128,YN0000000002,B135210001712,山口県,,柳井市,,352128,柳井小学校,ヤナイショウガッコウ,1503,,,片野東;片野西;北中開作;南中開作;東土手;新天地;山根;山根西;姫田;今市;新町;上田;東後地;西後地;尾の上;和田;忠信;広瀬;北町;新市六;新市中;新市三;天神二;天神北;天神南;土手;北浜;亀岡;魚町;久保;金屋;古市;中野;愛宕;洲崎;南浜;東大才;中大才;西大才;みずほ;柳町;東樋の上;コープ柳井;西樋の上;中塚;箕越東;箕越南;瀬戸側;土穂石;西土穂石;東向地;西向地;グランビュー南町;サントピア;サントノーレ柳井中央;スイートレジデンス柳井駅前;一丁田団地;グランシエロ柳井駅南;ヴィークス柳井駅南,,
352128,YN0000000003,B135210001721,山口県,,柳井市,,352128,柳東小学校,リュウトウショウガッコウ,1503,,,白潟東一;白潟東二;白潟西上;白潟西下;白潟西二;江の浦東;江の浦西;宮本東;宮本西;宮野;大屋;大屋東;千才;野地;琴風;琴風団地;水口,,
352128,YN0000000004,B135210001730,山口県,,柳井市,,352128,柳北小学校,リュウホクショウガッコウ,1503,,,国清;迫田;下馬皿;中馬皿;上馬皿;石井;横川;黒杭;畑,,
352128,YN0000000005,B135210001749,山口県,,柳井市,,352128,新庄小学校,シンジョウショウガッコウ,1503,,,宮の下東;宮の下西;東富尾;下富尾;中富尾;上富尾;浜の内;苗代地;上苗代地;上大祖;下大祖北;下大祖中;下大祖南;築山;宝泉;下沖原;中沖原;沖原;大倉;安行;林の西;林の東;水越;上り屋敷;佐保;篠原;中村;浜;山の口;新生;幸南;幸ケ丘;築出東一区;築出東二区;築出東三区;つきで;築出西;築出北;わかば;樋の口;深田;みどり;さくら;向陽,,
352128,YN0000000006,B135210001758,山口県,,柳井市,,352128,余田小学校,ヨタショウガッコウ,1503,,,河添;中村;平田;尾林;西山;蓮台寺;小平尾;晩の木;今出;中郷;院内;保生地;堀;小原;坂本;宝積台;平尾,,
352128,YN0000000007,B135210001767,山口県,,柳井市,,352128,伊陸小学校,イカチショウガッコウ,1503,,,長野;木部;錦;北畑;宗兼;中村;奥畑;門前;泉;宮ケ原;旭;久可地;松山;丸山;塩田地;藤の木;上大の口;中大の口;下大の口;大迫;上竹常;下竹常,,
352128,YN0000000008,B135210001776,山口県,,柳井市,,352128,平郡東小学校,ヘイグンヒガシショウガッコウ,1503,,,内浜･阿宗;石仏･縄手;大江･中浜;河内･浦中手;中手･石原･佐保;上久保･下久保;江の尻;波止,,
352128,YN0000000009,B135210001785,山口県,,柳井市,,352128,平郡西小学校,ヘイグンニシショウガッコウ,1503,,,鶴甫;松葉川;伊場,休校中,
352128,YN0000000010,B135210001794,山口県,,柳井市,,352128,柳井南小学校,ヤナイミナミショウガッコウ,1503,,,池の浦;相の浦上;相の浦中;相の浦下;宇積;中村造船;国清;竹の浦;松浦;西;和田;合中上;合中下;東;青木;吉毛;畑;コスタ;病院;ゆうわ苑;岩政;近長上;近長下;開作前;開作後;向田;八幡;大古庵;福井;郷中;岡河内;原;山近;小野上;小野下前;小野下後;浜前;浜後;中郷;空上;空下;和田石;黒島上;黒島下,,
352128,YN0000000011,B135210001801,山口県,,柳井市,,352128,小田小学校,オダショウガッコウ,1503,,,前瀬越;後瀬越;楠;神出;小木尾上;小木尾中;小木尾下;大木尾;上浜;東高須;西高須;東田布路木;旭ケ丘;西田布路木;高須住宅;みどり,,
352128,YN0000000012,B135210002169,山口県,,柳井市,,352128,大畠小学校,オオバタケショウガッコウ,1503,,,神代地区;大畠地区;遠崎地区,,
352128,YN0000000013,C135210000971,山口県,,柳井市,,352128,柳井中学校,ヤナイチュウガッコウ,1504,,,柳井小学校;柳東小学校;柳北小学校;日積小学校;伊陸小学校;柳井南小学校;小田小学校;平郡東小学校;平郡西小学校　各校通学区域,,
352128,YN0000000014,C135210000980,山口県,,柳井市,,352128,柳井西中学校,ヤナイニシチュウガッコウ,1504,,,新庄小学校;余田小学校　各校通学区域,,
352128,YN0000000015,C135210001159,山口県,,柳井市,,352128,大畠中学校,オオバタケチュウガッコウ,1504,,,大畠小学校通学区域,,
