どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【交通】危険な場所,地域のみんな,"車の交通量が多く、気をつけてわたってほしいところです。
",伝えたい,131.8256676,34.04983064,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_008.jpeg
【交通】危険な場所,地域のみんな,交差点で車の量が多いので左右を確認して通ってください。,伝えたい,131.8290193,34.04591478,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_014.jpeg
【交通】危険な場所,子ども,"歩道の方を歩いて下さい
デコボコしている所をさけて歩く。",絶対に伝えたい,131.8326702,34.04763775,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_016.jpeg
【交通】危険な場所,地域のみんな,暗くなったら溝が見えないから、気をつけて歩いたほうがいいです。,伝えたい,131.8242807,34.05278195,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_024.jpeg
【交通】危険な場所,地域のみんな,"車の通行量が多いので気をつけて渡ってください。
信号に頼ることなく自分の目で左右の安全を確認してください。",絶対に伝えたい,131.829024,34.04591268,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_027.jpeg
【交通】危険な場所,子ども,"良く見てから進んだ方がいいです。
",伝えたい,131.8248024,34.05190996,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_028.jpeg
【交通】危険な場所,子ども,車が前後左右からくるから左右確認してわたる。,伝えたい,131.8248935,34.05013672,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_029.jpeg
【交通】危険な場所,地域のみんな,角であるため自動車が来ていないか、確認しずらい。,絶対に伝えたい,131.8327365,34.04759402,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_030.jpeg
【交通】危険な場所,地域のみんな,車のスピードがつくからゆっくり進んだほうがいい,伝えたい,131.825359,34.05155431,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_033.jpeg
【交通】危険な場所,地域のみんな,車が見えにくいから気をつけて歩く,絶対に伝えたい,131.8345949,34.04929315,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_034.jpeg
【交通】危険な場所,地域のみんな,細い道で、車がとても近いから前後に気おつけて通ってください。,絶対に伝えたい,131.8294615,34.04559821,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_035.jpeg
【交通】危険な場所,お年寄り,"落ち葉が多いので溝が見えにくいです。
特に夜はライトを持って歩くと安心です。",絶対に伝えたい,131.8241652,34.0519615,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_036.jpeg
【交通】危険な場所,地域のみんな,通る時気おつけて歩いたほうがいい。,伝えたい,131.8259727,34.05043555,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_037.jpeg
【交通】危険な場所,地域のみんな,車が速いから近くの信号を使う。,絶対に伝えたい,131.8344887,34.04923677,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_039.jpeg
【交通】危険な場所,地域のみんな,信号がない横断歩道なので、よく車に気をつけ左右を確認して通ってください。,伝えたい,131.8305116,34.04482477,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_042.jpeg
【交通】危険な場所,地域のみんな,"下り坂で、勢いのある車が来ます。
人も見えずらいです。
周りの人や車に気をつけてください。",絶対に伝えたい,131.8249485,34.05183025,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_043.jpeg
【交通】危険な場所,大人,"車で走っている人は左右を確認して通ったほうがいい。
",伝えたい,131.8245124,34.04936226,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_049.jpeg
【交通】危険な場所,子ども,夜に通ったら車があまり見えないからまわりをしんちょうにみる。,伝えたい,131.8336419,34.04971553,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_051.jpeg
【交通】危険な場所,地域のみんな,"溝を歩いたりしないでください。
よそ見をしながら歩かないでください。",伝えたい,131.8320411,34.0461031,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_053.jpeg
【交通】危険な場所,大人,車でいそいでとおらないほうがいいです。,伝えたい,131.8240256,34.04738956,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_055.jpeg
【交通】危険な場所,地域のみんな,交差点に、信号機がないため、自分で左右を見て安全に気をつけて渡ってください。,伝えたい,131.8305913,34.04478238,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_056.jpeg
【交通】危険な場所,大人,角で車の姿が見えない時はカーブミラーを見てください。,どちらでもよい,131.8326197,34.04662622,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_057.jpeg
【交通】危険な場所,地域のみんな,車が坂で見えないので、白線の内側を歩きましょう。,伝えたい,131.8258838,34.05119662,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_058.jpeg
【交通】危険な場所,地域のみんな,車が見えにくいから、いつもよりもしっかり見る。,絶対に伝えたい,131.8327781,34.0501817,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_059.jpeg
【交通】危険な場所,地域のみんな,まえからくるものに気をつけながらゆっくり歩きましょう,伝えたい,131.8345967,34.04934518,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_060.jpeg
【交通】危険な場所,地域のみんな,歩道が1人分ぐらいの小さい歩道なので2人で歩く時や自転車の時は車が通ってから通ってください。,絶対に伝えたい,131.8321772,34.04690369,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_065.jpeg
【交通】危険な場所,地域のみんな,車が多いので、左右ちゃんと確認して、渡ってください。,伝えたい,131.8320867,34.04705512,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_067.jpeg
【交通】危険な場所,子ども,木が邪魔で、見通しが悪いから、気おつけてみる,絶対に伝えたい,131.8322209,34.0484955,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_068.jpeg
【交通】危険な場所,地域のみんな,自動車のスピードが早いので、気をつけながら歩きましょう。,伝えたい,131.8325933,34.05131304,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_070.jpeg
【交通】危険な場所,地域のみんな,運転手はスピードを下げてください。歩行者は白線の内側お歩きましょう。,伝えたい,131.8242671,34.04947754,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_072.jpeg
【交通】危険な場所,子ども,交通量が多いからなるべく交通量が多いところを通らない。,伝えたい,131.8314083,34.04846447,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_074.jpeg
【交通】危険な場所,地域のみんな,車が通る所は、よけましょう。,伝えたい,131.835272,34.04890278,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_076.jpeg
【交通】危険な場所,お年寄り,交通量が多いのできけんです。,伝えたい,131.8328136,34.04750669,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_084.jpeg
【交通】危険な場所,地域のみんな,信号がなくて車も多いので左右をよく見て渡りましょう。,伝えたい,131.831463,34.04827152,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_085.jpeg
