どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【災害】危険な場所,子ども,スターアーク近くの川　大雨が降ると危ないです。小さい通路があってそこはフェンスがないので危険。,伝えたい,131.821458,34.03946814,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_011.jpeg
【災害】危険な場所,地域のみんな,送電線　倒れてきたら危ない。柵に入らない。,絶対に伝えたい,131.8200947,34.04329894,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_020.jpeg
【災害】危険な場所,子ども,KINGの店の近く　手すりを触らないようにしよう,絶対に伝えたい,131.8195117,34.04051172,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_033.jpeg
【災害】危険な場所,"子ども,お年寄り",コスモスの近くの溝　覗かないほうがいい。大雨で流れが強くなって落ちたら流されてしまう。あふれてしまう。,絶対に伝えたい,131.8241334,34.04487271,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_038.jpeg
【災害】危険な場所,"子ども,お年寄り",たびらばしの階段　　　　　　　　滑って大怪我をする可能性があるから危ないです。,絶対に伝えたい,131.8160758,34.04567257,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_046.jpeg
【災害】危険な場所,地域のみんな,カサベラマンションの細道　みぞに雨がふると水があふれて危ない。,伝えたい,131.8183274,34.04151785,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_059.jpeg
【災害】危険な場所,地域のみんな,セブンイレブンの裏道にある崖　土砂崩れになったらあぶない。雨や大雨の時は近づかないほうがいい。,絶対に伝えたい,131.8219359,34.04280897,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_063.jpeg
【災害】危険な場所,地域のみんな,崖なので、雨が降った後、滑りやすくなってるから落ちるかもしれない。,伝えたい,131.8197012,34.04061248,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_070.jpeg
【災害】危険な場所,"子ども,お年寄り",私たちの通学路の坂にあるみぞ　大雨が降った時に水が溢れ出す可能性がある。覗かないほうがいい。,絶対に伝えたい,131.8192161,34.04351943,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_071.jpeg
【災害】危険な場所,地域のみんな,遠石小学校の横の道　災害がおこったら土砂災害が起こる。,伝えたい,131.8185891,34.04311942,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_099.jpeg
【災害】危険な場所,"子ども,大人,お年寄り,地域のみんな",遠石小学校の近く　大雨が降ったら土砂崩れが起きるし、本当におきたから。,絶対に伝えたい,131.8186789,34.04279382,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_103.jpeg
【災害】危険な場所,地域のみんな,散髪屋かっこよくカット。カラーもできる。災害が起きた時はここにこない方がいい。,伝えたい,131.8223371,34.04280238,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_116.jpeg
【災害】危険な場所,"子ども,お年寄り",学校に繋がる階段　急な階段。雨が降った時に滑りやすくなるので気をつけてほしい。,伝えたい,131.8188005,34.04336059,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_130.jpeg
【災害】危険な場所,地域のみんな,遠石川…雨が降ったら洪水になる可能性があるので、雨が降った時は行かないほうがいい。,絶対に伝えたい,131.8218623,34.03976571,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_133.jpeg
【災害】危険な場所,子ども,青山公園　タバコが落ちているし、ベンチがさびている。,絶対に伝えたい,131.817705,34.0434714,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_134.jpeg
【災害】危険な場所,"子ども,大人,お年寄り,地域のみんな",田平橋の近くの階段　じしんで、くずれるかもしれないからあぶない。,伝えたい,131.8162875,34.04610149,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_141.jpeg
【災害】危険な場所,子ども,上遠石公園　上遠石公園の鉄棒さびているから危ない。災害とか遊ぶ時に危ない。,絶対に伝えたい,131.821604,34.04400736,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_144.jpeg
【災害】危険な場所,子ども,"フレンドパークの近道の途中
土砂災害が危ない",伝えたい,131.8269739,34.0441875,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_147.jpeg
【災害】危険な場所,地域のみんな,"遠石小の隣の階段
雨の時の降りる時が危ない。",伝えたい,131.8185953,34.0431968,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_156.jpeg
【災害】危険な場所,地域のみんな,"上遠石公園の近くの階段
階段がきゅうで走ると危険。",絶対に伝えたい,131.8213754,34.04356379,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_178.jpeg
【災害】危険な場所,地域のみんな,"スターアーク遠石の近くの細い道
柵がないから通るときに落ちる可能性がある。できるだけこの道を通らない方が良い。",どちらでもよい,131.8213639,34.03940916,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_186.jpeg
【災害】危険な場所,地域のみんな,"医師会病院の裏
崖崩れ注意
",伝えたい,131.8170831,34.04910449,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_199.jpeg
