どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【交通】安全な場所,地域のみんな,"車がとおらないから安全。
",伝えたい,131.8318824,34.04809286,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_009.jpeg
【交通】安全な場所,大人,車と自転車の間の道が広い。,伝えたい,131.8274509,34.05106734,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_012.jpeg
【交通】安全な場所,子ども,信号があって安全ですが、車の通りが多いです。,伝えたい,131.8265428,34.0495302,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_022.jpeg
【交通】安全な場所,地域のみんな,安全に渡れるからなるべく渡ってください,伝えたい,131.8321758,34.04817937,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_022.jpeg
【交通】安全な場所,地域のみんな,歩道と自転車の道が分かれていて安全です。,伝えたい,131.8249191,34.05268072,
【交通】安全な場所,大人,自転車の道と歩行者の道あるから安全です,伝えたい,131.8318993,34.04820051,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_038.jpeg
【交通】安全な場所,地域のみんな,歩こう者の歩く道が広くて安全。,絶対に伝えたい,131.8357587,34.05016898,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_050.jpeg
【交通】安全な場所,地域のみんな,目の不自由な人のためにも点字ブロックの上をなるべく歩かないようにしましょう。,伝えたい,131.8320114,34.04821096,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_051.jpeg
【交通】安全な場所,子ども,横断歩道がない場所だから、安全に道路をわたることができます。,伝えたい,131.8318905,34.04809038,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_085.jpeg
【交通】安全な場所,地域のみんな,道が広いのでこの道を通ったら安全です。,伝えたい,131.8357654,34.05017024,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_087.jpeg
