都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352012,0000000001,山口県,下関市,彦島公民館,ヒコシマコウミンカン,,1307,山口県下関市彦島江の浦町一丁目3番1号,,,,083-267-1344,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000002,山口県,下関市,長府公民館,チョウフコウミンカン,,1307,山口県下関市長府土居の内町1番6号,,,,083-246-3413,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000003,山口県,下関市,王司公民館,オウジコウミンカン,,1307,山口県下関市王司神田一丁目9番1号,,,,083-248-3176,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000004,山口県,下関市,清末公民館,キヨスエコウミンカン,,1307,山口県下関市清末陣屋5番20号,,,,083-282-1056,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000005,山口県,下関市,小月公民館,オヅキコウミンカン,,1307,山口県下関市小月本町一丁目7番7号,,,,083-282-0661,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000006,山口県,下関市,王喜公民館,オウキコウミンカン,,1307,山口県下関市王喜本町二丁目15番10号,,,,083-282-0219,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000007,山口県,下関市,吉田公民館,ヨシダコウミンカン,,1307,山口県下関市大字吉田地方2499番地,,,,083-284-0205,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000008,山口県,下関市,内日公民館,ウツイコウミンカン,,1307,山口県下関市大字内日下1146番地5,,,,083-289-2036,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000009,山口県,下関市,勝山公民館,カツヤマコウミンカン,,1307,山口県下関市秋根南町二丁目4番33号,,,,083-256-2779,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000010,山口県,下関市,川中公民館,カワナカコウミンカン,,1307,山口県下関市伊倉町二丁目1番1号,,,,083-255-3501,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;エレベーター有り;入口スロープ有り,,
352012,0000000011,山口県,下関市,川中公民館分館,カワナカコウミンカンブンカン,,1307,山口県下関市綾羅木本町三丁目1番20号,,,,,,,,火水木金土日,09:00,22:00,休館日：毎週月曜日、12/29～1/3,AED有り,多目的トイレ有り;入口スロープ有り,,"問合せ先：川中公民館
（℡　083-255-3501）"
