都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352012,0000000001,山口県,下関市,下関市立養治小学校,シモノセキシリツヨウジショウガッコウ,,1503,山口県下関市本町二丁目6番1号,,,,083-223-2358,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~youji_s/,
352012,0000000002,山口県,下関市,下関市立文関小学校,シモノセキシリツブンカンショウガッコウ,,1503,山口県下関市上田中町一丁目14番1号,,,,083-222-1433,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~bunkan_s/,
352012,0000000003,山口県,下関市,下関市立名池小学校,シモノセキシリツメイチショウガッコウ,,1503,山口県下関市名池町10番1号,,,,083-223-1335,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~meichi_s/,
352012,0000000004,山口県,下関市,下関市立王江小学校,シモノセキシリツオウエショウガッコウ,,1503,山口県下関市入江町9番1号,,,,083-222-0008,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~oue_s/,
352012,0000000005,山口県,下関市,下関市立関西小学校,シモノセキシリツカンセイショウガッコウ,,1503,山口県下関市関西町12番1号,,,,083-222-3166,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~kansei_s/,
352012,0000000006,山口県,下関市,下関市立桜山小学校,シモノセキシリツサクラヤマショウガッコウ,,1503,山口県下関市上新地町二丁目5番10号,,,,083-222-2649,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~sakura_s/,
352012,0000000007,山口県,下関市,下関市立向山小学校,シモノセキシリツムカイヤマショウガッコウ,,1503,山口県下関市向山町14番1号,,,,083-223-8366,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~mukaiyama_s/,
352012,0000000008,山口県,下関市,下関市立生野小学校,シモノセキシリツイクノショウガッコウ,,1503,山口県下関市幡生本町7番14号,,,,083-252-2044,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~ikuno_s/,
352012,0000000009,山口県,下関市,下関市立山の田小学校,シモノセキシリツヤマノタショウガッコウ,,1503,山口県下関市山の田中央町13番1号,,,,083-252-3735,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~yamanota_s/,
352012,0000000010,山口県,下関市,下関市立本村小学校,シモノセキシリツホンムラショウガッコウ,,1503,山口県下関市彦島本村町三丁目16番1号,,,,083-266-3288,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~honmura_s/,
352012,0000000011,山口県,下関市,下関市立西山小学校,シモノセキシリツニシヤマショウガッコウ,,1503,山口県下関市彦島迫町五丁目13番21号,,,,083-266-0159,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~nishiyama_s/,
352012,0000000012,山口県,下関市,下関市立江浦小学校,シモノセキシリツエノウラショウガッコウ,,1503,山口県下関市彦島江の浦町三丁目4番1号,,,,083-266-0067,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~enoura_s/,
352012,0000000013,山口県,下関市,下関市立角倉小学校,シモノセキシリツスマクラショウガッコウ,,1503,山口県下関市彦島角倉町三丁目5番5号,,,,083-266-0718,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~sumakura_s/,
352012,0000000014,山口県,下関市,下関市立向井小学校,シモノセキシリツムカイショウガッコウ,,1503,山口県下関市彦島向井町二丁目20番1号,,,,083-267-6700,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~mukai_s/,
352012,0000000015,山口県,下関市,下関市立小月小学校,シモノセキシリツオヅキショウガッコウ,,1503,山口県下関市小月西の台6番1号,,,,083-282-0152,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~oduki_s/,
352012,0000000016,山口県,下関市,下関市立清末小学校,シモノセキシリツキヨスエショウガッコウ,,1503,山口県下関市清末西町一丁目6番1号,,,,083-282-0114,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~kiyosue_s/,
352012,0000000017,山口県,下関市,下関市立王司小学校,シモノセキシリツオウジショウガッコウ,,1503,山口県下関市王司神田六丁目9番1号,,,,083-248-1130,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~ouji_s/,
352012,0000000018,山口県,下関市,下関市立豊浦小学校,シモノセキシリツトヨラショウガッコウ,,1503,山口県下関市長府亀の甲二丁目2番1号,,,,083-246-1681,,,,,,,,,,http://kam.edu.city.shimonoseki.yamaguchi.jp/~toyora_s/,
