都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
352012,0000000001,山口県,下関市,功山寺仏殿　１棟,コウザンジブツデン,,,国宝,建造物,功山寺,山口県下関市長府川端一丁目２番３号,,,,083-245-0258,,,,,功山寺,1953-11-14,,,,,,,,,,,,
352012,0000000002,山口県,下関市,住吉神社本殿　１棟,スミヨシジンジャホンデン,,,国宝,建造物,住吉神社,山口県下関市一の宮住吉一丁目１１番１号,,,,083-256-2656,,,,,住吉神社,1953-11-14,,09:00,16:00,,,,,,,,,
352012,0000000003,山口県,下関市,住吉神社拝殿　１棟,スミヨシジンジャハイデン,,,重要文化財,建造物,住吉神社,山口県下関市一の宮住吉一丁目１１番１号,,,,083-256-2656,,,,,住吉神社,1954-09-17,,09:00,16:00,,,,,,,,,
352012,0000000004,山口県,下関市,旧下関英国領事館　２棟,キュウシモノセキエイコクリョウジカン,,,重要文化財,建造物,旧下関英国領事館,山口県下関市唐戸町４番１１号,,,,083-235-1906,,,,,下関市,1999-05-13,月水木金土日,09:00,17:00,レストラン　10:00～18:00,,,,,,,,
352012,,山口県,下関市,六連島灯台　１基,ムツレシマトウダイ,,,重要文化財,建造物,六連島灯台,山口県下関市大字六連島字船着６５４番地ほか,,,,,,,,,国（海上保安庁）ほか,2020-12-23,,,,,,,,,,,,
352012,,山口県,下関市,角島灯台　１基２棟,ツノシマトウダイ,,,重要文化財,建造物,角島灯台公園,山口県下関市豊北町大字角島字夢崎２３４３番地１、２,,,,,,,,,国（海上保安庁）ほか,2020-12-23,,09:00,17:00,,,,,,,,,
352012,0000000005,山口県,下関市,絹本著色十二天曼荼羅図　１幅,ケンポンチャクショクジュウニテンマンダラズ,,,重要文化財,美術工芸品,国分寺,山口県下関市南部町４番１号,,,,083-222-2081,,,,,国分寺,1950-08-29,,,,,,,,,,,,
352012,0000000006,山口県,下関市,木造不動明王立像　１?,モクゾウフドウミョウオウリュウゾウ,,,重要文化財,美術工芸品,国分寺,山口県下関市南部町４番１号,,,,083-222-2081,,,,,国分寺,1950-08-29,,,,,,,,,,,,
352012,0000000007,山口県,下関市,木造薬師如来立像　１?,モクゾウヤクシニョライリュウゾウ,,,重要文化財,美術工芸品,専念寺,山口県下関市南部町１２番１号,,,,083-222-5630,,,,,専念寺,1950-08-29,,,,,,,,,,,,
352012,0000000008,山口県,下関市,刀　無銘（伝則宗）　１口,カタナ　ムメイ（デンノリムネ）,,,重要文化財,美術工芸品,忌宮神社,山口県下関市長府宮の内町１番１８号 ,,,,083-245-1093,,,,,忌宮神社,1950-08-29,,,,,,,,,,,,
352012,0000000009,山口県,下関市,太刀　銘　備州長船盛光　１口,タチ　メイ　ビシュウオサフネモリミツ,,,重要文化財,美術工芸品,忌宮神社,山口県下関市長府宮の内町１番１８号 ,,,,083-245-1093,,,,,忌宮神社,1950-08-29,,,,,,,,,,,,
352012,0000000010,山口県,下関市,銅鐘　１口,ドウショウ,,,重要文化財,美術工芸品,住吉神社,山口県下関市一の宮住吉一丁目１１番１号,,,,083-256-2656,,,,,住吉神社,1950-08-29,,,,,,,,,,,,
352012,0000000011,山口県,下関市,金銅牡丹唐草透唐鞍　１具,コンドウボタンカラクサスカシカラクラ,,,重要文化財,美術工芸品,住吉神社,山口県下関市一の宮住吉一丁目１１番１号,,,,083-256-2656,,,,,住吉神社,1956-06-28,,09:00,16:00,,,,,,,,,
352012,0000000012,山口県,下関市,紙本墨書平家物語（長門本）自一至廿　２０冊,シホンボクショヘイケモノガタリ（ナガトボン）,,,重要文化財,美術工芸品,赤間神宮,山口県下関市阿弥陀寺町４番１号,,,,083-231-4138,,,,,赤間神宮,1976-06-05,,,,,,,,,,,,
