全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352101,DD0000000001,山口県光市,光市立浅江東保育園,ヒカリシリツアサエヒガシホイクエン,,認可公立保育所,352101,,山口県光市大字浅江302番地1,山口県,光市,大字浅江,302番地1,,33.986899,131.932958,,,,,(0833)72[sanitize]1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000002,山口県光市,光市立浅江南保育園,ヒカリシリツアサエミナミホイクエン,,認可公立保育所,352101,,山口県光市浅江七丁目4番23号,山口県,光市,浅江七丁目,4番23号,,33.966818,131.923898,,,,,(0833)72[sanitize]1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000003,山口県光市,光市立大和保育園,ヒカリシリツヤマトホイクエン,,認可公立保育所,352101,,山口県光市大字三輪1106番地,山口県,光市,大字三輪,1106番地,,33.975778,131.995781,,,,,(0820)48[sanitize]2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000004,山口県光市,室積保育園,ムロヅミホイクエン,,認可私立保育所,352101,,山口県光市室積五丁目13番27号,山口県,光市,室積五丁目,13番27号,,33.927173,131.969726,,,,,(0833)78[sanitize]0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000005,山口県光市,松原保育園,マツバラホイクエン,,認可私立保育所,352101,,山口県光市室積新開二丁目1番17号,山口県,光市,室積新開二丁目,1番17号,,33.940442,131.968068,,,,,(0833)78[sanitize]0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000006,山口県光市,光井保育園,ミツイホイクエン,,認可私立保育所,352101,,山口県光市光井三丁目4番1号,山口県,光市,光井三丁目,4番1号,,33.95718,131.959282,,,,,(0833)71[sanitize]0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000007,山口県光市,野原保育園,ノハラホイクエン,,認可私立保育所,352101,,山口県光市中央三丁目5番12号,山口県,光市,中央三丁目,5番12号,,33.957764,131.945704,,,,,(0833)71[sanitize]1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000008,山口県光市,虹ケ丘幼児学園,ニジガオカヨウジガクエン,,認可私立保育所,352101,,山口県光市虹ケ丘四丁目22番1号,山口県,光市,虹ケ丘四丁目,22番1号,,33.979377,131.911699,,,,,(0833)71[sanitize]0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000009,山口県光市,東光保育園,トウコウホイクエン,,認可私立保育所,352101,,山口県光市木園一丁目11番2号,山口県,光市,木園一丁目,11番2号,,33.976948,131.928694,,,,,(0833)71[sanitize]1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000010,山口県光市,聖華保育園,セイカホイクエン,,認可私立保育所,352101,,山口県光市上島田三丁目6番1号,山口県,光市,上島田三丁目,6番1号,,33.987815,131.960993,,,,,(0833)77[sanitize]4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000011,山口県光市,光市立やよい幼稚園,ヒカリシリツヤヨイヨウチエン,,公立幼稚園,352101,,山口県光市三井五丁目9番2号,山口県,光市,三井五丁目,9番2号,,33.990258,131.952844,,,,,(0833)77[sanitize]2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000012,山口県光市,マリア幼稚園,マリアヨウチエン,,私立幼稚園,352101,,山口県光市室積松原21番37号,山口県,光市,室積松原,21番37号,,33.939327,131.96757,,,,,(0833)78[sanitize]0658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000013,山口県光市,光天使幼稚園,ヒカリテンシヨウチエン,,私立幼稚園,352101,,山口県光市浅江三丁目2番15号,山口県,光市,浅江三丁目,2番15号,,33.975969,131.924032,,,,,(0833)71[sanitize]0827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000014,山口県光市,束荷幼稚園,ツカリヨウチエン,,私立幼稚園,352101,,山口県光市大字束荷1622番地,山口県,光市,大字束荷,1622番地,,34.008981,132.000164,,,,,(0820)48[sanitize]4614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000015,山口県光市,三輪幼稚園,ミワヨウチエン,,私立幼稚園,352101,,山口県光市大字三輪836番地,山口県,光市,大字三輪,836番地,,33.979266,132.002004,,,,,(0820)48[sanitize]5097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352101,DD0000000016,山口県光市,聖光幼稚園,セイコウヨウチエン,,認定こども園（幼稚園型）,352101,,山口県光市光井九丁目22番1号,山口県,光市,光井九丁目,22番1号,,33.961035,131.945586,,,,,(0833)72[sanitize]1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
