情報の管理主体_全国地方公共団体コード,学校ID,学校コード,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名
352101,HK0000000001,B135210001598,山口県,,光市,,352101,室積小学校,ムロヅミショウガッコウ,1503,,,大字室積村(鮎帰及び新宮を除く。);大字牛島;室積東ノ庄;室積市延;室積西ノ庄;室積沖田;室積神田;室積一丁目;室積二丁目;室積三丁目;室積四丁目;室積五丁目;室積六丁目;室積七丁目;室積八丁目;室積中央町;室積正木;室積大町;室積松原;室積新開一丁目;室積新開二丁目;千坊台一丁目;千坊台二丁目;千坊台三丁目,,
352101,HK0000000002,B135210001632,山口県,,光市,,352101,光井小学校,ミツイショウガッコウ,1503,,,大字光井・大字室積村のうち鮎帰・新宮;光井一丁目;光井二丁目;光井三丁目;光井四丁目;光井五丁目;光井六丁目;光井七丁目;光井八丁目;光井九丁目;中央一丁目;中央二丁目;中央三丁目;中央四丁目;中央五丁目;中央六丁目,,
352101,HK0000000003,B135210001605,山口県,,光市,,352101,島田小学校,シマタショウガッコウ,1503,,,大字島田1601番地以上;島田一丁目;島田二丁目;島田三丁目;島田四丁目;島田五丁目;島田六丁目;島田七丁目;中島田一丁目;中島田二丁目;中島田三丁目,,
352101,HK0000000004,B135210001614,山口県,,光市,,352101,上島田小学校,カミシマタショウガッコウ,1503,,,大字島田1番地から1600番地まで;大字立野の一部(山田・高野);上島田一丁目;上島田二丁目;上島田三丁目;上島田四丁目;上島田五丁目;上島田六丁目;上島田七丁目;上島田八丁目;上島田九丁目,,
352101,HK0000000005,B135210001641,山口県,,光市,,352101,三井小学校,ミイショウガッコウ,1503,,,大字三井;三井一丁目;三井二丁目;三井三丁目;三井四丁目;三井五丁目;三井六丁目;三井七丁目;三井八丁目;岩狩一丁目;岩狩二丁目;岩狩三丁目,,
352101,HK0000000006,B135210001650,山口県,,光市,,352101,周防小学校,スオウショウガッコウ,1503,,,大字小周防;大字立野(山田、高野を除く。),,
352101,HK0000000007,B135210001623,山口県,,光市,,352101,浅江小学校,アサエショウガッコウ,1503,,,大字浅江;浅江一丁目;浅江二丁目;浅江三丁目;浅江四丁目;浅江五丁目;浅江六丁目;浅江七丁目;木園一丁目;花園一丁目;花園二丁目;宮ノ下町;和田町;協和町;宝町;丸山町;光ケ丘;中村町;虹ケ丘一丁目;虹ケ丘二丁目;虹ケ丘三丁目;虹ケ丘四丁目;虹ケ丘五丁目;虹ケ丘六丁目;虹ケ丘七丁目;虹ケ浜一丁目;虹ケ浜二丁目;虹ケ浜三丁目,,
352101,HK0000000008,B135210002221,山口県,,光市,,352101,塩田小学校,シオタショウガッコウ,1503,,,大字塩田,,
352101,HK0000000009,B135210002230,山口県,,光市,,352101,三輪小学校,ミワショウガッコウ,1503,,,大字三輪,,
352101,HK0000000010,B135210002249,山口県,,光市,,352101,岩田小学校,イワタショウガッコウ,1503,,,大字岩田;大字岩田立野,,
352101,HK0000000011,B135210002258,山口県,,光市,,352101,束荷小学校,ツカリショウガッコウ,1503,,,大字束荷,,
352101,HK0000000012,C135210000917,山口県,,光市,,352101,室積中学校,ムロヅミチュウガッコウ,1504,,,室積小学校通学区域,,
352101,HK0000000013,C135210000926,山口県,,光市,,352101,光井中学校,ミツイチュウガッコウ,1504,,,光井小学校通学区域,,
352101,HK0000000014,C135210000944,山口県,,光市,,352101,島田中学校,シマタチュウガッコウ,1504,,,島田小学校通学区域;上島田小学校通学区域;三井小学校通学区域;周防小学校通学区域,,
352101,HK0000000015,C135210000935,山口県,,光市,,352101,浅江中学校,アサエチュウガッコウ,1504,,,浅江小学校通学区域,,
352101,HK0000000016,C135210001202,山口県,,光市,,352101,大和中学校,ヤマトチュウガッコウ,1504,,,塩田小学校通学区域;三輪小学校通学区域;岩田小学校通学区域;束荷小学校通学区域,,
