教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
B135210000571,C1,35,2,,,,,山口市立湯田小学校,ヤマグチシリツユダショウガッコウ,,山口市,元町,2ｰ26,7530063,34.170118,131.458367,,(083)922-0092,,,,
B135210002481,C1,35,2,,,,,山口市立秋穂小学校,ヤマグチシリツアイオショウガッコウ,,山口市,秋穂東,6771,7541101,34.017157,131.435568,,(083)984-2250,,,,
B135210000679,C1,35,2,,,,,山口市立鋳銭司小学校,ヤマグシシリツスゼンジショウガッコウ,,山口市,鋳銭司,4010,7471221,34.085797,131.453863,,(083)986-2609,,,,
B135210000580,C1,35,2,,,,,山口市立良城小学校,ヤマグチシリツリョウジョウショウガッコウ,,山口市,吉敷佐畑三丁目,3ｰ3,7530816,34.166014,131.429924,,(083)922-0003,,,,
B135210002533,C1,35,2,,,,,山口市立阿知須小学校,ヤマグチシリツアジスショウガッコウ,,山口市,阿知須,4251,7541277,34.011186,131.359325,,(0836)65-2014,,,,
B135210000599,C1,35,2,,,,,山口市立大歳小学校,ヤマグチシリツオオトシショウガッコウ,,山口市,矢原,1486,7530861,34.150454,131.440056,,(083)922-2466,,,,
B135210002542,C1,35,2,,,,,山口市立井関小学校,ヤマグチシリツイセキショウガッコウ,,山口市,阿知須,1639,7541277,34.014502,131.34058,,(0836)65-2053,,,,
B135210002436,C1,35,2,,,,,山口市立中央小学校,ヤマグチシリツチュウオウショウガッコウ,,山口市,徳地堀,1551,7470231,34.190068,131.661684,,(0835)52-0198,,,,
B135210000704,C1,35,2,,,,,山口市立大内小学校,ヤマグチシリツオオウチショウガッコウ,,山口市,大内矢田北一丁目,16ｰ1,7530221,34.157116,131.500224,,(083)927-0011,,,,
B135210000553,C1,35,2,,,,,山口市立大殿小学校,ヤマグチシリツオオドノショウガッコウ,,山口市,大殿大路,213,7530093,34.182834,131.481301,,(083)922-0343,,,,
B135210000562,C1,35,2,,,,,山口市立白石小学校,ヤマグチシリツシライシショウガッコウ,,山口市,白石一丁目,10ｰ1,7530070,34.176943,131.470738,,(083)922-0063,,,,
B135210000688,C1,35,2,,,,,山口市立仁保小学校,ヤマグチシリツニホショウガッコウ,,山口市,仁保中郷,81,7530302,34.2145,131.555565,,(083)929-0311,,,,
B135210000697,C1,35,2,,,,,山口市立小鯖小学校,ヤマグチシリツオサバショウガッコウ,,山口市,下小鯖,2519,7530212,34.128296,131.525046,,(083)927-0051,,,,
B135210000713,C1,35,2,,,,,山口市立大内南小学校,ヤマグチシリツオオウチミナミショウガッコウ,,山口市,大内矢田南二丁目,4ｰ1,7530222,34.15031,131.497507,,(083)927-7373,,,,
B135210000606,C1,35,2,,,,,山口市立平川小学校,ヤマグチシリツヒラカワショウガッコウ,,山口市,平井,1675ｰ2,7530831,34.141404,131.456419,,(083)922-1789,,,,
B135210000633,C1,35,2,,,,,山口市立二島小学校,ヤマグチシリツフタジマショウガッコウ,,山口市,秋穂二島,6165,7540893,34.038122,131.420286,,(083)987-2009,,,,
