全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352039,DD1402000001,山口県山口市,島地保育園,,,認可私立保育所,352039,114000,山口県山口市徳地島地255ｰ1 ,山口県,山口市,徳地島地,255ｰ1, ,34.16240517,131.7009998,,,,,(0835)54ｰ0563,,(0835)54ｰ0573,,,,7470522,,,,,,月火水木金土,7:30,18:00,延長保育ｰ19:00【12ヶ月から】、土は7:30ｰ17:00,,,,,,,,,,,,,https://www.shimaho.net/,,,
352039,DD1402000002,山口県山口市,堀保育園,,,認可公立保育所,352039,120000,山口県山口市徳地堀1616 ,山口県,山口市,徳地堀,1616, ,34.19017866,131.6582133,,,,,(0835)52ｰ0266,,(0835)52ｰ0266,,,,7470231,,,,,,月火水木金土,7:30,18:00,土は7:30ｰ12:30,,,,,,,,,,,,,https://www.city.yamaguchi.lg.jp/map/kodomo/24191.html,,,
352039,DD1402000003,山口県山口市,八坂保育園（休園中）,,,認可公立保育所,352039,119000,山口県山口市徳地船路850 ,山口県,山口市,徳地船路,850, ,34.23707414,131.6528012,,,,,(0835)56ｰ0003,,(0835)56ｰ0003,,,,7470342,,,,,,月火水木金土,7:30,18:00,土は7:30ｰ12:30,,,,,,,,,,,,,https://www.city.yamaguchi.lg.jp/map/kodomo/24189.html,,,
352039,DD1402000004,山口県山口市,大内光輪保育園,,,認可私立保育所,352039,176004,山口県山口市大内問田四丁目9ｰ13 ,山口県,山口市,大内問田四丁目,9ｰ13, ,34.15139571,131.4860831,,,,,(083)934ｰ5570,,(083)934ｰ5599,,,,7530241,,,,,,月火水木金土,7:00,18:00,延長保育ｰ19:00【12ヶ月から】、土は7:00ｰ17:30【0歳児クラスは13時まで※12ヶ月から】,,,,,,,,,,,,,http://www.hyakkajidouen.or.jp/,,,
352039,DD1402000005,山口県山口市,大内すこやか保育園,,,認可私立保育所,352039,36003,山口県山口市大内矢田北三丁目22ｰ11 ,山口県,山口市,大内矢田北三丁目,22ｰ11, ,34.15569734,131.5037401,,,,,(083)941ｰ1150,,(083)941ｰ1152,,,,7530221,,,,,,月火水木金土,7:00,18:00,延長保育ｰ19:00【12ヶ月から】、土は7:30ｰ17:30【0歳児クラスは13時まで】,,,,,,,,,,,,,http://www.c-able.ne.jp/~sukoyaka/sukoyaka/sukoyaka.html,,,
352039,DD1402000006,山口県山口市,きらきら星保育園,,,認可私立保育所,352039,34000,山口県山口市大内長野521ｰ1 ,山口県,山口市,大内長野,521ｰ1, ,34.15499866,131.5198365,,,,,(083)927ｰ5023,,(083)927ｰ5060,,,,7530211,,,,,,月火水木金土,7:00,18:00,延長保育ｰ19:00,,,,,,,,,,,,,https://kirakiraboshi-hoikuen.com/,,,
352039,DD1402000007,山口県山口市,山口ココモ保育園,,,地域型保育事業所,352039,164006,山口県山口市大内氷上六丁目33ｰ8 ,山口県,山口市,大内氷上六丁目,33ｰ8, ,34.16740558,131.5057001,,,,,(083)902ｰ1550,,(083)902ｰ1570,,,,7530231,,,,,,月火水木金土,7:00,18:00,平日のみ延長保育ｰ19:00,,,,,,,,,,,,,https://y-cocomo.co.jp/yamaguchi/,,,
352039,DD1402000008,山口県山口市,愛児園みやのの森保育園,,,認可私立保育所,352039,150000,山口県山口市宮野下953 ,山口県,山口市,宮野下,953, ,34.18674811,131.4992215,,,,,(083)932ｰ8787,,(083)932ｰ6699,,,,7530011,,,,,,月火水木金土,7:00,18:00,延長保育ｰ19:00【1歳児から】、土は7:00ｰ17:00【0歳児クラスは13:00まで】【1歳からは歩行と離乳完了より17:00まで】,,,,,,,,,,,,,https://www.city.yamaguchi.lg.jp/map/kodomo/24181.html,,,
352039,DD1402000009,山口県山口市,花尾第二保育園,,,認可私立保育所,352039,30002,山口県山口市江良二丁目1ｰ17 ,山口県,山口市,江良二丁目,1ｰ17, ,34.19130752,131.4845914,,,,,(083)922ｰ7801,,(083)922ｰ7802,,,,7530017,,,,,,月火水木金土,7:00,18:00,延長保育ｰ19:00【1歳児から】、土は7:00ｰ17:00,,,,,,,,,,,,,http://c-able.ne.jp/~hanaodi2/,,,
352039,DD1402000010,山口県山口市,夢の星保育園大内園,,,認可私立保育所,352039,34000,山口県山口市大内長野1061ｰ3 ,山口県,山口市,大内長野,1061ｰ3, ,34.16038633,131.5203024,,,,,(083)927ｰ3375,,(083)902ｰ3376,,,,7530211,,,,,,月火水木金土,7:00,18:00,延長保育ｰ19:00,,,,,,,,,,,,,https://hoikuen.yumenohosi.com/,,,
