都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
350001,3500155001,山口県,,岩国東幼稚園,イワクニアズマヨウチエン,認定こども園（幼稚園型）,岩国市三笠町2-2-16,,34.167824,132.227859,JR岩国駅から徒歩10分,駐車スペース12台,(0827)21-2081,,(0827)21-9765,,,,,1歳到達後の4月から,月火水木金,8:00,"月火木金　14:30、
水　13:30",15:00~18:00（水曜日は14:00~18:00）に預かり保育を実施、土曜日も8:00~12:00に預かり保育を実施,無,https://higashi-youchien.ed.jp/,
350001,3500155002,山口県,,藤河幼稚園,フジカワヨウチエン,認定こども園（幼稚園型）,岩国市多田1257-1,,34.187538,132.165436,岩国バス下多田バス停より徒歩5分,駐車スペース18台,(0827)41-1873,,(0827)41-1870,,,,,生後８か月～,"1号（月火水木金）
2・3号（月火水木金土）",7:30,18:00,祝日はお休み12/28～1/3はお休み,有（要相談）,fujikawa-youchien@wit.ocn.ne.jp,
350001,3500155003,山口県,,岩国南幼稚園,イワクニミナミヨウチエン,認定こども園（幼稚園型）,岩国市平田6-28-3,,34.137371,132.188309,JR南岩国駅から徒歩20分,駐車スペース60台,(0827)31-8009,,(0827)32-1917,,,,,1歳から,月火水木金土日,8:00,18:30,祝日、年末年始は休み,無,http://www.i-minami-youchien.net/,
350001,3500155004,山口県,,灘幼稚園,ナダヨウチエン,認定こども園（幼稚園型）,岩国市藤生町2-27-18,,34.108532,132.196167,JR藤生駅から徒歩8分,駐車スペース250台,(0827)34-0505,,(0827)34-0505,,,,,6か月～5歳児,月～土,7:20,18:00,盆休み＆冬休み各2週間,有,無,
350001,3500155005,山口県,,岩国中央幼稚園,イワクニチュウオウヨウチエン,認定こども園（幼稚園型）,岩国市尾津町2-7-1,,34.142818,132.208328,尾津バス停3分,駐車スペース　5台,(0827)31-7212,,(0827)31-5455,,,,,0歳から,月火水木金,10:00,12:00,子育てカレンダーに記載,無,岩国中央幼稚園で検索,
350001,3500155006,山口県,,にっしょう認定こども園,ニッショウニンテイコドモエン,認定こども園（幼稚園型）,岩国市通津2766,,34.073696,132.182037,JR通津駅から徒歩10分,駐車スペース20台,(0827)38-0115,,(0827)38-0300,,,,,0歳から,月～土/土曜日のみ半日,7:30,18:00,祝・日､8/13～16日、12月28～1/4日休業,有,http://www.nissyo-youchien.net/,
350001,3500155007,山口県,,岩国むつみ幼稚園,イワクニムツミヨウチエン,私立幼稚園,岩国市通津棒田ヶ迫2104-4,,34.073696,132.182037,,,(0827)38-1288,,(0827)38-2350,,,,,,,,,,無,,
350001,3500155008,山口県,,藤生幼稚園,フジウヨウチエン,認定こども園（幼稚園型）,岩国市藤生町1-3-18,,34.11565,132.198792,,,(0827)32-1811,,(0827)32-7743,,,,,,,,,,,,
350001,3500155009,山口県,,岩国川下幼稚園,イワクニカワシタヨウチエン,認定こども園（幼稚園型）,岩国市楠町3-2-30,,34.156517,132.212128,JR岩国駅より車で8分,10台程度,(0827)21-0725,,(0827)21-0729,,,,,6ヵ月から,月火水木金土,7:00,18:00,土曜日は8:00~12:00。1号認定と2・3号認定で預かり時間が異なる,無,kawashimo.com,
350001,3500155010,山口県,,認定こども園　岩国染香幼稚園,ニンテイコドモエン　イワクニセンコウヨウチエン,認定こども園（幼稚園型）,岩国市岩国2-6-32,,34.163918,132.180023,JR川西駅より徒歩15分,駐車スペース5台,(0827)41-0534,,(0827)41-0520,,,,,0歳から,月火水木金土,7:30,18:30,祝日休、8/12～16、12/28～1/3休み,無,,
350001,3500155011,山口県,,室木幼稚園,ムロキヨウチエン,認定こども園（幼稚園型）,岩国市室の木町2-5-7,,34.175835,132.212479,ＪＲ岩国駅から徒歩２０分,駐車スペース５０台,(0827)24-3777,,(0827)24-3667,,,,,満２歳から,月火水木金,7:30,18:00,年末年始、お盆、４月初めの平日はお休み,無,http://muronoki.jp/,
350001,3500155012,山口県,,北河内幼稚園,キタゴウチヨウチエン,認定こども園（幼稚園型）,岩国市下454-26,,34.169106,132.095917,,駐車場有り,(0827)47-2411,,(0827)47-2411,,,,,生後約６月から,,9:00,12:00,園庭開放は日・祝日・行事開催日を除いて朝9時～10時まで参加可能。,有,https://www.kitagouchi-kodomoen.com/company.html,米国の幼児が多数在籍しており、里山保育とインターナショナルな保育を同時に体験できる環境です。
350001,3500155013,山口県,,岩国聖母幼稚園,イワクニセイボヨウチエン,私立幼稚園,岩国市砂山町2-9-19,,34.174717,132.215546,JR岩国駅から徒歩15分,駐車スペース25台,(0827)22-9743,,(0827)22-9744,,,,,3歳から,月火水木金,8:30,15:00,夏、冬、春の長期休み有,無,iwaseibo@cosmos.ocn.ne.jp,
350001,3500155014,山口県,,今津幼稚園,イマヅヨウチエン,私立幼稚園,岩国市今津町5-2-9,,34.162582,132.215103,,,(0827)24-3838,,(0827)24-2848,,,,,,,,,,無,,
