情報の管理主体_全国地方公共団体コード,学校ID,学校コード,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名
352161,SO0000000001,B135210001516,山口県,,山陽小野田市,,352161,有帆小学校,アリホショウガッコウ,1503,,,共和町;共和台;杵築;南平台;有帆上町;有帆新町;片山;南真土郷;北真土郷;彼岸田;梅田;東町;中村;仁保の上;大休;大休団地;角石;有帆団地;萩森;高千帆苑;高畑;湯泉台,,
352161,SO0000000002,B135210001525,山口県,,山陽小野田市,,352161,高千帆小学校,タカチホショウガッコウ,1503,,,旭町;横土手;市立病院;南平原;ひばりが丘第一;ひばりが丘第二;柿の木坂三丁目;柿の木坂南;柿の木坂南;柿の木坂団地;東柿の木坂;平和町;平生町;高須;高須南;第一日の出;第二日の出;日の出;新生町第一;新生町第二;下木屋;上木屋;石井手第一;石井手第二;浜田町;くし山団地;くし山東;くし山中;くし山西;江の内団地; 高千帆台;東高千帆台;若草町;千崎東;千崎西;ココフレ紫苑,,
352161,SO0000000003,B135210001534,山口県,,山陽小野田市,,352161,高泊小学校,タカトマリショウガッコウ,1503,,,浜;郷;西の郷;上の郷;南高泊;高浜;後潟上;後潟下;船越;烏帽子岩;烏帽子岩前;大塚;神帆町;緑が丘;青葉台,,
352161,SO0000000004,B135210001543,山口県,,山陽小野田市,,352161,小野田小学校,オノダショウガッコウ,1503,,,高砂町;本町;千代町;稲荷町南;稲荷町北;労災病院;長寿園;光栄町;高栄東;南中川町;望見が丘;沖中川;六十番;桜山;桜山団地;北中川町一丁目;北中川町;南栄町;北栄町;硫酸町;日産第一;日産第二;目出新町;目出;目出湖畔町;目出文化町;目出緑町;目出幸町;亀の甲;旦西;旦東;自由ケ丘,,
352161,SO0000000005,B135210001552,山口県,,山陽小野田市,,352161,須恵小学校,スエショウガッコウ,1503,,,野来見;古開作;南古開作;古開作県住;第二古開作;古開作団地;南竜王;北竜王;えびす町;桜が丘;叶松第一;叶松第二;叶松第三;叶松第四;南若山;北若山;奥若山;老人ホーム;丸河内第一;丸河内第二;丸河内第三;心和園;東公園通;西公園通;港町;大正町;セメント町第一;セメント町第二;セメント町第三;幸町;若生町;西住吉町;東住吉町;昭和通;小野山,,
352161,SO0000000006,B135210001561,山口県,,山陽小野田市,,352161,赤崎小学校,アカサキショウガッコウ,1503,,,刈屋西条;刈屋中村;刈屋上条;木戸大鼻;木戸中の町;木戸新町;波瀬の崎;西が迫;須恵西;湯布田;上の台;松角;須恵東;須田の木;東須田の木;笹尾東;笹尾西;水神町;西の浜第一;西の浜第二;西の浜東区;新沖;赤崎第一,,
352161,SO0000000007,B135210001570,山口県,,山陽小野田市,,352161,本山小学校,モトヤマショウガッコウ,1503,,,本山町;大須恵;浜河内;夏目;松浜;南松浜;あさひが丘;松浜団地;本山団地;田の尻,,
352161,SO0000000008,B135210002588,山口県,,山陽小野田市,,352161,厚狭小学校,アサショウガッコウ,1503,,,随光;奥の浴;宗末;松ケ瀬;平沼田;籾の木;高の巣;森広;湯の峠;福正寺;赤川;柳瀬;石束;不動寺原東;不動寺原西;不動寺原南;今市;厚狭緑ケ丘;緑ケ原団地;成松一;成松二;加藤北;加藤中;加藤上;加藤南;本町五;西善寺;本町一;本町二;本町三;本町四;貴船町東;貴船町西;殿町一;殿町二;殿町三;殿町四;殿町五;日化殿町社宅;野中;杣尻;杣尻一;杣尻二;杣尻県営住宅;沓山田;鴨庄上;鴨庄下;鴨庄西;西寄;千町一東;千町一西;千町二;千町三;千町四;千町五;常盤町;寝太郎町一;寝太郎町二;寝太郎町三;寝太郎町四;末益;あさ紫苑;天満町一;天満町二;天満町三;広瀬一;広瀬二;西山;陽光台;鋳物師屋;野田;西下津一;西下津二;東下津;大谷;迫山;火薬町;アーデント厚狭;フクシア紫苑,,
352161,SO0000000009,B135210002604,山口県,,山陽小野田市,,352161,出合小学校,デアイショウガッコウ,1503,,,別府;松岳畑;山川;南山川;下村東;下村西;一丁田;浴一;浴二;石丸一;石丸二;七日町;栗田;柳町;柏原;厚狭平原;保戸;片尾畑上;片尾畑下;萩原住宅;南萩原団地;東萩原;長友東;長友中;長友西;山野井東;山野井北;山野井中;山野井上;山野井南;大道畑,,
352161,SO0000000010,B135210002597,山口県,,山陽小野田市,,352161,厚陽小学校,コウヨウショウガッコウ,1503,,,石鞘;鳥越一;鳥越二;日化山開作社宅;渡場;赤石;吉部田;沖部;新沖部;厚陽団地;古開作東;古開作上;古開作下;沖開作上;沖開作下;大河;梶上;梶中;梶下,,
