都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352136,0000000001,山口県,美祢市,美祢市民会館,ミネシミンカイカン,,,山口県美祢市大嶺町東分326-1,,34.16637,131.20607,0837-52-1123,,,美祢市,月火水木金土日,09:00,22:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/2019.html,
352136,0000000002,山口県,美祢市,美祢市勤労青少年ホーム,ミネシキンロウセイショウネンホーム,,,山口県美祢市大嶺町東分285-1,,34.166496,131.207319,0837-52-3500,,,美祢市,月火水木金土,09:00,22:00,休館日：日曜日、国民の祝日・休日、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/1960.html,
352136,0000000003,山口県,美祢市,美祢来福センター,ミネシライフクセンター,,,山口県美祢市大嶺町東分来福台4-16,,34.18465,131.19675,0837-52-5338,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/2034.html,
352136,0000000004,山口県,美祢市,上野コミュニティセンター,ウエノコミュニティセンター,,,山口県美祢市伊佐町伊佐750,,34.164391,131.266725,0837-52-0150,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/1572.html,
352136,0000000005,山口県,美祢市,河原コミュニティセンター,カワラコミュニティセンター,,,山口県美祢市伊佐町河原608,,34.19011,131.24815,0837-52-0150,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/1073.html,
352136,0000000006,山口県,美祢市,堀越コミュニティセンター,ホリコシコミュニティセンター,,,山口県美祢市伊佐町奥万倉2495-2,,34.130826,131.222100,0837-52-0150,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/2294.html,
352136,0000000007,山口県,美祢市,田代コミュニティセンター,タシロコミュニティセンター,,,山口県美祢市於福町上916-1,,34.23178,131.17242,0837-56-0001,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/1862.html,
352136,0000000008,山口県,美祢市,川東コミュニティセンター,カワヒガシコミュニティセンター,,,山口県美祢市東厚保町川東2596-1,,34.13565,131.15399,0837-58-0001,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/4555.html,
352136,0000000009,山口県,美祢市,東厚コミュニティセンター,トウコウコミュニティセンター,,,山口県美祢市東厚保町山中659-6,,34.119860,131.183374,0837-58-0001,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/4516.html,
352136,0000000010,山口県,美祢市,城原コミュニティセンター,ジョウゲンコミュニティセンター,,,山口県美祢市大嶺町西分1474,,34.15006,131.16327,0837-52-1123,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/4517.html,
352136,0000000011,山口県,美祢市,鳳鳴地域交流センター,ホウメイチイキコウリュウセンター,,,山口県美祢市美東町綾木4443-2,,34.208949,131.375780,08396-2-0114,,,美祢市,月火水木金土日,08:30,22:00,,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/sonota/2291.html,
352136,0000000012,山口県,美祢市,美祢市美東センター,ミネシミトウセンター,,,山口県美祢市美東町大田6170-1,,34.224224,131.344309,08396-2-5555,,,美祢市,月火水木金土日,08:30,22:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1653.html,
352136,0000000013,山口県,美祢市,赤郷交流センター,アカゴウコウリュウセンター,,,山口県美祢市美東町赤425,,34.277652,131.344480,08396-2-0304,,,美祢市,月火水木金土日,08:30,22:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1618.html,
352136,0000000014,山口県,美祢市,綾木ふるさとセンター,アヤギフルサトセンター,,,山口県美祢市美東町綾木2437,,34.193389,131.348480,08396-2-0112,,,美祢市,月火水木金土日,08:30,22:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1045.html,
352136,0000000015,山口県,美祢市,綾木ふるさと体験工房,アヤギフルサトタイケンコウボウ,,,山口県美祢市美東町綾木2437,,34.193389,131.348480,08396-2-0112,,,美祢市,月火水木金土日,08:30,17:00,,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1045.html,
352136,0000000016,山口県,美祢市,真長田定住センター,マナガタテイジュウセンター,,,山口県美祢市美東町真名529,,34.164647,131.354078,08396-5-0001,,,美祢市,月火水木金土日,08:30,22:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1586.html,
