都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352136,0000000001,山口県,美祢市,美祢市役所,ミネシヤクショ,,,山口県美祢市大嶺町東分326-1,,34.16637,131.20607,0837-52-1110,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000002,山口県,美祢市,美祢市美東総合支所,ミネシミトウソウゴウシショ,,,山口県美祢市美東町大田5936,,34.225174,131.342809,08396-2-5000,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000003,山口県,美祢市,美祢市秋芳総合支所,ミネシシュウホウソウゴウシショ,,,山口県美祢市秋芳町秋吉5335-1,,34.213126,131.293339,0837-62-1912,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000004,山口県,美祢市,美祢市豊田前出張所,ミネシトヨタマエシュッチョウショ,,,山口県美祢市豊田前町麻生下572,,,,0837-57-0001,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000005,山口県,美祢市,美祢市於福出張所,ミネシオフクシュッチョウショ,,,山口県美祢市於福町下2848-1,,34.23537,131.20717,0837-56-0001,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000006,山口県,美祢市,美祢市厚保出張所,ミネシアツシュッチョウショ,,,山口県美祢市西厚保町本郷185,,34.11119,131.15289,0837-58-0001,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000007,山口県,美祢市,美祢市赤郷出張所,ミネシアカゴウシュッチョウショ,,,山口県美祢市美東町赤425,,34.277653,131.344477,08396-2-0304,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000008,山口県,美祢市,美祢市綾木出張所,ミネシアヤギシュッチョウショ,,,山口県美祢市美東町綾木2437,,34.193395,131.348481,08396-2-0112,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000009,山口県,美祢市,美祢市真長田出張所,ミネシマナガタシュッチョウショ,,,山口県美祢市美東町真名529,,34.164647,131.354077,08396-5-0001,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000010,山口県,美祢市,美祢市嘉万出張所,ミネシカマシュッチョウショ,,,山口県美祢市秋芳町嘉万4608-3,,34.268813,131.263365,0837-64-0001,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000011,山口県,美祢市,美祢市別府出張所,ミネシベップシュッチョウショ,,,山口県美祢市秋芳町別府1643-1,,34.252526,131.248073,0837-64-0040,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000012,山口県,美祢市,美祢市岩永出張所,ミネシイワナガシュッチョウショ,,,山口県美祢市秋芳町岩永下郷3203-4,,34.187020,131.288093,0837-62-0525,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000013,山口県,美祢市,教育委員会事務局,キョウイクイインカイジムキョク,,,山口県美祢市大嶺町東分326-1,,34.16637,131.20607,0837-52-5260,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000014,山口県,美祢市,教育委員会美東事務所,キョウイクイインカイミトウジムショ,,,山口県美祢市美東町大田6170-1,,34.224226,131.344307,08396-2-5555,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000015,山口県,美祢市,教育委員会秋芳事務所,キョウイクイインカイシュウホウジムショ,,,山口県美祢市秋芳町秋吉5353-1,,34.212920,131.293084,0837-62-1924,,,美祢市,月火水木金,08:30,17:15,,,,,
352136,0000000016,山口県,美祢市,美祢市保健センター,ミネシホケンセンター,,,山口県美祢市大嶺町東分345-1,,34.168153,131.206728,0837-53-0304,,,美祢市,月火水木金,08:30,17:15,,,多目的トイレ有り;スロープ有り,,
352136,0000000017,山口県,美祢市,美祢市美東保健福祉センター,ミネシミトウホケンフクシセンター,,,山口県美祢市美東町大田6141,,34.223793,131.344885,08396-2-5005,,,美祢市,月火水木金,08:30,17:15,,,多目的トイレ有り;スロープ有り,,
352136,0000000018,山口県,美祢市,美祢市秋芳保健センター,ミネシシュウホウホケンセンター,,,山口県美祢市秋芳町秋吉5343-3,,34.214133,131.293165,0837-62-1909,,,美祢市,月火水木金,08:30,17:15,,,多目的トイレ有り;スロープ有り,,
352136,0000000019,山口県,美祢市,美祢市地域活動支援センター  ひので,ミネシチイキカツドウシエンセンター　ヒノデ,,,山口県美祢市伊佐町伊佐2930-3,,,,0837-52-0896,,,美祢市,月～金曜日,,,,,,,
352136,0000000020,山口県,美祢市,美祢市消防本部,ミネシショウボウホンブ,,,山口県美祢市大嶺町東分11173,,34.168647,131.206567,0837-52-2177,,,美祢市,月火水木金,09:00,16:30,,,,,
352136,0000000021,山口県,美祢市,美祢市消防署,ミネシショウボウショ,,,山口県美祢市大嶺町東分11173,,34.168647,131.206567,0837-52-2176,,,美祢市,月火水木金,09:00,16:30,,,,,
352136,0000000022,山口県,美祢市,美祢市消防署東部出張所,ミネシショウボウショトウブシュッチョウショ,,,山口県美祢市秋芳町秋吉1082-1,,34.215334,131.315776,0837-62-1199,,,美祢市,月火水木金,09:00,16:30,,,,,
