都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352136,0000000001,山口県,美祢市,美祢市民プール,ミネシミンプール,,,山口県美祢市大嶺町東分3017-1,,34.16643,131.19669,0837-52-3300,,,美祢市,月火水木金日,10:00,16:00,利用可能曜日：7月20日～8月31日、休館日：土曜日,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4660.html,
352136,0000000002,山口県,美祢市,美祢市温水プール,ミネシオンスイプール,,,山口県美祢市伊佐町伊佐3810,,34.16843,131.23514,0837-52-3300,,,美祢市,火水木金土日,13:30,20:30,"開始時間：7月、8月：10:00 
9月から3月までの日曜日および祝日：13:00、終了時間：7月、8月：21:00
 9月から3月までの日曜日および祝日：18:30、休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始",,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4650.html,
352136,0000000003,山口県,美祢市,美祢市武道館,ミネシブドウカン,,,山口県美祢市大嶺町東分277-1,,34.165589,131.207521,0837-52-3310,,,美祢市,月火水木金土日,09:00,21:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4652.html,
352136,0000000004,山口県,美祢市,美祢市大嶺高校記念武道場,ミネシオオミネコウコウキネンブドウジョウ,,,山口県美祢市大嶺町東分1189-1,,34.166575,131.197251,0837-52-3310,,,美祢市,月火水木金土日,09:00,22:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4653.html,
352136,0000000005,山口県,美祢市,美祢市弓道場及びアーチェリー練習場,ミネシキュウドウジョウオヨビアーチェリージョウ,,,山口県美祢市大嶺町東分3020,,34.16707,131.19438,0837-52-3310,,,美祢市,月火水木金土日,09:00,21:00,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4659.html,
352136,0000000006,山口県,美祢市,美祢市美東弓道場,ミネシミトウキュウドウジョウ,,,山口県美祢市美東町大田6249,,34.22611,131.34472,08396-2-5555,,,美祢市,月火水木金土日,09:00,22:00,終了時間：個人使用の場合：18:00まで、休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mitou/4732.html,
352136,0000000007,山口県,美祢市,美祢市民球場,ミネシミンキュウジョウ,,,山口県美祢市伊佐町伊佐3795,,34.16843,131.23514,0837-52-3310,,,美祢市,火水木金土日,09:00,22:00,休館日：月曜日(ただし、月曜日が祝日の場合、その翌日)、年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4663.html,
352136,0000000008,山口県,美祢市,美祢市大嶺高校記念多目的広場,ミネシオオミネコウコウキネンタモクテキヒロバ,,,山口県美祢市大嶺町東分1189-1,,34.166575,131.197251,0837-52-3310,,,美祢市,月火水木金土日,,,,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4717.html,
352136,0000000009,山口県,美祢市,美祢市桃ノ木多目的広場,ミネシモモノキタモクテキヒロバ,,,山口県美祢市大嶺町奥分2776-5,,34.18495,131.14652,0837-57-0001,,,美祢市,月火水木金土日,,,,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4721.html,
352136,0000000010,山口県,美祢市,美祢市多目的広場,ミネシタモクテキヒロバ,,,山口県美祢市伊佐町伊佐3813,,34.16843,131.23514,0837-52-3310,,,美祢市,月火水木金土日,,,,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/taiiku/mine/4737.html,
