都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352136,0000000001,山口県,美祢市,美祢市大嶺公民館,ミネシオオミネコウミンカン,,,山口県美祢市大嶺町東分326-1,,34.16637,131.20607,0837-52-1123,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/2019.html,夜間の使用は22:00まで
352136,0000000002,山口県,美祢市,美祢市伊佐公民館,ミネシイサコウミンカン,,,山口県美祢市伊佐町伊佐4830,,34.16681,131.22098,0837-52-0150,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1049.html,
352136,0000000003,山口県,美祢市,美祢市豊田前公民館,ミネシトヨタマエコウミンカン,,,山口県美祢市豊田前町麻生下572,,34.19840 ,131.12252,0837-57-0001,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/2290.html,
352136,0000000004,山口県,美祢市,美祢市於福公民館,ミネシオフクコウミンカン,,,山口県美祢市於福町下2848-1,,34.23537,131.20717,0837-56-0001,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1060.html,
352136,0000000005,山口県,美祢市,美祢市厚保公民館,ミネシアツコウミンカン,,,山口県美祢市西厚保町本郷185,,34.11119,131.15289,0837-58-0001,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1239.html,
352136,0000000006,山口県,美祢市,美祢市赤郷公民館,ミネシアカゴウコウミンカン,,,山口県美祢市美東町赤425,,34.277651,131.344481,08396-2-0304,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1618.html,
352136,0000000007,山口県,美祢市,美祢市大田公民館,ミネシオオダコウミンカン,,,山口県美祢市美東町大田6170-1,,34.224220,131.344307,08396-2-5555,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1653.html,
352136,0000000008,山口県,美祢市,美祢市綾木公民館,ミネシアヤギコウミンカン,,,山口県美祢市美東町綾木2437,,34.193389,131.348488,08396-2-0112,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1045.html,
352136,0000000009,山口県,美祢市,美祢市真長田公民館,ミネシマナガタコウミンカン,,,山口県美祢市美東町真名529,,34.164652,131.354082,08396-5-0001,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始、終了時間：夜間の使用は２２：００まで,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1586.html,
352136,0000000010,山口県,美祢市,美祢市嘉万公民館,ミネシカマコウミンカン,,,山口県美祢市秋芳町嘉万4608-3,,34.268816,131.263362,0837-64-0001,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始、終了時間：夜間の使用は２２：００まで,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1069.html,
352136,0000000011,山口県,美祢市,美祢市別府公民館,ミネシベップコウミンカン,,,山口県美祢市秋芳町別府1643-1,,34.252529,131.248077,0837-64-0040,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始、終了時間：夜間の使用は２２：００まで,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/2270.html,
352136,0000000012,山口県,美祢市,美祢市秋吉公民館,ミネシアキヨシコウミンカン,,,山口県美祢市秋芳町秋吉5353-1,,34.212923,131.293087,0837-62-1924,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始、終了時間：夜間の使用は２２：００まで,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1529.html,
352136,0000000013,山口県,美祢市,美祢市岩永公民館,ミネシイワナガコウミンカン,,,山口県美祢市秋芳町岩永下郷3203-4,,34.187010,131.288092,0837-62-0525,,,美祢市,月火水木金土日,08:30,17:15,休館日：年末年始、終了時間：夜間の使用は２２：００まで,,,https://www2.city.mine.lg.jp/soshiki/kyoiku/shogaigakushu/yoyaku/kominkan/1112.html,
