都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352136,0000000001,山口県,美祢市,道の駅おふく,ミチノエキオフク,道の駅おふく,,山口県美祢市於福町上4383-1,,34.237957,131.208349,0837-56-5005,,,美祢市,定休日(毎月第2水曜日(1月及び8月を除く))を除いた日,09:00,21:00,物販：9時～18時、レストラン：11時～15時(平日)11時～17時(土日祝)、温泉：11時～21時(平日)10時～21時(土日祝),温泉が併設されている道の駅であり、美祢市の特産品や地元の野菜を販売しています。施設内にレストランがあります。EVチャージ、Wi-Fi、トイレは24時間利用できます。,スロープ、多目的トイレ,http://www.michinoeki-ofuku.jp/,
352136,0000000002,山口県,美祢市,道の駅みとう,ミチノエキミトウ,道の駅みとう,,山口県美祢市美東町大田5437-1,,34.217463,131.343988,08396-2-2500,,,美祢市,年中無休,08:00,18:00,レストラン：11時～17時,美祢市の特産品が購入でき、地域の食材を使った郷土料理が味わえるレストランがあります。EVチャージ、Wi-Fiも利用できます。,スロープ、多目的トイレ,http://michinoekimitou.blog.fc2.com/,
352136,0000000003,山口県,美祢市,美東都市と農村交流の館,ミトウトシトノウソンコウリュウノヤカタ,道の駅みとう,,山口県美祢市美東町大田5486-1,,34.218384,131.344061,08396-2-2500,,,美祢市,年中無休,08:00,18:00,8時～17時(11月～2月),道の駅みとうの施設の一つです。美祢市の特産品を販売しています。施設の隣には、遊具のある公園があります。,スロープ、多目的トイレ,http://michinoekimitou.blog.fc2.com/,
352136,0000000004,山口県,美祢市,美祢市勤労福祉会館,ミネシキンロウフクシカイカン,美祢市勤労福祉会館,,山口県美祢市大嶺町東分348-4,,,,0837-52-1016,,,美祢市,12月29日～1月3日を除いた日,09:00,22:00,,会議や研修の場として多目的に利用できる施設です。,スロープ、多目的トイレ,http://sunkinmine.com/,
352136,0000000005,山口県,美祢市,美祢勤労者総合福祉センター（「サンワーク美祢」）,ミネキンロウシャソウゴウフクシセンター　サンワークミネ,サンワーク美祢,,山口県美祢市大嶺町東分418-8,,34.170280,131.208067,0837-53-0760,,,美祢市,12月29日～1月3日を除いた日,09:00,22:00,,会議や研修、屋内スポーツする場として多目的に利用できる施設です。,スロープ、多目的トイレ,http://sunkinmine.com/,
352136,0000000006,山口県,美祢市,美祢農村勤労福祉センター,ミネノウソンキンロウフクシセンター,美祢農村勤労福祉センター,,山口県美祢市大嶺町北分650-2,,34.195079,131.208326,0837-52-2343,,,美祢市,12月29日～1月3日を除いた日,09:00,22:00,,会議や研修の場として多目的に利用できる施設です。,スロープ、多目的トイレ,,
352136,0000000007,山口県,美祢市,美祢産業技術センター,ミネサンギョウギジュツセンター,美祢産業技術センター,,山口県美祢市大嶺町奥分331-6,,,,0837-52-3339,,,美祢市,12月29日～1月3日を除いた日,09:00,22:00,,会議や研修の場として多目的に利用できる施設です。,スロープ、多目的トイレ,,
352136,0000000008,山口県,美祢市,美祢市農村婦人の家,ミネシノウソンフジンノイエ,,,山口県美祢市西厚保町本郷688-4,,34.110396,131.140174,0837-58-0902,,,美祢市,4月～10月（月・金）         11月～3月（月～土）　　　　　　　　　　　　　　　　　　　　　　　　　　　,09:00,17:00,4月～10月の定期休日は、日・火・水・木・土曜日及び国民の祝日に関する法律に規定する休日。11月～3月の定期休日は、土曜日の午後、日曜日、国民の祝日に関する法律に規定する休日及び年末年始（12月29日から1月3日）。,,,,
352136,0000000009,山口県,美祢市,美祢市農産物加工センター,ミネシノウサンブツカンコウセンター,,,山口県美祢市大嶺町東分3086-1,,34.178359,131.196454,0837-54-1470,,,美祢市,月～土,08:30,17:00,土曜日は8:30から12時まで開館。日曜日、12月31日～1月3日は閉館。,,車椅子用スロープ有。自動ドア有。,,
352136,0000000010,山口県,美祢市,美東農産物加工所,ミトウノウサンブツカコウショ,,,山口県美祢市美東町大田5869,,34.223156,131.340437,08396-2-0062,,,美祢市,火～日,07:30,16:00,月曜日、12月31日～1月4日は閉館。,,,,
