都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
352136,0000000001,山口県,美祢市,美祢市立伊佐小学校,ミネシリツイサショウガッコウ,,,山口県美祢市伊佐町伊佐4454,,34.16499,131.22658,0837-52-0028,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://isa-shou.jimdo.com/,
352136,0000000002,山口県,美祢市,美祢市立厚保小学校,ミネシリツアツショウガッコウ,,,山口県美祢市西厚保町本郷610,,34.10969,131.14206,0837-58-0006,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,多目的トイレ有り,https://atsu-e.jimdofree.com/,
352136,0000000003,山口県,美祢市,美祢市立大嶺小学校,ミネシリツオオミネショウガッコウ,,,山口県美祢市大嶺町東分1721,,34.17545,131.20598,0837-52-0247,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,多目的トイレ有り,https://oomine-shou.jimdofree.com/,
352136,0000000005,山口県,美祢市,美祢市立麦川小学校,ミネシリツムギガワショウガッコウ,,,山口県美祢市大嶺町奥分1960,,34.18903,131.17004,0837-52-0138,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://mugigawa-shou.jimdofree.com/,
352136,0000000006,山口県,美祢市,美祢市立於福小学校,ミネシリツオフクショウガッコウ,,,山口県美祢市於福町上4206,,34.24335,131.19171,0837-56-0021,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://ohuku-shou.jimdofree.com/,
352136,0000000007,山口県,美祢市,美祢市立豊田前小学校,ミネシリツトヨタマエショウガッコウ,,,山口県美祢市豊田前町麻生下809,,34.19308,131.11774,0837-57-0014,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://toyotamae-shou.jimdofree.com/,
352136,0000000008,山口県,美祢市,美祢市立大田小学校,ミネシリツオオダショウガッコウ,,,山口県美祢市美東町大田6215,,34.226141,131.343640,08396-2-0019,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,多目的トイレ有り,https://ohda-shou.jimdofree.com/,
352136,0000000009,山口県,美祢市,美祢市立綾木小学校,ミネシリツアヤギショウガッコウ,,,山口県美祢市美東町綾木2125,,34.189334,131.346545,08396-2-0113,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://ayagi-shou.jimdofree.com/,
352136,0000000010,山口県,美祢市,美祢市立淳美小学校,ミネシリツジュンビショウガッコウ,,,山口県美祢市美東町真名472-3,,34.159851,131.354315,08396-5-0004,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://junbi-shou.jimdofree.com/,
352136,0000000011,山口県,美祢市,美祢市立秋吉小学校,ミネシリツアキヨシショウガッコウ,,,山口県美祢市秋芳町秋吉2388,,34.21291,131.30457,0837-62-0012,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://akiyoshi-shou.jimdofree.com/,
352136,0000000012,山口県,美祢市,美祢市立秋芳桂花小学校,ミネシリツシュウホウケイカショウガッコウ,,,山口県美祢市秋芳町嘉万2970,,34.26563,131.25923,0837-65-2277,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,多目的トイレ有り,https://keika-shou.jimdofree.com/,
352136,0000000013,山口県,美祢市,美祢市立伊佐中学校,ミネシリツイサチュウガッコウ,,,山口県美祢市伊佐町伊佐4616,,34.16696,131.22636,0837-52-0307,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://isa-j.jimdofree.com/,
352136,0000000014,山口県,美祢市,美祢市立厚保中学校,ミネシリツアツチュウガッコウ,,,山口県美祢市西厚保町本郷189-3,,34.111319,131.153127,0837-58-0007,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://atsu-j.jimdofree.com/,
352136,0000000015,山口県,美祢市,美祢市立大嶺中学校,ミネシリツオオミネチュウガッコウ,,,山口県美祢市大嶺町東分3020,,34.16707,131.19438,0837-52-1166,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,多目的トイレ有り,http://www.c-able.ne.jp/~oomine-j/,
352136,0000000016,山口県,美祢市,美祢市立於福中学校,ミネシリツオフクチュウガッコウ,,,山口県美祢市於福町上4319,,34.24335,131.19171,0837-56-0018,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://ofuku-chuu.jimdofree.com/,
352136,0000000017,山口県,美祢市,美祢市立美東中学校,ミネシリツミトウチュウガッコウ,,,山口県美祢市美東町大田6258,,34.226445,131.346001,08396-2-0521,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,https://mito-jh.jimdofree.com/,
352136,0000000018,山口県,美祢市,美祢市立秋芳中学校,ミネシリツシュウホウチュウガッコウ,,,山口県美祢市秋芳町秋吉5100,,34.21602,131.29352,0837-62-0025,,,美祢市,土日祝日及び学校休業日,08:30,22:00,平日は17:00～22:00,,,http://www.c-able.ne.jp/~shuho-j/,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
