学校ID,学校コード,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名
,B135210001669,山口県,,長門市,,352110,通小学校,カヨイショウガッコウ,1503,,,通1区から通16区まで全区,,
,B135210001678,山口県,,長門市,,352110,仙崎小学校,センザキショウガッコウ,1503,,,白潟1区;白潟2区;白潟3区;祗園町区;南町区;栄町区;本町区;北本町区;洲崎町区;今浦町区;鍛冶屋町区;中新町区;新町区;幸町区;旭町区;錦町区;新屋敷町区;新開町区;鳥越1区;鳥越2区;大日比区;大泊区;青海区;田屋区,田屋区については;仙崎小学校;深川小学校のいずれかに就学できる自由区とする。,
,B135210001687,山口県,,長門市,,352110,深川小学校,フカワショウガッコウ,1503,,,駅前区;湊1東区;湊1西区;湊2区;湊中央区;湊3区;中山区;緑ケ丘区;藤中区;江良区;正明市1区から正明市5区まで全区;上郷区;下郷区;下川西区;上ノ原区;後ケ迫区;開作区;境川区;上川西1区;上川西2区;上川西3区;板持1区から板持4区まで全区;田屋区;山小根区;渋木中区;大垰区;坂水区;渋木１区から渋木３区まで全区;真木区,田屋区については;仙崎小学校;深川小学校のいずれかに就学できる自由区とする。,
,B135210001696,山口県,,長門市,,352110,向陽小学校,コウヨウショウガッコウ,1503,,,殿台区;大河内区;小河内区;河原区;門前区;湯本区;三ノ瀬区,,
,B135210001703,山口県,,長門市,,352110,俵山小学校,タワラヤマショウガッコウ,1503,,,小原区;木津区;郷区;黒川区;大羽山区;湯町区;上政区;上安田区;下安田区;七重区,,
,B135210002800,山口県,,長門市,,352110,明倫小学校,メイリンショウガッコウ,1503,,,滝坂;一の瀬;三隅中畑;杉山;樅の木;宗頭;兎渡谷;麓;上中小野;下中小野;辻並;大竹;正楽寺;市;湯免;三隅中村;土手;久原;生島;津雲;飯井;野波瀬;向山;豊原;二条窪;上東方,,
,B135210002819,山口県,,長門市,,352110,浅田小学校,アサダショウガッコウ,1503,,,平野;下東方;小島;浅田;殿村新開;向開作;沢江;上ゲ,,
,B135210002828,山口県,,長門市,,352110,日置小学校,ヘキショウガッコウ,1503,,,茅刈(浅津地区);黄波戸口;堀田;亀山;亀山団地;古市;上城;大内山上;大内山下;畑;国広;真口;新市;農士園;小野地;狩宿;一円;向田;川原;日置中村;東坂本;西坂本;炭床;北山;野田北;野田南;長行;雨乞,,
,B135210002837,山口県,,長門市,,352110,神田小学校,ジンデンショウガッコウ,1503,,,長崎;黄波戸;矢ケ浦;茅刈(浅津地区を除く。),,
,B135210002846,山口県,,長門市,,352110,油谷小学校,ユヤショウガッコウ,1503,,,亀田;植松;荒人;長久;杣地;有宗;広中;稲石;人丸;新別名;駅通;大迫;東大坊;芝崎;大坊;田上;二ノ瀬;坂根;山根;札場;河原浦;大江;上蔵小田;下蔵小田;油谷中畑;渡場;掛渕;上津黄;東津黄;西津黄;東後畑;東立石;西立石;大畠;青村;小田;赤屋;木吹;大川尻;中ノ森;上野東;川尻東;川尻西;浅井;尾崎;里;伊上浦;岡;宮ノ馬場;上り野;前方;須方;綾湖;貝川,,
,B135210002855,山口県,,長門市,,352110,向津具小学校,ムカツクショウガッコウ,1503,,,田久道;白木;久津;大和;大浦東;大浦西;油谷;南方;本郷;山崎;水岬;上野西,,
,C135210000953,山口県,,長門市,,352110,仙崎中学校,センザキチュウガッコウ,1504,,,白潟1区;白潟2区;白潟3区;祗園町区;南町区;栄町区;本町区;北本町区;洲崎町区;今浦町区;鍛冶屋町区;中新町区;新町区;幸町区;旭町区;錦町区;新屋敷町区;新開町区;鳥越1区;鳥越2区;大日比区;大泊区;青海区;田屋区;通1区から通16区まで全区,,
,C135210000962,山口県,,長門市,,352110,深川中学校,フカワチュウガッコウ,1504,,,駅前区;湊1東区;湊1西区;湊2区;湊中央区;湊3区;中山区;緑ケ丘区;藤中区;江良区;正明市1区から正明市5区まで全区;上郷区;下郷区;下川西区;上ノ原区;後ケ迫区;開作区;境川区;上川西1区;上川西2区;上川西3区;板持1区から板持4区まで全区;田屋区;山小根区;渋木中区;大垰区;坂水区;渋木１区から渋木３区まで全区;真木区;殿台区;大河内区;小河内区;河原区;門前区;湯本区;三ノ瀬区;小原区;木津区;郷区;黒川区;大羽山区;湯町区;上政区;上安田区;下安田区;七重区,,
,C135210001426,山口県,,長門市,,352110,三隅中学校,ミスミチュウガッコウ,1504,,,滝坂;一の瀬;三隅中畑;杉山;樅の木;宗頭;兎渡谷;麓;上中小野;下中小野;辻並;大竹;正楽寺;市;湯免;三隅中村;土手;久原;生島;津雲;飯井;野波瀬;向山;豊原;二条窪;上東方;平野;下東方;小島;浅田;殿村新開;向開作;沢江;上ゲ,,
,C135210001435,山口県,,長門市,,352110,日置中学校,ヘキチュウガッコウ,1504,,,茅刈(浅津地区);黄波戸口;堀田;亀山;亀山団地;古市;上城;大内山上;大内山下;畑;国広;真口;新市;農士園;小野地;狩宿;一円;向田;川原;日置中村;東坂本;西坂本;炭床;北山;野田北;野田南;長行;雨乞;長崎;黄波戸;矢ケ浦;茅刈(浅津地区を除く。),,
,C135210001444,山口県,,長門市,,352110,菱海中学校,ヒシカイチュウガッコウ,1504,,,亀田;植松;荒人;長久;杣地;有宗;広中;稲石;人丸;新別名;駅通;大迫;東大坊;芝崎;大坊;田上;二ノ瀬;坂根;山根;札場;河原浦;大江;上蔵小田;下蔵小田;油谷中畑;渡場;掛渕;上津黄;東津黄;西津黄;東後畑;東立石;西立石;大畠;青村;小田;赤屋;木吹;大川尻;中ノ森;上野東;川尻東;川尻西;浅井;尾崎;里;伊上浦;岡;宮ノ馬場;上り野;前方;須方;綾湖;貝川;田久道;白木;久津;大和;大浦東;大浦西;油谷;南方;本郷;山崎;水岬;上野西,,
