教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,緯度,経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
B135210001810,B1(小学校),35,2,,1,,,日積小学校,ヒヅミショウガッコウ,,山口県柳井市,日積,6951番地,742-0111,34.00124978,132.152223,代表,0820-28-0012,2020/12/22,,350276,
B135210001712,B1(小学校),35,2,,1,,,柳井小学校,ヤナイショウガッコウ,,山口県柳井市,柳井,3680番地4,742-0021,33.97132408,132.1082905,代表,0820-22-0620,2020/12/22,,350263,
B135210001721,B1(小学校),35,2,,1,,,柳東小学校,リュウトウショウガッコウ,,山口県柳井市,柳井,964番地1,742-0021,33.95986111,132.1313056,代表,0820-22-0625,2020/12/22,,350264,
B135210001730,B1(小学校),35,2,,1,,,柳北小学校,リュウホクショウガッコウ,,山口県柳井市,柳井,5025番地,742-0021,33.98538889,132.0968333,代表,0820-22-0619,2020/12/22,,350265,
B135210001749,B1(小学校),35,2,,1,,,新庄小学校,シンジョウショウガッコウ,,山口県柳井市,新庄,2614番地,742-0033,33.96969444,132.0899167,代表,0820-22-0597,2020/12/22,,350266,
B135210001758,B1(小学校),35,2,,1,,,余田小学校,ヨタショウガッコウ,,山口県柳井市,余田,1419番地,742-0034,33.97171364,132.0690626,代表,0820-22-1530,2020/12/22,,350267,
B135210001767,B1(小学校),35,2,,1,,,伊陸小学校,イカチショウガッコウ,,山口県柳井市,伊陸,5856番地1,742-0201,34.02895185,132.11019307,代表,0820-26-0007,2020/12/22,,350268,
B135210001776,B1(小学校),35,2,,1,,,平郡東小学校,ヘイグンヒガシショウガッコウ,,山口県柳井市,平郡,1834番地,742-0041,33.78013777,132.2585141,代表,0820-47-2020,2020/12/22,,350270,
B135210001785,B1(小学校),35,2,,1,,,平郡西小学校,ヘイグンニシショウガッコウ,,山口県柳井市,平郡,4836番地2,742-0041,33.80299270,132.20290103,代表,,2020/12/22,,350271,
B135210001794,B1(小学校),35,2,,1,,,柳井南小学校,ヤナイミナミショウガッコウ,,山口県柳井市,伊保庄,1429番地,742-1352,33.92277083,132.1258652,代表,0820-27-0602,2020/12/22,,350274,
B135210001801,B1(小学校),35,2,,1,,,小田小学校,オダショウガッコウ,,山口県柳井市,伊保庄,4853番地1,742-1352,33.95163889,132.1176389,代表,0820-22-0835,2020/12/22,,350275,
B135210002169,B1(小学校),35,2,,1,,,大畠小学校,オオバタケショウガッコウ,,山口県柳井市,大畠,757番地2,749-0102,33.96155556,132.1668889,代表,0820-45-2203,2020/12/22,,350424,
C135210000971,C1(中学校),35,2,,1,,,柳井中学校,ヤナイチュウガッコウ,,山口県柳井市,柳井,4155番地,742-0021,33.97450000,132.1055278,代表,0820-22-0405,2020/12/22,,353782,
C135210000980,C1(中学校),35,2,,1,,,柳井西中学校,ヤナイニシチュウガッコウ,,山口県柳井市,余田,2111番地,742-0034,33.97702778,132.0765278,代表,0820-22-1531,2020/12/22,,353783,
C135210001159,C1(中学校),35,2,,1,,,大畠中学校,オオバタケチュウガッコウ,,山口県柳井市,神代,4273番地,749-0101,33.96398275,132.1760613,代表,0820-45-2202,2020/12/22,,353901,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
