全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_ｰ以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352039,AK1599000001,山口県山口市,白石学校給食共同調理場,,,,,,,,93001,山口県山口市白石一丁目10ｰ1,山口県,山口市,白石一丁目,10ｰ1,,34.176652,131.470689,,,(083)922-0063,,,,,7530070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000002,山口県山口市,仁保学校給食共同調理場,,,,,,,,136000,山口県山口市仁保中郷81,山口県,山口市,仁保中郷,81,,34.214591,131.555244,,,(083)929-0311,,,,,7530302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000003,山口県山口市,二島学校給食共同調理場,,,,,,,,3000,山口県山口市秋穂二島552ｰ1,山口県,山口市,秋穂二島,552ｰ1,,34.038302,131.420496,,,(083)987-2009,,,,,7540893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000004,山口県山口市,阿東東学校給食共同調理場,,,,,,,,22000,山口県山口市阿東徳佐中3288ｰ1,山口県,山口市,阿東徳佐中,3288ｰ1,,34.395623,131.725226,,,(083)956-0039,,,,,7591512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000005,山口県山口市,徳地学校給食センター,,,,,,,,120000,山口県山口市徳地堀1606ｰ1,山口県,山口市,徳地堀,1606ｰ1,,34.191381,131.65883,,,(0835)52-0916,,,,,7470231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000006,山口県山口市,名田島学校給食共同調理場,,,,,,,,131000,山口県山口市名田島1538ｰ2,山口県,山口市,名田島,1538ｰ2,,34.076584,131.415043,,,(083)972-0711,,,,,7540892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000007,山口県山口市,さくら学校給食共同調理場,,,,,,,,18000,山口県山口市阿東地福下1234ｰ1,山口県,山口市,阿東地福下,1234ｰ1,,34.358514,131.661083,,,(083)952-0304,,,,,7591422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000008,山口県山口市,秋穂学校給食センター,,,,,,,,2000,山口県山口市秋穂東6632,山口県,山口市,秋穂東,6632,,34.017205,131.43605,,,(083)984-2101,,,,,7541101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000009,山口県山口市,大殿学校給食共同調理場,,,,,,,,141001,山口県山口市古熊一丁目4ｰ1,山口県,山口市,古熊一丁目,4ｰ1,,34.176968,131.484578,,,(083)922-0688,,,,,7530031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000010,山口県山口市,阿知須学校給食センター,,,,,,,,10000,山口県山口市阿知須5045,山口県,山口市,阿知須,5045,,34.014444,131.353223,,,(0836)65-2240,,,,,7541277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000011,山口県山口市,興進学校給食共同調理場,,,,,,,,29000,山口県山口市江崎2284,山口県,山口市,江崎,2284,,34.057217,131.370946,,,(083)989-2513,,,,,7540896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000012,山口県山口市,小郡学校給食センター,,,,,,,,52005,山口県山口市小郡新町五丁目8ｰ22,山口県,山口市,小郡新町五丁目,8ｰ22,,34.113081,131.402417,,,(083)973-2427,,,,,7540031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352039,AK1599000013,山口県山口市,湯田学校給食共同調理場,,,,,,,,151000,山口県山口市元町2ｰ26,山口県,山口市,元町,2ｰ26,,34.168934,131.457969,,,(083)922-0092,,,,,7530063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
