"名称","所在地","経度","緯度","分類"
"大嶺小学校","美祢市大嶺町東分1721","131.191819190306","34.1853180227189","小学校区"
"綾木小学校","美祢市美東町綾木2125","131.363367803755","34.2045250768725","小学校区"
"伊佐小学校","美祢市伊佐町伊佐4454","131.239889985959","34.1690506189236","小学校区"
"於福小学校","美祢市於福町4206","131.193055536195","34.2452491113368","小学校区"
"厚保小学校","美祢市西厚保町本郷610","131.148546028514","34.1201772928933","小学校区"
"秋吉小学校","美祢市秋芳町秋吉2388","131.297348984767","34.2047425885652","小学校区"
"秋芳桂花小学校","美祢市秋芳町嘉万2970","131.266787521233","34.2773177398301","小学校区"
"淳美小学校","美祢市美東町真名472-3","131.356107379176","34.1687278937048","小学校区"
"大田小学校","美祢市美東町大田6215","131.354300083554","34.2577014881111","小学校区"
"麦川小学校","美祢市大嶺町奥分1960","131.175434979243","34.1929361601167","小学校区"
"豊田前小学校","美祢市豊田前町麻生下809","131.121632862436","34.1870827257581","小学校区"
"麦川小学校","美祢市大嶺町奥分1960","131.14759443784","34.1961490263714","小学校区"
"豊田前小学校","美祢市豊田前町麻生下809","131.14759443784","34.1961490263714","小学校区"
