都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
3.00002E+12,1013813,山口県,宇部市,「デコ活」街頭啓発キャンペーン,デコカツガイトウケイハツキャンペーン,,2025/6/8,2025/6/8,10:00,15:00,,"
脱炭素につながる新しい暮らしを創る国民運動「デコ活」の呼びかけとアンケート
省エネクイズ
※アンケートにご協力いただいた方に省エネグッズをご用意しています。
",,,,,,,フジグラン宇部　1階, 山口県宇部市明神町三丁目1番1号,,,,,,,,,,https://www.city.ube.yamaguchi.jp/kurashi/kankyouhozen/shouene/1002690/1013813.html,
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/6/25,2025/6/25,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/7/23,2025/7/23,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/8/27,2025/8/27,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/9/24,2025/9/24,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/10/22,2025/10/22,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/11/26,2025/11/26,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2025/12/24,2025/12/24,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2026/1/28,2026/1/28,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
3.00002E+12,1024784,山口県,宇部市,令和7年度マタニティ❤サロン,マタニティ❤サロン,,2026/2/25,2026/2/25,13:20,15:30,,"赤ちゃんを迎える準備として、助産師・保健師・看護師・管理栄養士・保育士などの専門職が、産前・産後の生活についての講話やお風呂の入れ方、着替え、おむつ替えなどの体験を通じて、楽しいマタニティライフのお手伝いをします。自由参加で、ミルク作りや妊婦体験もできます。
",,,宇部市こども支援課（宇部市琴芝町二丁目4番25号　宇部市福祉ふれあいセンター1階）,0836‐31‐1732,,,宇部市福祉ふれあいセンター　他,宇部市琴芝町二丁目4番25号,,,,,有り,16組（32人）,,,"申込み期間内にマタニティ❤サロン電子申請フォームより、お申込みください。
初産婦、初回の申し込みの方が優先となります。
先着順でありません。申込多数の場合は出産予定日が近い方を優先させていただきます。
ご参加いただける方には、実施月の11日（11日が休日の場合は休日明け）に、時間等の詳細をメールでお知らせします。
参加可否のメールが届かない場合は、宇部市こども支援課（31-1732）にお問い合わせください。
電子申請ができないなどの場合は下記にお問い合わせください。
",https://www.city.ube.yamaguchi.jp/kosodate/kosodateouen/mokuteki/ninshin/1024784.html,詳細は宇部市ウェブサイト「マタニティサロン」検索番号1003273をご確認ください。
