都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
353418,0012020091,山口県,上関町,上関町役場本庁,カミノセキチョウヤクバホンチョウ,山口県熊毛郡上関町大字長島448,,33.831535,132.109713,１階受付,0820-62-0311,103,1000020353418,上関町,月火水木金,08:30,17:15,非常時は24時間365日利用可能,有,,
353418,0012020092,山口県,上関町,高齢者保健福祉施設,コウレイシャホケンフクシセンター,山口県熊毛郡上関町大字長島1561,,33.815191,132.073523,玄関入ってすぐ右,0820-65-5113,,-,-,月火水木金,08:30,17:15,,有,,
353418,0012020093,山口県,上関町,四代診療所,シダイシンリョウショ,山口県熊毛郡上関町大字長島2159-4,,33.793166,132.055501,,0820-65-0615,,-,-,月木金,13:30,15:30,,有,,
353418,0012020094,山口県,上関町,白井田診療所,シライダシンリョウショ,山口県熊毛郡上関町大字長島3910-3,,33.820742,132.068629,,0820-65-0111,,-,-,月火水木金,08:30,17:15,,有,,
353418,0012020095,山口県,上関町,八島診療所,ヤシマシンリョウショ,山口県熊毛郡上関町大字八島688-3,,33.728849,132.139966,,0820-62-1833,,-,-,月火水木金,08:30,17:15,,有,,
353418,0012020096,山口県,上関町,海のまち診療所,ウミノマチシンリョウショ,山口県熊毛郡上関町大字長島582-3,,33.830849,132.112515,,0820-62-6001,,-,-,月火木金,08:30,17:00,,有,,
353418,0012020097,山口県,上関町,上関町総合文化センター,カミノセキチョウソウゴウブンカセンター,山口県熊毛郡上関町大字室津904番地15,,33.834055,132.116747,１階受付窓口,0820-62-1460,,1000020353418,上関町,開館日,08:30,17:15,土日祝日かつ、公民館・ホールの利用予定がない場合は、閉館のため使用不可。,有,,
353418,0012020099,山口県,上関町,祝島地区館,イワイシマチクカン,山口県熊毛郡上関町大字祝島184番地の4,,33.787069,131.990132,1階受付窓口,0820-66-2003,,1000020353418,上関町,開館日,08:30,17:15,土日祝日かつ、公民館の利用予定がない場合は、閉館のため使用不可。,有,,
353418,0012020100,山口県,上関町,八島ふれあいセンター,ヤシマフレアイセンター,山口県熊毛郡上関町大字八島688番3,,33.728864,132.14012,1階受付窓口,0820-62-1822,,1000020353418,上関町,開館日,08:30,17:15,土日祝日かつ、公民館の利用予定がない場合は、閉館のため使用不可。,有,,
353418,0012020101,山口県,上関町,上関統合小学校,カミノセキトウゴウショウガッコウ,山口県熊毛郡上関町大字長島250,,33.83223485,132.1077329,１階玄関口,0820－62－0054,,,上関町,月火水木金,08:00,16:40,,有,https://www.town.kaminoseki.lg.jp/kamisho/kamisho.index.html,
353418,0012020102,山口県,上関町,上関中学校,カミノセキチュウガッコウ,山口県熊毛郡上関町大字長島280,,33.83338378,132.1077329,１階玄関口,0820－62－0321,,,上関町,月火水木金,08:00,16:40,,無,https://www.town.kaminoseki.lg.jp/kami-juniorhighschool/index.html,
353418,0012020103,山口県,上関町,祝島小学校,イワイシマショウガッコウ,山口県熊毛郡上関町大字祝島10003,,33.78511111,131.9881389,体育館入り口,0820－66－2003,,,上関町,月火水木金,08:00,16:40,,無,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
