都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200001,山口県,岩国市,岩国市役所（本庁舎）,イワクニシヤクショ（ホンチョウシャ）,山口県岩国市今津町一丁目14番51号,,34.166571,132.218901,１階受付前、６階議会事務局執務室,0827-29-5000,,1000020352080,岩国市,月火水木金土日,00:00,00:00,執務時間以外は守衛が守衛室に常駐しているので24時間利用可能。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200003,山口県,岩国市,周東総合支所,シュウトウソウゴウシショ,山口県岩国市周東町下久原1208番地１,,34.093171,132.051797,２階地域振興課執務室,0827-84-1111,,1000020352080,岩国市,月火水木金,08:30,17:15,,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200004,山口県,岩国市,由宇総合支所,ユウソウゴウシショ,山口県岩国市由宇町中央一丁目１番10号,,34.046892,132.212042,由宇総合支所,0827-63-1111,,1000020352080,岩国市,月火水木金土日,00:00,00:00,執務時間以外は守衛が守衛室に常駐しているので24時間利用可能。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200005,山口県,岩国市,美和総合支所,ミワソウゴウシショ,山口県岩国市美和町生見12126番地,,34.224183,132.078227,１階出納室前,0827-96-1111,,1000020352080,岩国市,月火水木金,08:30,17:15,12/29～1/3を除く。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200006,山口県,岩国市,錦総合支所,ニシキソウゴウシショ,山口県岩国市錦町広瀬12番地８,,34.262799,131.959651,執務室,0827-72-2111,,1000020352080,岩国市,月火水木金土日,00:00,00:00,執務時間以外は守衛が守衛室に常駐しているので24時間利用可能。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200007,山口県,岩国市,本郷支所・本郷ふるさと交流館,ホンゴウシショ・ホンゴウフルサトコウリュウカン,山口県岩国市本郷町本郷2082番地１,,34.294010,132.040841,本郷ふるさと交流館ホワイエ,0827-75-2311,,1000020352080,岩国市,月火水木金,08:30,17:15,夜間の交流館利用時は利用可能。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200008,山口県,岩国市,錦総合支所美川支所南桑出張所 美川基幹集落センター,ニシキソウゴウシショミカワシショナグワシュッチョウジョミカワキカンシュウラクセンター,山口県岩国市美川町南桑2420番地１,,34.209768,132.022638,１階ロビー,0827-77-0001,,1000020352080,岩国市,月火水木金,08:30,17:15,夜間の施設利用時は利用可能。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200012,山口県,岩国市,中央公民館（川下）,チュウオウコウミンカン（カワシモ）,山口県岩国市中津町二丁目１番３号,,34.156153,132.216576,１階廊下,0827-23-0641,,1000020352080,岩国市,月火水木金土日,08:30,22:00,祝日・12/29～1/3を除く。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200013,山口県,岩国市,中央公民館（愛宕）,チュウオウコウミンカン（アタゴ）,山口県岩国市門前町二丁目35番地２号,,34.145904,132.212289,玄関,0827-32-6130,,1000020352080,岩国市,月火水木金土日,08:30,22:00,祝日・12/29～1/3を除く。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352080,0000200014,山口県,岩国市,中央公民館藤河分館（藤河出張所）,チュウオウコウミンカンフジカワブンカン（フジカワシュッチョウジョ）,山口県岩国市多田二丁目117番地１,,34.180722,132.166816,１階ロビー,0827-41-0037,,1000020352080,岩国市,月火水木金,08:30,17:15,夜間の施設利用時は利用可能。12/29～1/3を除く。,,,令和７年１月時点の情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
