全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
352152,HOCHIIKI0001,山口県周南市,休日夜間急病診療所,キュウジツヤカンキュウビョウシンリョウショ,,無床診療所,352152,,山口県周南市瀬戸見町9-25,山口県,周南市,瀬戸見町,９－２５,,34.050101,131.832247,,,(0834)39-0099,,,,,,745-0827,,,,休日、平日夜間,9:00,22:00,休日（日曜・祝日、12月31日から翌年1月3日、8月15日）は9:00～12:00、13:00～17:00、19:00～22:00。平日夜間は19:00～22:00。,,内科;外科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0002,山口県周南市,周南地域休日・夜間こども急病センター（周南こどもQQ),シュウナンチイキキュウジツヤカンコドモキュウビョウセンター　シュウナンコドモキュウキュウ,,無床診療所,352152,,山口県周南市孝田町1−1 徳山中央病院内,山口県,周南市,孝田町,1−1,徳山中央病院内,34.047536,131.834658,,,(0834)28−9650,,,,,,745-0822,,,,休日、平日夜間,9:00,22:00,休日（日曜・祝日、12月31日から翌年1月3日）は9:00～12:00、13:00～17:00、19:00～22:00。平日夜間は19:00～22:00。,,小児科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0003,山口県周南市,大津島診療所,オオヅシマシンリョウショ,,無床診療所,352152,,山口県周南市大字大津島1361-4,山口県,周南市,大字大津島,1361-4,,34.017669,131.710354,,,(0834)85-2200,,(0834)85-2668,,,,745-0057,,,,不定期（週２日）,10:00,16:30,祝日及び年末年始は休診。　10：00～12：30、13：30～16：30　診療曜日が不定期のため、電話でお問い合わせください。,,内科;外科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0004,山口県周南市,和田巡回診療所,ワダジュンカイシンリョウショ,,無床診療所,352152,,山口県周南市大字和田峠186（高瀬郵便局）,山口県,周南市,大字和田峠,186,（高瀬郵便局）,34.151992,131.737219,,,(0834)68-2192,,,,,オンライン診療の予約は電話(0834)68-2192,746-0103,,,,火,9:00,12:00,祝日及び年末年始は休診。第１・第３火曜日は対面診療で9時から12時。第２・４・５火曜日は予約制のオンライン診療です。,,内科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0005,山口県周南市,大向巡回診療所（予約制）,オオムカイジュンカイシンリョウショ,,無床診療所,352152,,山口県周南市大字大向1653-1,山口県,周南市,大字大向,1653-1,,34.180908,131.818765,,,(0834)68-2192,,,,,予約は電話(0834)68-2192,745-0241,,,,火,10:00,11:00,祝日及び年末年始は休診。予約制。令和７年４月から診療曜日と時間について変更の可能性あり。,,内科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0006,山口県周南市,大道理巡回診療所（予約制）,オオドウリジュンカイシンリョウショ,,無床診療所,352152,,山口県周南市大字大道理1332 大道理夢求の里,山口県,周南市,大字大道理,1332,大道理夢求の里,34.141427,131.807242,,,(0834)68-2192,,,,,予約は電話(0834)68-2192,745-0242,,,,火,11:00,12:00,祝日及び年末年始は休診。予約制。令和７年４月から診療曜日と時間について変更の可能性あり。,,内科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0007,山口県周南市,中須巡回診療所（予約制）,ナカスジュンカイシンリョウショ,,無床診療所,352152,,山口県周南市大字中須南2557-1,山口県,周南市,大字中須南,２５５７－１,,34.113934,131.917045,,,(0834)68-2192,,,,,予約は電話(0834)68-2192,745-0512,,,,火,14:00,15:30,祝日及び年末年始は休診。予約制。令和７年４月から診療曜日と時間について変更の可能性あり。,,内科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0008,山口県周南市,須金診療所,スガネシンリョウショ,,無床診療所,352152,,山口県周南市大字須万2488,山口県,周南市,大字須万,2488,,34.200801,131.923788,,,(0834)86-2220,,(0834)86-2220,,,,745-0401,,,,木,13:45,15:15,祝日及び年末年始は休診。,,内科;外科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0009,山口県周南市,須金歯科診療所,スガネシカシンリョウショ,,無床診療所,352152,,山口県周南市大字須万2488,山口県,周南市,大字須万,2488,,34.200801,131.923788,,,(0834)86-2721,,,,,,745-0401,,,,木,9:00,12:00,祝日及び年末年始は休診。,,歯科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
352152,HOCHIIKI0010,山口県周南市,熊北巡回診療所,ユウホクジュンカイシンリョウショ,,無床診療所,352152,,山口県周南市大字八代819,山口県,周南市,大字八代,819,,34.087384,131.939223,,,(0833)91-0100,,(0833)91-3135,,,,745-0501,,,,水,13:00,17:00,祝日及び年末年始は休診。,,内科,0,,,https://www.city.shunan.lg.jp/soshiki/28/,,,
