都道府県コード又は市区町村コード	NO	都道府県名	市区町村名	名称	名称_カナ	医療機関の種類	住所	方書	緯度	経度	電話番号	内線番号	FAX番号	法人番号	法人の名称	医療機関コード	診療曜日	診療開始時間	診療終了時間	診療日時特記事項	時間外における対応	診療科目	病床数	URL	備考
353434	1	山口県	熊毛郡田布施町	くにちか歯科医院	クニチカシカイイン	無床診療所	田布施町下田布施937－12		33.95691086	132.041275	0820-52-0118				くにちか歯科医院		月火水木金土	9:00:00	18:30:00	木曜日午後休診		歯科			
353434	2	山口県	熊毛郡田布施町	弘和クリニック	コウワクリニック	有床診療所	田布施町波野197-1		33.95852075	132.0529489	0820-52-2508				弘和クリニック		月火水木金土	8:30:00	17:20:00	"木曜日午後は完全予約制
土曜日午後休診"		内科_小児科_眼科			
353434	3	山口県	熊毛郡田布施町	新谷医院	シンタニイイン	無床診療所	田布施町波野187-5		33.95912287	132.05371	0820-52-5550				新谷医院		月火水木金土	9:00:00	18:00:00	木土の午後休診		外科_消化器内科（胃腸内科）_放射線科_リハビリテーション科			
353434	4	山口県	熊毛郡田布施町	中村歯科	ナカムラシカ	無床診療所	田布施町下田布施693－15		33.95655456	132.0483989	0820-52-1112				中村歯科		月火水木金	8:30:00	17:30:00			歯科			
353434	5	山口県	熊毛郡田布施町	はらだ歯科医院	ハラダシカイイン	無床診療所	田布施町麻郷3428-82		33.92561488	132.0503104	0820-55-4008				はらだ歯科医院		月火水木金土	9:00:00	17:00:00	火水木土の午後休診		歯科			
353434	6	山口県	熊毛郡田布施町	藤井歯科医院	フジイシカイイン	無床診療所	田布施町下田布施867-1		33.95582061	132.0455576	0820-52-3120				藤井歯科医院		月火水木金土	9:00:00	18:00:00	木曜日午後休診		歯科			
353434	7	山口県	熊毛郡田布施町	藤田医院	フジタイイン	無床診療所	田布施町宿井1022		33.97172401	132.0210247	0820-52-2558				藤田医院		月火水木金土	8:30:00	18:00:00	木土の午後休診		内科_消化器内科（胃腸内科）_小児科			
353434	8	山口県	熊毛郡田布施町	守友歯科クリニック	モリトモシカクリニック	無床診療所	田布施町中央南3-4		33.95312837	132.0430705	0820-51-2255				守友歯科クリニック		月火水金土	9:00:00	18:30:00			歯科			
353434	9	山口県	熊毛郡田布施町	やのくにクリニック	ヤノクニクリニック	無床診療所	田布施町下田布施899－3 		33.956755	132.043661	0820-25-1892				やのくにクリニック		月火水木金土	9:00:00	19:00:00	木土の午後休診		内科_漢方内科_小児科		https://www.yanokuniclinic.org	
353434	10	山口県	熊毛郡田布施町	やまもと歯科	ヤマモトシカ	無床診療所	田布施町波野2165-6		33.95946526	132.0551496	0820-53-0648				やまもと歯科		月火水木金土	8:30:00	18:00:00	木曜日午後休診		歯科			
353434	11	山口県	熊毛郡田布施町	吉村胃腸科内科医院	ヨシムライチョウカナイカイイン	無床診療所	田布施町下田布施116番4		33.95239678	132.0572187	0820-52-3266				吉村胃腸科内科医院		月火水木金土	9:00:00	18:00:00	木土の午後休診		消化器内科（胃腸内科）_内科			
