都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
350001,350001460001,山口県,0001,下関市役所,シモノセキシヤクショ,下関市南部町１－１,,33.957863,130.940689,-,,,,,,,,,,,
350001,350001460002,山口県,0002,下関地方合同庁舎,シモノセキチホウゴウドウチョウシャ,下関市竹崎町４－６－１,,33.948997,130.926727,山口地方法務局下関支局（庁舎１階）,,,,,,,,,,,
350001,350001460003,山口県,0003,下関総合庁舎,シモノセキソウゴウチョウシャ,下関市貴船町３－２－１,,33.967354,130.942505,"下関県民局
（本館１階）",,,,,,,,,,,
350001,350001460004,山口県,0004,下関保健所,シモノセキホケンショ,下関市南部町１－６,,33.957863,130.940689,総務課事務室内,,,,,,,,,,,
350001,350001460005,山口県,0005,豊浦総合支所,トヨウラソウゴウシショ,下関市豊浦町大字川棚６８９５－１０,,34.14529,130.924118,受付,,,,,,,,,,,
350001,350001460006,山口県,0006,室津支所,ムロツシショ,下関市豊浦町大字室津下６８１－３,,34.133129,130.886627,公民館ロビー,,,,,,,,,,,
350001,350001460007,山口県,0007,黒井支所,クロイシショ,下関市豊浦町大字黒井２３５１,,34.127766,130.909332,事務室,,,,,,,,,,,
350001,350001460008,山口県,0008,豊洋台支所,ホウヨウダイシショ,下関市豊浦町豊洋台１－４４７－２９０,,34.115192,130.908737,多世代交流センター事務所内,,,,,,,,,,,
350001,350001460009,山口県,0009,小串支所,コグシシショ,下関市豊浦町大字小串２２０７－１,,34.176338,130.928787,小串公民館内事務室,,,,,,,,,,,
350001,350001460010,山口県,0010,宇賀支所,ウカシショ,下関市豊浦町大字宇賀７９２５－１,,34.210567,130.931885,事務室内,,,,,,,,,,,
350001,350001460011,山口県,0011,豊田総合支所,トヨタソウゴウシショ,下関市豊田町大字殿敷１９１８－１,,34.19371,131.091904,市民生活課受付窓口,,,,,,,,,,,
350001,350001460012,山口県,0012,菊川保健センター,キクガワホケンセンター,下関市菊川町大字田部７３４－１,,34.120197,131.036514,事務室内,,,,,,,,,,,
350001,350001460013,山口県,0013,菊川教育支所,キクガワキョウイクシショ,下関市菊川町大字下岡枝１１７,,34.120804,131.03093,事務室入り口（棚）　,,,,,,,,,,,
350001,350001460014,山口県,0014,神玉支所,カミタマシショ,下関市豊北町大字神田上２７０９,,34.281658,130.900955,ロビー,,,,,,,,,,,
350001,350001460015,山口県,0015,角島支所,ツノシマシショ,下関市豊北町大字角島１４１３－１,,34.354969,130.859711,角島開発総合センター　ホールの棚,,,,,,,,,,,
350001,350001460016,山口県,0016,阿川支所,アガワシショ,下関市豊北町大字阿川３７５２,,34.329491,130.929703,窓口カウンター,,,,,,,,,,,
