全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
352071,KD0000100001,山口県下松市,医療法人社団　あいクリニック,イリョウホウジンシャダンアイクリニック,Ai Clinic,無床診療所,352071,,山口県下松市西柳３丁目２ー３４,山口県,下松市,西柳３丁目,２ー３４,,34.0146665,131.8634914,,,(0833)48-1111,,(0833)48-1112,,,,,9250005005861 ,,3510711140,月火水金土,09:00,18:00,"皮膚科は午前中と月曜日、水曜日、金曜日の午後、一般診療しています。
火曜日と土曜日に予約制で美容外来をしています。
小児科の１４時から１６時までは予防接種と健康診断の時間です。完全予約制となっております。火曜日と土曜日の午後は感染のない方の慢性外来（アレルギーなど）となっています。
祝日、1月1日、1月2日、1月3日、8月13日、8月14日、8月15日、12月29日、12月30日、12月31日は休診。",,皮膚科、小児科、アレルギー科,0,,,https://www.aiclinic.server-shared.com/,,,
352071,KD0000100002,山口県下松市,青柳歯科医院,アオヤギシカイイン,Aoyagi Detal Clinic,無床診療所,352071,,山口県下松市栄町２丁目５ー６,山口県,下松市,栄町２丁目,５ー６,,34.010622,131.868626,,,(0833)44-1881,,,,,,,,,3530730369,月火水木金土,09:00,18:30,"木曜日は午前のみ
祝日、1月1日、1月2日、1月3日、1月4日、8月13日、8月14日、8月15日、8月16日、12月30日、12月31日は休診。",,歯科、矯正歯科、小児歯科,0,,,http://www.yamaguchi.med.or.jp/g-med/kudamatsu/asagami.htm,,,
352071,KD0000100003,山口県下松市,浅上内科胃腸科医院,アサカミナイカイチョウカイイン,Asakami naikaityoka iin,有床診療所,352071,,山口県下松市望町４丁目１３－５,山口県,下松市,望町４丁目,１３－５,,34.026084,131.853829,,,(0833)44-2778,,(0833)44-2708,,,,,,,3510710639,月火水木金土,09:00,17:30,"水曜日、土曜日は午前のみ。
お盆休みは８月１４日から１６日までです。
年末年始の休みは１２月２９日午後から１月４日までです。",,消化器内科（胃腸内科）、内科,7,,,,,,
352071,KD0000100004,山口県下松市,阿部クリニック,アベクリニック,Abe Clinic,有床診療所,352071,,山口県下松市大字河内１０４８－１,山口県,下松市,大字河内,１０４８－１,,34.0241165,131.8958282,,,(0833)47-0001,,(0833)47-0053,,,,,,,3510710944,月火水木金土,09:00,19:00,"水曜日、木曜日、土曜日は午前のみ
祝日、1月1日、1月2日、1月3日、12月31日は休診。",,麻酔科、内科、外科、神経内科、心療内科、精神科,19,,,,,,
352071,KD0000100005,山口県下松市,石崎歯科医院,イシザキシカイイン,Ishizaki Shika Dental Clinic,無床診療所,352071,,山口県下松市大手町１丁目２－８,山口県,下松市,大手町１丁目,２－８,大手町ハイツ１０１号,34.012772,131.865484,,,(0833)43-9558,,(0833)43-9558,,,,,,,3530730302,月火水木金土,09:30,17:30,【診療時間】月火水金9:30～12:30、14:00～17:30、木土0930～1200【休診日】日曜、祝日、1月1日、1月2日、1月3日、1月4日、8月14日、8月15日、8月16日、12月30日、12月31日,,歯科、歯科口腔外科,0,,,,,,
352071,KD0000100006,山口県下松市,石崎内科医院,イシザキナイカイイン,Ishizaki Medical Clinic,無床診療所,352071,,山口県下松市駅南１丁目７－７,山口県,下松市,駅南１丁目,７－７,,34.010005,131.866487,,,(0833)45-5235,,(0833)45-5234,,,,,,,3510711017,月火水木金土,09:00,18:00,"木曜日、土曜日は午前のみ。
祝日、1月1日、1月2日、1月3日、8月14日、8月15日、8月16日、12月31日は休診。",,内科,0,,,https://www.yamaguchi.med.or.jp/g-med/kudamatsu/ishizaki.htm,,,
352071,KD0000100007,山口県下松市,医療法人光成会　梶原眼科医院,イリョウホウジンコウセイカイ　カジワラガンカイイン,Kajiwaragannka,無床診療所,352071,,山口県下松市大手町２丁目８－１７,山口県,下松市,大手町２丁目,８－１７,,34.013433,131.869098,,,(0833)41-0644,,(0833)43-3113,,,,,8250005005193 ,,3510710647,月火水木金土,09:00,18:00,"木曜日、土曜日は午前のみ。
祝日、1月1日、1月2日、1月3日、8月14日、8月15日、8月16日、12月30日、12月31日は休診。",,眼科,0,,,https://www.kajiwaraganka.com/,,,
352071,KD0000100008,山口県下松市,上村内科クリニック,ウエムラナイカクリニック,Uemuranaika Clinic,無床診療所,352071,,山口県下松市大字西豊井８７７－１,山口県,下松市,大字西豊井,８７７－１,,34.012975,131.87037,,,(0833)41-1318,,(0833)41-2328,,,,,,,3510710951,月火水木金土,09:00,18:00,"木曜日、土曜日は午前のみ。
祝日、1月1日、1月2日、1月3日、8月15日、8月16日、12月31日は休診。",,内科、循環器内科、呼吸器内科、消化器内科（胃腸内科）、小児科、放射線科,0,,,https://www.uemura-naika.com/,,,
352071,KD0000100009,山口県下松市,宇都宮歯科医院,ウツノミヤシカイイン,Utsunomiya Shikaiin,無床診療所,352071,,山口県下松市生野屋西１丁目３－１１,山口県,下松市,生野屋西１丁目,３－１１,,34.0355204,131.8794172,,,(0833)43-3125,,,,,,,,,3530730641,火水木金土,09:00,18:00,祝日、1月1日、1月2日、1月3日、1月4日、8月13日、8月14日、8月15日、12月30日、12月31日は休診。,,歯科,0,,,https://utsu-dc.com/,,,
352071,KD0000100010,山口県下松市,医療法人　岡藤内科医院,イリョウホウジン　オカフジナイカイイン,OkaFuji Naika Iinn,無床診療所,352071,,山口県下松市大字西豊井字所田７４１－９,山口県,下松市,大字西豊井,字所田７４１－９,,34.0107736,131.8708989,,,(0833)44-1300,,(0833)44-1303,,,,,9250005005515 ,,3510711074,月火水木金土,09:00,18:00,"木曜日、土曜日は午前のみ。
祝日、1月1日、1月2日、1月3日、5月3日、5月4日、5月5日、8月14日、8月15日、8月16日、12月30日、12月31日は休診。",,内科,0,,,https://okafuji.net/,,,
