都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
352012,1,山口県,下関市,海峡ﾋﾞｭｰしものせき,カイキョウビューシモノセキ,下関市みもすそ川町3-58,,,,,,,,,,,,,,,
352012,2,山口県,下関市,しものせき水族館海響館,シモノセキスイゾクカンカイキョウカン,下関市あるかぽーと6-1,,,,,,,,,,,,,,,
352012,3,山口県,下関市,下関市消防訓練センター,シモノセキシショウボウクンレンセンター,下関市秋根西町1-5-10,,,,,,,,,,,,,,,
352012,4,山口県,下関市,ふれあい健康ランド（ヘルシーランド）,フレアイケンコウランド（ヘルシーランド）,下関市大字井田・大字小野,,,,,,,,,,,,,,,
352012,5,山口県,下関市,下関球場,シモノセキキュウジョウ,下関市大字冨任字小迫,,,,,,,,,,,,,,,
352012,6,山口県,下関市,下関市民会館,シモノセキシミンカイカン,下関市竹崎町4-5-1,,,,,,,,,,,,,,,
352012,7,山口県,下関市,下関市体育館,シモノセキシタイイクカン,下関市向洋町1-12-1,,,,,,,,,,,,,,,
352012,8,山口県,下関市,下関市営陸上競技場,シモノセキシエイリクジョウキョウギジョウ,下関市向洋町1-10-1,,,,,,,,,,,,,,,
352012,9,山口県,下関市,吉母老人憩の家,ヨシモロウジンイコイノイエ,下関市大字吉母452－10,,,,,,,,,,,,,,,
352012,10,山口県,下関市,細江旅客上屋,ホソエリョキャクウワヤ,下関市東大和町1-10-60,,,,,,,,,,,,,,,
352012,11,山口県,下関市,下関市弓道場,シモノセキシキュウドウジョウ,下関市向洋町一丁目７－１,,,,,,,,,,,,,,,
352012,12,山口県,下関市,菊川ふれあい会館アブニール,キクガワフレイアイカイカンアブニール,下関市菊川町大字下岡枝117,,,,,,,,,,,,,,,
352012,13,山口県,下関市,ｻﾝｸﾞﾘｰﾝ菊川,サングリーンキクガワ,下関市菊川町大字下岡枝511-6,,,,,,,,,,,,,,,
352012,14,山口県,下関市,きくがわ温泉華陽,キクガワオンセンカヨウ,下関市菊川町大字下岡枝508-1,,,,,,,,,,,,,,,
352012,15,山口県,下関市,道の駅きくがわ,ミチノエキキクガワ,下関市菊川町大字上岡枝766-1,,,,,,,,,,,,,,,
352012,16,山口県,下関市,豊田総合支所,トヨタソウゴウシショ,下関市豊田町大字殿敷1918-1,,,,,,,,,,,,,,,
352012,17,山口県,下関市,殿居公民館,トノイコウミンカン,下関市豊田町大字殿居1039-2,,,,,,,,,,,,,,,
352012,18,山口県,下関市,豊田下公民館,トヨタシモコウミンカン,下関市豊田町大字手洗285-1,,,,,,,,,,,,,,,
352012,19,山口県,下関市,下関市豊田農業公園(みのりの丘）,シモノセキシトヨタノウギョウコウエン（ミノリノオカ）,下関市豊田町大字八道601-3,,,,,,,,,,,,,,,
352012,20,山口県,下関市,豊田湖畔公園,トヨタコハンコウエン,下関市豊田町大字地吉348,,,,,,,,,,,,,,,
352012,21,山口県,下関市,道の駅蛍街道西ノ市,ミチノエキホタルカイドウニシノイチ,下関市豊田町大字中村876-4,,,,,,,,,,,,,,,
352012,22,山口県,下関市,豊浦総合支所,トヨウラソウゴウシショ,下関市豊浦町大字川棚6895-1,,,,,,,,,,,,,,,
352012,23,山口県,下関市,室津支所,ムロツシショ,下関市豊浦町大字室津下681-3,,,,,,,,,,,,,,,
352012,24,山口県,下関市,黒井支所,クロイシショ,下関市豊浦町大字黒井2351,,,,,,,,,,,,,,,
352012,25,山口県,下関市,豊洋台支所,ホウヨウダイシショ,下関市豊浦町豊洋台１丁目447-290,,,,,,,,,,,,,,,
352012,26,山口県,下関市,小串支所,コグシシショ,下関市豊浦町大字小串2207-1,,,,,,,,,,,,,,,
352012,27,山口県,下関市,宇賀支所,ウガシショ,下関市豊浦町大字宇賀7925-1,,,,,,,,,,,,,,,
352012,28,山口県,下関市,神玉支所,カミタマシショ,下関市豊北町大字神田上2709,,,,,,,,,,,,,,,
352012,29,山口県,下関市,角島支所,ツノシマシショ,下関市豊北町大字角島1413-1,,,,,,,,,,,,,,,
352012,30,山口県,下関市,阿川支所,アガワシショ,下関市豊北町大字阿川3752,,,,,,,,,,,,,,,
352012,31,山口県,下関市,粟野支所,アワノシショ,下関市豊北町大字粟野3333-2,,,,,,,,,,,,,,,
352012,32,山口県,下関市,田耕支所,タスキキショ,下関市豊北町大字田耕4332-2,,,,,,,,,,,,,,,
352012,33,山口県,下関市,豊北生涯学習ｾﾝﾀｰ,ホウホクショウガイガクシュウセンター,下関市豊北町大字神田1199-1,,,,,,,,,,,,,,,
352012,34,山口県,下関市,豊北運動公園管理棟,ホウホクウンドウコウエンカンリトウ,下関市豊北町大字滝部2914,,,,,,,,,,,,,,,
352012,35,山口県,下関市,森の家下関,モリノイエシモノセキ,下関市大字蒲生野字深坂,,,,,,,,,,,,,,,
352012,36,山口県,下関市,下関市蓋井島保健福祉館,シモノセキシフタオイジマホケンフクシカン,下関市大字蓋井島71番地,,,,,,,,,,,,,,,
352012,37,山口県,下関市,六連島船員宿舎,ムツレジマセンインシュクシャ,下関市大字六連島,,,,,,,,,,,,,,,
352012,38,山口県,下関市,教育支援教室あきね,キョウイクシエンキョウシツアキネ,下関市秋根西町1－1－3,,,,,,,,,,,,,,,
352012,39,山口県,下関市,大谷斎場,オオタニサイジョウ,下関市藤ケ谷町4-1,,,,,,,,,,,,,,,
352012,40,山口県,下関市,豊田生涯学習ｾﾝﾀｰ,トヨタショウガイガクシュウセンター,下関市豊田町矢田149-1,,,,,,,,,,,,,,,
352012,41,山口県,下関市,夢が丘ｽﾎﾟｰﾂｾﾝﾀｰ,ユメガオカスポーツセンター,下関市豊浦町大字小串140,,,,,,,,,,,,,,,
352012,42,山口県,下関市,下関商業高等学校,シモノセキショウギョウコウトウガッコウ,下関市後田町4-11-1,,,,,,,,,,,,,,,
352012,43,山口県,下関市,日新中学校,ニッシンチュウガッコウ,下関市上田中町1-15-1,,,,,,,,,,,,,,,
352012,44,山口県,下関市,向洋中学校,コウヨウチュウガッコウ,下関市向洋町1-14-1,,,,,,,,,,,,,,,
352012,45,山口県,下関市,山の田中学校,ヤマノタチュウガッコウ,下関市山の田本町8-1,,,,,,,,,,,,,,,
352012,46,山口県,下関市,文洋中学校,ブンヨウチュウガッコウ,下関市上新地町5-6-1,,,,,,,,,,,,,,,
352012,47,山口県,下関市,名陵中学校,メイリョウチュウガッコウ,下関市丸山町1-13-3,,,,,,,,,,,,,,,
352012,48,山口県,下関市,彦島中学校,ヒコシマチュウガッコウ,下関市彦島江の浦町2-25-1,,,,,,,,,,,,,,,
