都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,電話番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,
352161,300001,山口県,山陽小野田市,"小野田赤十字病院",オノダセキジュウジビョウイン,病院,山陽小野田市大字小野田３７００,0836-88-0221,月火水木金,8:30,11:30,12/29～1/3休診。診療科により診療時間が異なる。,内科;消火器内科;循環器内科;外科;整形外科;肛門外科;リハビリテーション内科;神経科;精神科;皮膚科;眼科;呼吸器内科;麻酔科,132,
352161,300002,山口県,山陽小野田市,"独立行政法人労働者健康安全機構　山口労災病院",ドクリツギョウセイホウジンロウドウシャケンコウアンゼンキコウ　ヤマグチロウサイビョウイン,病院,山陽小野田市大字小野田１３１５の４,0836-83-2881,月火水木金,8:15,11:30,12/29～1/3休診。診療科により診療時間が異なる。,内科;精神科;小児科;外科;整形外科;脳神経外科;皮膚科;泌尿器科;産婦人科;眼科;耳鼻咽喉科;リハビリテーション内科;放射線科;麻酔科;消化器内科;循環器内科;消化器外科,313,
352161,300003,山口県,山陽小野田市,伊藤産科婦人科医院,イトウサンフジンカイイン,有床診療所,山陽小野田市高栄１丁目２番１３号,0836-83-4871,月火水木金土,9:00,17:30,12：00～13：00は休診。木曜日は、9：00～12：00のみ（午後休診）。土曜日は、9：00～12：00、13：00～17：00,産婦人科,2,
352161,300004,山口県,山陽小野田市,山陽小野田市民病院,サンヨウオノダシミンビョイン,病院,山陽小野田市大字東高泊１８６３番地１,0836-83-2355,月火水木金,8:30,11:30,年末年始休診。診療科により診療時間が異なる。,内科;外科;小児科;整形外科;産婦人科;脳神経外科;眼科;耳鼻咽喉科;皮膚科;放射線科;泌尿器科;麻酔科;神経内科;歯科口腔外科,215,
352161,300005,山口県,山陽小野田市,医療法人社団平成会砂川小児科医院,イリョウホウジンシャダンヘイセイカイスナガワショウニカイイン,無床診療所,山陽小野田市住吉本町１丁目３番２４号,0836-83-8185,月火水木金土,8:30,18:00,"12：00～14：00は、休診。木曜日は、8：30～12：00のみ（午後休診）。土曜日は、8：30～12：00、13：00～14：00。乳児健診、予防接種は時間帯が異なります。",小児科,,
352161,300006,山口県,山陽小野田市,医療法人社団伊藤会伊藤医院,イリョウホウジンシャダンイトウカイイトウイイン,無床診療所,山陽小野田市千代町１丁目１番１号,0836-83-2009,月火水木金,7:30,16:30,12：00～13：00は、休診。木曜日は、7：30～12：00のみ（午後休診）,内科;小児科,,
352161,300007,山口県,山陽小野田市,医療生活協同組合健文会　生協小野田診療所,イリョウセイカツキョウドウクミアイケンブンカイ　セイキョウオノダシンリョウショ,無床診療所,山陽小野田市くし山１丁目１７番２０号,0836-84-2533,月火水木金土,9:00,18:00,12：30～14：30は、休診。火曜日・木曜日・土曜日は、9：00～12：30のみ（午後休診）。水曜日は、9：00～12：30、14：30～19：30。火曜日・木曜日・土曜日は、午後に往診あり。歯科は時間帯が異なります。,内科;胃腸科;放射線科;歯科;小児歯科,,
352161,300008,山口県,山陽小野田市,医療法人社団成医会山田循環器科・内科,イリョウホウジンシャダンセイイカイヤマダジュンカンキカ・ナイカ,無床診療所,山陽小野田市大字東高泊２０５５の５,0836-83-8011,月火水木金土,8:30,18:00,12：00～14：00は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,内科;循環器内科,,
352161,300009,山口県,山陽小野田市,医療法人　嶋本医院,イリョウホウジン　シマモトイイン,無床診療所,山陽小野田市中央３丁目６番１９号,0836-83-2270,月火水木金土,9:00,18:00,12：00～14：30は休診。木曜日は、9：00～12：00のみ（午後休診）。土曜日は、9：00～12：00、13：00～14：00。第3木曜日は、休診,耳鼻咽喉科,,
352161,300010,山口県,山陽小野田市,山陽小野田市急患診療所,サンヨウオノダシキュウカンシンリョウショ,無床診療所,山陽小野田市大字東高泊１９４７の１,0836-84-3632,月火水木金日,,,内科は、月曜日～金曜日の19：00～22：30。小児科は、日曜日・祝日の9：00～12：00、13：00～17：00,小児科;内科,,
352161,300011,山口県,山陽小野田市,医療法人社団　村重医院,イリョウホウジンシャダン　ムラシゲイイン,無床診療所,山陽小野田市須恵１丁目１２番１０号,0836-83-3706,月火水木金土,8:40,17:30,12：00～13：30は、休診。木曜日・土曜日は、8：40～12：00のみ（午後休診）,内科;神経内科;リハビリテーション内科;放射線科,,
352161,300012,山口県,山陽小野田市,医療法人社団　中村内科胃腸科医院,イリョウホウジンシャダン　ナカムラナイカイチョウカイイン,無床診療所,山陽小野田市日の出４丁目５番６号,0836-84-3131,月火水木金土,8:30,18:00,12：30～14：00は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科;胃腸科;放射線科;循環器科;外科,,
352161,300013,山口県,山陽小野田市,医療法人　吉中内科医院,イリョウホウジン　ヨシナカナイカイイン,無床診療所,山陽小野田市住吉本町１丁目３番１７号,0836-84-5177,月火水木金土,8:30,18:00,12：30～14：00は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科;胃腸科;呼吸器科;循環器科,,
352161,300014,山口県,山陽小野田市,医療法人社団西村内科医院,イリョウホウジンシャダンニシムラナイカイイン,無床診療所,山陽小野田市大字西高泊５８６の１,0836-84-6080,月火水木金土,8:30,18:00,12：00～14：30は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,内科;胃腸科,,
352161,300015,山口県,山陽小野田市,医療法人社団　おもて整形外科,イリョウホウジンシャダン　オモテセイケイゲカ,無床診療所,山陽小野田市日の出４丁目５番８号,0836-84-7000,月火水木金土,8:30,19:00,12：30～14：30は、休診。木曜日は、8：30～12：00のみ（午後休診）。土曜日は、8：30～12：30のみ（午後休診）,整形外科;リハビリテーション内科,,
352161,300016,山口県,山陽小野田市,医療法人社団光栄会小野田ライフケアクリニック,イリョウホウジンシャダンコウエイカイオノダライフケアクリニック,無床診療所,山陽小野田市高栄１丁目２番１０号,0836-81-0188,月火水木金土,8:30,18:00,12：30～14：00は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科;精神科;神経内科;呼吸器科;循環器科;小児科;リハビリテーション内科;放射線科;心療内科;アレルギー科,,
352161,300017,山口県,山陽小野田市,医療法人社団長明会長沢病院,イリョウホウジンシャダンチョウメイカイナガサワビョウイン,病院,山陽小野田市中央１丁目５番２６号,0836-83-3000,月火水木金土,8:30,17:30,12：00～14：00は、休診。土曜日は、8：30～12：00、14：00～16：00,胃腸科;内科;外科;リハビリテーション内科,60,
352161,300018,山口県,山陽小野田市,医療法人社団　はりま内科・胃腸科,イリョウホウジンシャダン　ハリマナイカ・イチョウカ,無床診療所,山陽小野田市大字小野田７０３６の１,0836-83-2425,月火水木金土,8:30,18:00,12：30～14：00は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科;胃腸科;放射線科,,
352161,300019,山口県,山陽小野田市,医療法人健仁会　しおん内科外科クリニック,イリョウホウジンケンジンカイ　シオンナイカゲカクリニック,無床診療所,山陽小野田市日の出３丁目７番２号,0836-83-1331,月火水木金土,8:30,18:00,12：00～14：00は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,内科;外科;呼吸器科;消化器科;肛門科;放射線科,,
352161,300020,山口県,山陽小野田市,医療法人社団いとう眼科クリニック,イリョウホウジンシャダンイトウガンカクリニック,無床診療所,山陽小野田市日の出２丁目９番２２号,0836-81-1166,月火水木金土,9:00,17:30,12：00～14：30は、休診。木曜日・土曜日は、9：00～12：00のみ（午後休診）,眼科,,
352161,300021,山口県,山陽小野田市,医療法人社団はたもとクリニック,イリョウホウジンシャダンハタモトクリニック,無床診療所,山陽小野田市日の出３丁目１０番１号,0836-83-5114,月火水木金土,8:30,18:00,12：30～14：30は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,診療内科;神経内科;精神科,,
352161,300022,山口県,山陽小野田市,小野田心和園,オノダシンワエン,病院,山陽小野田市大字丸河内９５９の２,0836-83-3701,月火水木金,9:00,17:00,12：30～13：30は、休診,神経内科;精神科,164,
352161,300023,山口県,山陽小野田市,医療法人社団稲本内科医院,イリョウホウジンシャダンイナモトナイカイイン,無床診療所,山陽小野田市くし山２丁目１番１０号,0836-81-1128,月火水木金土,9:00,18:00,12：30～14：30は、休診。木曜日・土曜日は、9：00～12：30のみ（午後休診）,内科　消火器内科　放射線科　リハビリテーション内科,,
352161,300024,山口県,山陽小野田市,耳鼻咽喉科タハラクリニック,ジビインコウカタハラクリニック,無床診療所,山陽小野田市大字東高泊１２７５の６,0836-81-1133,月火水木金土,8:30,18:30,12：00～14：30は、休診。木曜日は、8：30～12：00のみ（午後休診）。土曜日は、8：30～12：00、14：30～16：30,耳鼻咽喉科;アレルギー科,,
352161,300025,山口県,山陽小野田市,医療法人社団医聖会井上医院,イリョウホウジンシャダンイセイカイイノウエイイン,無床診療所,山陽小野田市新生２丁目４番２号,0836-81-1213,月火水木金土,9:00,18:00,12：00～14：00は、休診。木曜日・土曜日は、9：00～12：00のみ（午後休診）,脳神経外科;外科;神経内科;内科;リハビリテーション科,,
352161,300026,山口県,山陽小野田市,医療法人社団新生皮ふ科クリニック,イリョウホウジンシャダンシンセイヒフカクリニック,無床診療所,山陽小野田市新生２丁目４番３号,0836-84-5033,月火水木金土,9:00,18:00,12：30～14：00は、休診。木曜日は、9：00～12：30のみ（午後休診）。土曜日は、9：00～12：30、14：00～16：00,皮膚科；アレルギー科,,
352161,300027,山口県,山陽小野田市,医療法人社団　輝斉会　森田病院,イリョウホウジンシャダン　キセイカイ　モリタビョウイン,病院,山陽小野田市赤崎２丁目１０番１号,0836-88-0137,月火水木金土,9:00,18:00,12：00～14：00は、休診。土曜日は、9：00～12：00のみ（午後休診）,内科;外科;肛門科;リハビリテーション科;麻酔科;循環器科;胃腸科;小児科;整形外科;放射線科,36,
352161,300028,山口県,山陽小野田市,医療法人　健生会　いのうえ内科医院,イリョウホウジン　ケンセイカイ　イノウエナイカイイン,無床診療所,山陽小野田市須恵１丁目４番１０号,0836-81-1158,月火水木金土,8:30,18:00,12：30～14：30は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科;リハビリテーション内科,,
352161,300029,山口県,山陽小野田市,早川内科医院,ハヤカワナイカイイン,無床診療所,山陽小野田市大字小野田３９６６の３,0836-88-0008,月火水木金土,8:30,18:00,12：30～14：30は、休診。木曜日・土曜日は、8：30～12：30のみ（午後休診）,内科,,
352161,300030,山口県,山陽小野田市,瀬戸病院,セトビョウイン,病院,山陽小野田市稲荷町１１番２０号,0836-83-2292,月火水木金土,9:00,18:00,12：30～14：30は、休診。土曜日は、9：00～12：30、14：00～17：00。木曜日は内科、リハビリテーション内科のみ,整形外科;リハビリテーション内科,32,
352161,300031,山口県,山陽小野田市,医療法人社団　松岡整形外科,イリョウホウジンシャダン　マツオカセイケイゲカ,無床診療所,山陽小野田市北竜王町１６番１７号,0836-81-3818,月火水木金土,8:30,18:00,12：00～14：15は、休診。木曜日・土曜日は、8：30～12：00のみ（午後休診）,整形外科;リハビリテーション内科;リウマチ科,,
