市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
,,,,優クリニック,ユウクリニック,無床診療所,柳井市中央１丁目８番８号,,,,0820-22-0317 ,,,,,,月火水木金土,9:00,18:30,木曜日、土曜日は午前中のみ,,産婦人科,,,
,,,,ウエルネスクリニック,ウエルネスクリニック,無床診療所,柳井市柳井１５４７－１,,,,0820-22-1024,,,,,,月火水木金土,9:00,18:00,水曜日、土曜日は午前中のみ,,内科,,,
,,,,うつみ内科クリニック,ウツミナイカクリニック,無床診療所,柳井市南町４丁目２番１４号,,,,0820-24-0100,,,,,,月火水木金土,9:00,17:30,木曜日、土曜日は午前中のみ,,"内科, 呼吸器内科",,,
,,,,おりたクリニック,オリタクリニック,無床診療所,柳井市中央１丁目８－１５,,,,0820-22-3322,,,,,,月火水木金土,8:30,18:00,水曜日、土曜日は12：30まで,,"脳神経外科, 神経内科, 心療内科",,,
,,,,河谷内科医院,カワタニナイカクリニック,無床診療所,柳井市中央１－４－１７,,,,0820-22-0347,,,,,,月火水木金土,9:00,18:00,木曜日、土曜日は12：30まで,,"呼吸器内科, 内科",,,
,,,,キャプテンキッズクリニック,キャプテンキッズクリニック,無床診療所,柳井市南町７丁目１１番地９,,,,0820-23-3336,,,,,,月火水木金土,9:00,17:45,木曜日、土曜日は午前中のみ,,小児科,,,
,,,,休日夜間応急診療所,キュウジツヤカンオウキュウシンリョウショ,無床診療所,柳井市中央１丁目１０番１７号,,,,0820-22-9001,,,,,,月火水木金日,,,"平日：19:00～20:00,日：9:00～17:00",,"内科, 外科, 小児科",,,
,,,,桑原整形外科,クワハラセイケイゲカ,無床診療所,柳井市南町６－１０－８,,,,0820-23-2277,,,,,,月火水木金土,8:30,18:00,木曜日、土曜日は午前中のみ,,整形外科,,,
,,,,恵愛会柳井病院,ケイアイカイヤナイビョウイン,病院,柳井市柳井１９１０－１,,,,0820-22-1002,,,,,,月火水木金土,9:00,17:00,,,"精神科, 内科, 小児神経発達外来",298,,
,,,,小泉医院,コイズミイイン,無床診療所,柳井市中央２丁目２－２８,,,,0820-22-0249,,,,,,月火水木金土,9:00,18:00,土曜日は午前中のみ,,外科,,,
